id	annotatorid	label	a1	a2
4236_4328	goldLabel	a1	Gambling is inherently unfair because it plays on people believing they could win while the reality is very unlikely. 	Gambling affects asymmetrically people from a disadvantaged socioeconomic background and create less equality of opportunities for them
4756_4725	goldLabel	a1	"Gambling is often a ""gateway drug"" to criminal activities, as it often exposes individuals to criminals indulging it as well as leaves them in great debt, desperate for money through whatever means possible."	Legal gambling let the population believe that gambling is fine. Given this, it is hard to cross the line when gambling start to be harmful. Hence, people are much more likely to practice harmful gambling.
4599_4816	goldLabel	a1	Gambling specifically exploits the poor that have less disposable income by advertising in poorer communities and promising large rewards. 	Gambling is an addiction similar to hard drugs that we ban for people's protection. 
4318_4815	goldLabel	a1	Many people who have debts go to gamble because they think it's their only chance to get the money back, and owe money to the casino, and get into the crime world because of that 	Casinos are made to make you an addict from the moment you get in. Like a drug, when you start using it you don't have a real choice to stay or leave
4463_4121	goldLabel	a1	The social costs of gambling impacts society as a whole by destroying careers, families, and economic trickle down when money spent on gambling doesn't get spent on other things.  	A gambler who is on a losing streak is likely to develop dependency on gambling because he must play another round so he can win his money back, clouding his judgment and free choice
4578_4725	goldLabel	a2	Mostly poor people gamble, for the hope that it could bring them to a better place economically without investing tons of work-hours. This, in fact, brings them lower and hurts the most vulnerable even more.	Legal gambling let the population believe that gambling is fine. Given this, it is hard to cross the line when gambling start to be harmful. Hence, people are much more likely to practice harmful gambling.
4576_4236	goldLabel	a1	Gambling hurts not only the gambler but also their families when money that could have gone to helping them is spent recklessly instead. 	Gambling is inherently unfair because it plays on people believing they could win while the reality is very unlikely. 
4256_4582	goldLabel	a2	We should ban gambling because according to most moral and ethical frameworks it is wrong to take advantage of people like casinos do.	In many countries, gambling managers are criminal organizations. The money they earn causes more crime, more money for weapons and drugs in the region.
4328_4384	goldLabel	a1	Gambling affects asymmetrically people from a disadvantaged socioeconomic background and create less equality of opportunities for them	The damage is mainly to poor people, whom can lose their house and entire savings
4256_4576	goldLabel	a2	We should ban gambling because according to most moral and ethical frameworks it is wrong to take advantage of people like casinos do.	Gambling hurts not only the gambler but also their families when money that could have gone to helping them is spent recklessly instead. 
4293_4148	goldLabel	a1	Gambling is capable of driving people into debts (by making them lose several times straight) and so damaging their buying power, halting the economy. 	Gambling is a situation of incomplete data and people can't know their winning percentage, therefore the decision to gamble is not informed
4328_4452	goldLabel	a1	Gambling affects asymmetrically people from a disadvantaged socioeconomic background and create less equality of opportunities for them	Gambling machines like slots often occupy public spaces where people who didn't specifically go to a casino get dragged into them. 
4815_4757	goldLabel	a1	Casinos are made to make you an addict from the moment you get in. Like a drug, when you start using it you don't have a real choice to stay or leave	People don't understand just how unlikely it is to win, the odds are so low that our brain can't comprehend it, which makes people think that their chances of winning are higher. 
4558_4167	goldLabel	a2	Even winning is bad. Those who win don't know what to do with their money, are likely to spend it quickly on new things, and are volunurable to scummers, so eventually they are more harmed.	Given the high stakes and shady nature of gambling, casinos are almost inherently linked with crime organizations. When more of them are open, more money flows into the wrong hands.
4488_4757	goldLabel	a1	Gambling is especially pernicious in areas with low socioeconomic status, as it provides an easy form of escapism for poorer individuals. Those are the instances in which people lose everything they have, which is bad.	People don't understand just how unlikely it is to win, the odds are so low that our brain can't comprehend it, which makes people think that their chances of winning are higher. 
4725_4167	goldLabel	a1	Legal gambling let the population believe that gambling is fine. Given this, it is hard to cross the line when gambling start to be harmful. Hence, people are much more likely to practice harmful gambling.	Given the high stakes and shady nature of gambling, casinos are almost inherently linked with crime organizations. When more of them are open, more money flows into the wrong hands.
4293_4236	goldLabel	a1	Gambling is capable of driving people into debts (by making them lose several times straight) and so damaging their buying power, halting the economy. 	Gambling is inherently unfair because it plays on people believing they could win while the reality is very unlikely. 
4121_4287	goldLabel	a2	A gambler who is on a losing streak is likely to develop dependency on gambling because he must play another round so he can win his money back, clouding his judgment and free choice	There is a market failure that causes people to gamble and waste money on zero sum games and the government should break this and prevent dead loss by creating more productive alternatives like equivalent entertainment
4384_4547	goldLabel	a1	The damage is mainly to poor people, whom can lose their house and entire savings	Casinos often host dogfights and  horse racing that promotes animal cruelty. 
