id	annotatorid	label	a1	a2
4450_4295	goldLabel	a2	Supervised reasonable gambling, done under strict restrictions that protects the gambler, is very enjoyable and enriches the gamblers life. It is not more wasteful then going to a fancy restaurant. 	Government has no right to regulate citizen behavior unless there are third party harms, gambling only has the potential to harm the person doing the gambling since it is there money.
4280_4416	goldLabel	a2	people should be allowed to take risks, even if they're unlikely to pay off. just like taking  on dangerous jobs like the army, which gamble with their life,people should be allowed  gamble for high rewards	The vast majority of people who gamble mostly have a fun, memorable experience and don't lose significant amounts of money. It makes sense to prioritize that over the small minority that does get harmed.
4182_4658	goldLabel	a2	It is unfair to punish the gambling industry and gamblers for associated crime since they do not cause it and criminals should be punished regardless. 	Banning gambling won't stop the phenomena. It will only enhance illegal underground gambling. Giving that, the supervision on gambling will be much harder and people will get harm more severly
4267_4269	goldLabel	a1	Gambling, much like any other game, is also a form of entertainment which certain people enjoy because of its risk. Therefore, we should allow it.	Most people don't spend a lot (and we can even cap the amount), and then the gov damages almost don't happen
4639_4503	goldLabel	a2	It's going to happen anyway in a black market. We need regulation	We should not ban gambling because it can bring in a lot of tax revenue for cities.
4286_4269	goldLabel	a1	Banning gambling will only push gambling onto the internet where it will be harder to oversee and prevent minors from participating. 	Most people don't spend a lot (and we can even cap the amount), and then the gov damages almost don't happen
4416_4295	goldLabel	a2	The vast majority of people who gamble mostly have a fun, memorable experience and don't lose significant amounts of money. It makes sense to prioritize that over the small minority that does get harmed.	Government has no right to regulate citizen behavior unless there are third party harms, gambling only has the potential to harm the person doing the gambling since it is there money.
4683_4473	goldLabel	a1	People should have the right to do whatever they want with their money, even risking it, especially in gambling where they know that it is likely they will lose their money	Hard to help those in need. A black market is likely to be formed, but now we won't know who the gamblers are, and won't be able to provide help to their suffering family. 
4267_4433	goldLabel	a1	Gambling, much like any other game, is also a form of entertainment which certain people enjoy because of its risk. Therefore, we should allow it.	If the government bans gambling then it will no longer be able to collect high taxes that it puts into public spending. 
4369_4683	goldLabel	a2	I didn't agree for the state to limit my autonomy if it hurts only myself and it does so this  is a section in a contract that I didn't agree upon and would be nullified	People should have the right to do whatever they want with their money, even risking it, especially in gambling where they know that it is likely they will lose their money
4260_4377	goldLabel	a1	When gambling is banned, it still happens illegally, given that people still want to gamble and illegal organizations can benefit. In those instances, the violence suffered by those who can't pay is much worse.	Many activities can be done in a dangerous or irresponsible way (like driving or mountain climbing), just because some people make bad decisions does not mean you should punish everyone. 
4125_4564	goldLabel	a1	The government has no right to ban gambling, since people should be able to decide for themselves if the dangers are worth it. 	We believe people have the ability to choose for themselves whether or not to take that risk, after considering the pros and cons of gambling. 
4564_4655	goldLabel	a1	We believe people have the ability to choose for themselves whether or not to take that risk, after considering the pros and cons of gambling. 	People are allowed to harm themselves, for example by smoking, and gambling is no different because it harms the person who gamble alone
4416_4377	goldLabel	a2	The vast majority of people who gamble mostly have a fun, memorable experience and don't lose significant amounts of money. It makes sense to prioritize that over the small minority that does get harmed.	Many activities can be done in a dangerous or irresponsible way (like driving or mountain climbing), just because some people make bad decisions does not mean you should punish everyone. 
4450_4377	goldLabel	a2	Supervised reasonable gambling, done under strict restrictions that protects the gambler, is very enjoyable and enriches the gamblers life. It is not more wasteful then going to a fancy restaurant. 	Many activities can be done in a dangerous or irresponsible way (like driving or mountain climbing), just because some people make bad decisions does not mean you should punish everyone. 
4637_4164	goldLabel	a2	Gambling has good attributes to it. It does make people happy, often reduces pressure, and gives people hope. The latter is especially true for the poor - whose lives are otherwise often hopeless. 	Gambling is massively beneficial for a state's economy, since it benefits foreign tourism and creates lots of jobs, while the overall amount of money spent is fairly small.
4523_4694	goldLabel	a1	People should be free to spend their money how they choose. Gambling does not create unique harms when compared to other types of legal vices. It is a form of entertainment.	gambling can give hope to many people. knowing that i might have a chance of winning and turning my life around is beneficial to me and helps me live my life even if its unlikely 
4658_4296	goldLabel	a1	Banning gambling won't stop the phenomena. It will only enhance illegal underground gambling. Giving that, the supervision on gambling will be much harder and people will get harm more severly	It provides most of the individuals that gamble with a huge amount of happiness and the states responsibility is to maximize happiness throughout the population 
4232_4269	goldLabel	a1	Casinos can revive economically depressed areas by encouraging the creation of infrastructure that is useful for businesses besides casinos. 	Most people don't spend a lot (and we can even cap the amount), and then the gov damages almost don't happen
