id	annotatorid	label	a1	a2
5193_5045	goldLabel	a2	Gives consumers more information and more ability to compare prices and hence prevents them from spending more money than needed	It enables cheaper products by not needing to have physical store locations (which have rent), but only a warehouse.
5077_4959	goldLabel	a2	Increases consumption because it takes less time and effort to buy things. Economy is a matter of how many people believe in it and spend their money, thix increases the overall utility 	Online shopping help consumers to compare prices and quality of products because there are normally reviews of the products in the same page or in the network in general. 
5092_4908	goldLabel	a2	People are buying more things online, and for each transaction the target state receives taxes via VAT or customs, so more money can be used for governmental projects	Online shopping allows businesses and individuals to access a wider range of buyers, and makes it much easier to sell your own products, and therefore assists small businesses and the economy. 
5069_5153	goldLabel	a2	Reduces barriers of entry and therefore allows more competition which helps in the long rub	It is much cheaper than your local shop, because of scale and competition, so poor people have more access
5194_5045	goldLabel	a2	It makes selling stuff much easier through Amazon/Ebay, which means that more people can create, and buyers have more great options	It enables cheaper products by not needing to have physical store locations (which have rent), but only a warehouse.
4865_5069	goldLabel	a1	It's easier to start an online business than a traditional one, lowering the launching requirement of buisnesses.	Reduces barriers of entry and therefore allows more competition which helps in the long rub
5032_5092	goldLabel	a1	Online shops save time. Many people don't have the time to drive to the shop and walk between aisles, using online shops makes it much easier. 	People are buying more things online, and for each transaction the target state receives taxes via VAT or customs, so more money can be used for governmental projects
5045_5051	goldLabel	a2	It enables cheaper products by not needing to have physical store locations (which have rent), but only a warehouse.	Cheap prices of things on the net allow people to buy more products, thus contributing more to the economy.
4850_4865	goldLabel	a1	Online market is much less expensive to operate than traditional market and enhance profit. 	It's easier to start an online business than a traditional one, lowering the launching requirement of buisnesses.
4968_4908	goldLabel	a2	Online shopping allows people to buy products more cheaply than in their local stores, given that some products are produced more cheaply in other areas or countries, and that people can compare.	Online shopping allows businesses and individuals to access a wider range of buyers, and makes it much easier to sell your own products, and therefore assists small businesses and the economy. 
5077_4908	goldLabel	a2	Increases consumption because it takes less time and effort to buy things. Economy is a matter of how many people believe in it and spend their money, thix increases the overall utility 	Online shopping allows businesses and individuals to access a wider range of buyers, and makes it much easier to sell your own products, and therefore assists small businesses and the economy. 
4959_5250	goldLabel	a1	Online shopping help consumers to compare prices and quality of products because there are normally reviews of the products in the same page or in the network in general. 	Stuff you buy represent who you are. It is the easiest way to personalize yourself. When people have more options it makes this representation better. 
5013_5032	goldLabel	a1	Online shopping allows individuals to recieve their goods much more quickly than going to a store that sells that product, which is often important for their well being.	Online shops save time. Many people don't have the time to drive to the shop and walk between aisles, using online shops makes it much easier. 
5250_4881	goldLabel	a2	Stuff you buy represent who you are. It is the easiest way to personalize yourself. When people have more options it makes this representation better. 	It enables people to get exactly what they want, from anywhere in the world, not restricted by what's currently in stock of your local store's inventory.
5051_5069	goldLabel	a1	Cheap prices of things on the net allow people to buy more products, thus contributing more to the economy.	Reduces barriers of entry and therefore allows more competition which helps in the long rub
4850_5217	goldLabel	a2	Online market is much less expensive to operate than traditional market and enhance profit. 	Online shopping makes products more accessible to people who have difficulties leaving the house.
4968_5068	goldLabel	a1	Online shopping allows people to buy products more cheaply than in their local stores, given that some products are produced more cheaply in other areas or countries, and that people can compare.	Online shopping creates better market competition as now each company has to compete with other companies around the world, and the comparison between different providers is made simply by clicking a button.
5013_4881	goldLabel	a2	Online shopping allows individuals to recieve their goods much more quickly than going to a store that sells that product, which is often important for their well being.	It enables people to get exactly what they want, from anywhere in the world, not restricted by what's currently in stock of your local store's inventory.
5097_5035	goldLabel	a1	Online shopping also allows small shops to reach a large audience, thereby encouraging the creation of small businesses.	"Online shopping lowers the cost of products by ""cutting the middleman"", no money is wasted on constructing local shops, hiring local workers, etc."
5164_5035	goldLabel	a2	Online shops are cheaper since they need to spend less money on people such as cashiers, so people spend less money.	"Online shopping lowers the cost of products by ""cutting the middleman"", no money is wasted on constructing local shops, hiring local workers, etc."
5045_4865	goldLabel	a1	It enables cheaper products by not needing to have physical store locations (which have rent), but only a warehouse.	It's easier to start an online business than a traditional one, lowering the launching requirement of buisnesses.
5194_5250	goldLabel	a1	It makes selling stuff much easier through Amazon/Ebay, which means that more people can create, and buyers have more great options	Stuff you buy represent who you are. It is the easiest way to personalize yourself. When people have more options it makes this representation better.
5217_5163	goldLabel	a1	Online shopping makes products more accessible to people who have difficulties leaving the house.	It enables people to not waste valuable time by going to stores.
4858_5013	goldLabel	a1	Online shopping gives people access to a much wider pool of options when choosing to buy a certain product, so people can choose what's specifically best for them.	Online shopping allows individuals to recieve their goods much more quickly than going to a store that sells that product, which is often important for their well being.
5077_4997	goldLabel	a2	Increases consumption because it takes less time and effort to buy things. Economy is a matter of how many people believe in it and spend their money, thix increases the overall utility	Allows social mobility – because of the big competition the prices of crucial products (like computers and smartphones) also decrease, making it more affordable for people who otherwise wouldn't buy it.
4959_4968	goldLabel	a2	Online shopping help consumers to compare prices and quality of products because there are normally reviews of the products in the same page or in the network in general.	Online shopping allows people to buy products more cheaply than in their local stores, given that some products are produced more cheaply in other areas or countries, and that people can compare.
5193_5250	goldLabel	a1	Gives consumers more information and more ability to compare prices and hence prevents them from spending more money than needed	Stuff you buy represent who you are. It is the easiest way to personalize yourself. When people have more options it makes this representation better.
5097_5217	goldLabel	a2	Online shopping also allows small shops to reach a large audience, thereby encouraging the creation of small businesses.	Online shopping makes products more accessible to people who have difficulties leaving the house.
