id	annotatorid	label	a1	a2
6065_6629	goldLabel	a2	The social media reader rellay on information that hasn’t been checked of it true, and make decisions base on it	Social media facilitates predatory behavior since people can make fake profiles and use them to stalk and endanger others. 
5825_6128	goldLabel	a1	Since people only post the highlights of their life on social media, it can lead to a skewed perception of how happy people are in reality which can make people feel lonely or under-achieving. 	Little children, especially young girls, that see on social media that the popular people ate the ones publishing themselves in bathing suits, may feel like they have to do it in order to become popular.
6597_6366	goldLabel	a1	Social media users are more vulnerable to security breaches like hacking and viruses. 	Social media facilitates jealousy and constant self-comparison to other people's profiles and lives. 
6208_6536	goldLabel	a1	"Small groups with extreme opinions can bond to share their opinions on social media, thus making it seem as if is a ""popular"" opinion, not only spreading fear but also getting others to join. "	People use social media most of the time because they are board, which make us crave stimuli all time- as a result out ability to focus for long time decreases
6049_6495	goldLabel	a1	Social media creates unrealistic expectations of how your life should be going compared to others. 	Social media creates huge data-bases, harming the privacy of the users. 
5841_5879	goldLabel	a1	Social media creates echo chambers where people are more likely to just have their own views enforced and think they are the norm (e.g. by liking specific facebook pages), which is bad for understanding.	Social media get's money by making people use it, so they make you addicted to it: either by sending notifications to re-enter it, or rapidly changing the shown info to make you want to stay. 
6121_6684	goldLabel	a2	When using social media we mainly see the happy moment on other people life- which can cause us to feel bad when compre it to our on life	Social media gives technology companies access to vast amounts of our personal data which they can sell to advertisers, infringing on our privacy. 
6536_5801	goldLabel	a2	People use social media most of the time because they are board, which make us crave stimuli all time- as a result out ability to focus for long time decreases	Social media brings more harm than good because it encourages people to share their personal details with large companies and governments who don't have their interests at heart.
5841_6128	goldLabel	a1	Social media creates echo chambers where people are more likely to just have their own views enforced and think they are the norm (e.g. by liking specific facebook pages), which is bad for understanding.	Little children, especially young girls, that see on social media that the popular people ate the ones publishing themselves in bathing suits, may feel like they have to do it in order to become popular.
6442_6379	goldLabel	a1	Social media brings more harm than good because it encourages people to compare their lives to others and feel covetous and inadequate. 	Social media brings more harm than good because it draws huge amounts of investment that could be better spent on basically anything else.
6495_6268	goldLabel	a1	Social media creates huge data-bases, harming the privacy of the users. 	Social media can be used by hate groups to recruit and spread their message more effectively. 
7088_6597	goldLabel	a2	Social media makes people care more about the number of 'likes' they have than their real relationships. 	Social media users are more vulnerable to security breaches like hacking and viruses. 
5853_6629	goldLabel	a2	Social media decreases individual productivity by providing a constant distraction that prevents people from focusing. 	Social media facilitates predatory behavior since people can make fake profiles and use them to stalk and endanger others. 
5938_6208	goldLabel	a1	Social media brings more harm than good because it has led to the spread of fake news and misinformation that would have been screened out by barriers to publication in past decades.	"Small groups with extreme opinions can bond to share their opinions on social media, thus making it seem as if is a ""popular"" opinion, not only spreading fear but also getting others to join. "
7158_5999	goldLabel	a1	Social media leads to people becoming used to short and simple messages, thus making it harder and less likely for them to reed more profound articles, and that leads to less informed citizens. 	Social media way of connecting people assure that contact is minimal, hance making it so people rarely get to actually know each over in network, instead coming to see everyone as sort of a bland. 
6536_5841	goldLabel	a2	People use social media most of the time because they are board, which make us crave stimuli all time- as a result out ability to focus for long time decreases	Social media creates echo chambers where people are more likely to just have their own views enforced and think they are the norm (e.g. by liking specific facebook pages), which is bad for understanding.
6536_7169	goldLabel	a2	People use social media most of the time because they are board, which make us crave stimuli all time- as a result out ability to focus for long time decreases	On Social media, the popular people are usually the more good looking ones. If someone doesn't get a lot of 'likes', he may feel bad about himself.
7169_5938	goldLabel	a2	On Social media, the popular people are usually the more good looking ones. If someone doesn't get a lot of 'likes', he may feel bad about himself.	Social media brings more harm than good because it has led to the spread of fake news and misinformation that would have been screened out by barriers to publication in past decades.
5861_7169	goldLabel	a1	Social media makes fake news spread faster and reach huge audiences, since fake news are often more sensational and provocative than real news , hurting public discourse and the democratic process. 	On Social media, the popular people are usually the more good looking ones. If someone doesn't get a lot of 'likes', he may feel bad about himself.
5879_5825	goldLabel	a2	Social media get's money by making people use it, so they make you addicted to it: either by sending notifications to re-enter it, or rapidly changing the shown info to make you want to stay. 	Since people only post the highlights of their life on social media, it can lead to a skewed perception of how happy people are in reality which can make people feel lonely or under-achieving. 
5833_5861	goldLabel	a2	Social media helps the spread of fake news. The algorithms prioritize sensational stories that cause emotional response form people, which are usually the inaccurate and false ones. 	Social media makes fake news spread faster and reach huge audiences, since fake news are often more sensational and provocative than real news , hurting public discourse and the democratic process. 
6196_6379	goldLabel	a1	Anonymous online communities via social media have allowed for hate groups and other socially abhorrent communities to become more easily accessible and widespread. 	Social media brings more harm than good because it draws huge amounts of investment that could be better spent on basically anything else.
6379_7042	goldLabel	a2	Social media brings more harm than good because it draws huge amounts of investment that could be better spent on basically anything else.	Social media can be used by governments to follow their citizens, make them conform to the regime's ideology and harm those that don't.
7169_6121	goldLabel	a2	On Social media, the popular people are usually the more good looking ones. If someone doesn't get a lot of 'likes', he may feel bad about himself.	When using social media we mainly see the happy moment on other people life- which can cause us to feel bad when compre it to our on life
6212_6495	goldLabel	a2	Social media is detached, and so is creating many cases of bullying, especially among teens. 	Social media creates huge data-bases, harming the privacy of the users. 
5801_5861	goldLabel	a2	Social media brings more harm than good because it encourages people to share their personal details with large companies and governments who don't have their interests at heart.	Social media makes fake news spread faster and reach huge audiences, since fake news are often more sensational and provocative than real news , hurting public discourse and the democratic process. 
6939_6569	goldLabel	a2	"Social media is connecting huge amount of people to every sinhle person, making it so each ""friend"" is relatively detached and almost completely mitigate any form of benefit from connecting new people."	Social media makes bullying much more offensive and harmful to kids and teenagers, since it follows them everywhere and all the time. There is nowhere to hide.
6890_6597	goldLabel	a1	Social media is an unchecked enabler for various media of harassment such as stalking and cyberbullying.	Social media users are more vulnerable to security breaches like hacking and viruses.
6597_6049	goldLabel	a2	Social media users are more vulnerable to security breaches like hacking and viruses.	Social media creates unrealistic expectations of how your life should be going compared to others.
6684_6116	goldLabel	a1	Social media gives technology companies access to vast amounts of our personal data which they can sell to advertisers, infringing on our privacy.	Social media replaces human contact, many prefer to talk ln char rather than meet, this means that many people do not develop the proper human and social skills
5861_7158	goldLabel	a1	Social media makes fake news spread faster and reach huge audiences, since fake news are often more sensational and provocative than real news , hurting public discourse and the democratic process.	Social media leads to people becoming used to short and simple messages, thus making it harder and less likely for them to reed more profound articles, and that leads to less informed citizens.
6212_6597	goldLabel	a1	Social media is detached, and so is creating many cases of bullying, especially among teens.	Social media users are more vulnerable to security breaches like hacking and viruses.
6379_6932	goldLabel	a2	Social media brings more harm than good because it draws huge amounts of investment that could be better spent on basically anything else.	In social media people feel more free to bully other people because they don't see the emotions or reactions of the person they bully.
6597_6268	goldLabel	a2	Social media users are more vulnerable to security breaches like hacking and viruses.	Social media can be used by hate groups to recruit and spread their message more effectively.
5999_6001	goldLabel	a2	Social media way of connecting people assure that contact is minimal, hance making it so people rarely get to actually know each over in network, instead coming to see everyone as sort of a bland.	Social media stimulates obsessive behavior with regards to relationships - if you break up with someone social media makes it easier to stay obsessed over them due to the accessibility of their profiles.
5766_7169	goldLabel	a1	"In social media you only see what people you ""liked"" or ""friended"" posted, creating echo-chambers of similar minded people and ideas, leading to more extremism and division in society."	On Social media, the popular people are usually the more good looking ones. If someone doesn't get a lot of 'likes', he may feel bad about himself.
5879_6208	goldLabel	a2	Social media get's money by making people use it, so they make you addicted to it: either by sending notifications to re-enter it, or rapidly changing the shown info to make you want to stay.	"Small groups with extreme opinions can bond to share their opinions on social media, thus making it seem as if is a ""popular"" opinion, not only spreading fear but also getting others to join."
6878_7054	goldLabel	a1	Social media makes it harder to create new relationships. It gives you a false feeling of community even though you are alone. You scroll through facebook instead of talking to the people around them	The focus in social media (for example, Instagram) is on the appearance of people, and not on their personalty. People that are less good looking may feel like they are worthless in the world.
6878_7098	goldLabel	a1	Social media makes it harder to create new relationships. It gives you a false feeling of community even though you are alone. You scroll through facebook instead of talking to the people around them	Social media makes people feel like if they don't post the thing they did there they didn't really do it. That makes people be busy with their phones instead of living in the moment.
5853_6268	goldLabel	a2	Social media decreases individual productivity by providing a constant distraction that prevents people from focusing.	Social media can be used by hate groups to recruit and spread their message more effectively.
6833_5853	goldLabel	a1	Social media contributes to political polarization since people create echo chambers of connections with similar political preferences and beliefs.	Social media decreases individual productivity by providing a constant distraction that prevents people from focusing.
7042_6121	goldLabel	a1	Social media can be used by governments to follow their citizens, make them conform to the regime's ideology and harm those that don't.	When using social media we mainly see the happy moment on other people life- which can cause us to feel bad when compre it to our on life
6001_5879	goldLabel	a1	Social media stimulates obsessive behavior with regards to relationships - if you break up with someone social media makes it easier to stay obsessed over them due to the accessibility of their profiles.	Social media get's money by making people use it, so they make you addicted to it: either by sending notifications to re-enter it, or rapidly changing the shown info to make you want to stay.
