id	annotatorid	label	a1	a2
6843_6927	goldLabel	a1	Social media allows for a platform where everyone can freely express their thoughts and opinions, allowing for the maximized attainment of free speech. 	Gives the ability to maintain contact across distances. This allows people to move (for example to at better job) without losing their emotional support network
6974_6027	goldLabel	a2	Social media allowes people to stay in touch with eachother, by sending masseges, sharing pictures, and forming groups.	Current events can be more readily shared on social media, creating a more informed populace which general economic efficiency and democratic engagement.
7016_6369	goldLabel	a1	We can stay in touch with old friends, via social media, and see what they are doing with their life	A variety of options for communication allows people to use social media to maintain relationships of disparate intimacy.
7071_7141	goldLabel	a2	More representation: people are able to find others with similar interests and get support. Thus they have more power compared to their politicians and are able to keep them accountable  	Allows one to find connections and support on topics not represented in your local community (eg gay youth in conservative areas, forums for people dealing with rare diseases)
6578_7208	goldLabel	a2	people can connect between themselves in an easier way than without social media.	Social media provides an easy way for social groups to communicate and share material with individual members.  
6289_6577	goldLabel	a2	"Social media make people feel happier about their lifes: they share things they done and get ""likes"" for them. "	Social media creates a platform for social activists to find supporters and thus create bigger social movements leading to social changes.
6696_5994	goldLabel	a1	Social media allows disenfranchised people to access freely news and job offers, this allows them to stay informed and to advance their lives 	The increased demand for high skilled tech labor due to the number of social media companies empowers workers to demand better condition and better pay.
7060_6974	goldLabel	a2	Coordination with friends or acquaintances is easier through commonly shared platforms and social media.	Social media allowes people to stay in touch with eachother, by sending masseges, sharing pictures, and forming groups.
6577_7254	goldLabel	a1	Social media creates a platform for social activists to find supporters and thus create bigger social movements leading to social changes.	Social media makes it hard for regimes to hide information from their civilians. Social media is another platform for people to criticize the government.
6582_6722	goldLabel	a1	Social media allows people to crowd source ideas and trade information so that individuals with different skills can connect and create better products.	Social media allows for a vast number of people to connect and raise their awareness on issues in the world that they would otherwise not be aware of. 
7213_7060	goldLabel	a2	the social media is contribute to the global economy.. people can make money in a better and easier way	Coordination with friends or acquaintances is easier through commonly shared platforms and social media.
7243_6353	goldLabel	a1	Active dissemination of information through social media allows people to hold companies and states more accountable and makes it harder for them to hide heinous actions.	social media keep and remind you all of your good experiences, so its help you to remain your satisfaction along your life.  
5829_6750	goldLabel	a2	it is a stage for people who don't Necessarily had a chance before to shine and showcase their tallent whrether its a swedish guy uploading videos on youtube or a talented foreign singer	Social media allows small political parties to interact with their voters and the public in general without spending too much money, making the democratic process more equal and fair
6098_6608	goldLabel	a2	Many revolutions globally have utilized social media as a platform for organization and communication. This allowed for the greater success and solidarity of these movements.	Individuals can share information with their friends over social media, allowing them to access news which interests them and is more likely to get them engaged.
5907_6908	goldLabel	a2	Social media is a massive industry which employs tens of thousands of workers.	Social media helps people stay connected with more friends, even if they are far away.
6285_5782	goldLabel	a2	Social media has decentralized news generation and consumption, allowing many issues such as police brutality in the United States that have been ongoing for years to finally enter the public consciousness and be addressed.	Social media has allowed for entirely new economies to emerge, allowing more people to live middle and upper-class lifestyles while having jobs that they enjoy, such as being a social media influencer.  
6027_5779	goldLabel	a1	Current events can be more readily shared on social media, creating a more informed populace which general economic efficiency and democratic engagement.	Allows organisation of protests on various social justice issues, letting the individual make a bigger difference in our society
7179_6405	goldLabel	a2	save time in your work. you can do more missions because you can easily connect withe people that you need to connect with, or people that can help you. 	Most people wont go outside and protest or join a political movement, social media allows people to make a difference and be politically active and informed.
6974_6369	goldLabel	a1	Social media allowes people to stay in touch with eachother, by sending masseges, sharing pictures, and forming groups.	A variety of options for communication allows people to use social media to maintain relationships of disparate intimacy.
7254_6544	goldLabel	a1	Social media makes it hard for regimes to hide information from their civilians. Social media is another platform for people to criticize the government.	Social media can help people who struggle with social anxiety or are bullied in every day life form other communities on the internet. 
7141_6252	goldLabel	a1	Allows one to find connections and support on topics not represented in your local community (eg gay youth in conservative areas, forums for people dealing with rare diseases)	More opportunities for political campaigns: The cost of pushing for a campaign in social media is cheaper (almost free) compared to real life campaigns. Thus, politics become more accessible.
6273_6353	goldLabel	a1	Social Media gives people an easy way to form social movements to take care of their interests, by sharing the group and finding people with common needs.	social media keep and remind you all of your good experiences, so its help you to remain your satisfaction along your life.  
6289_6303	goldLabel	a2	"Social media make people feel happier about their lifes: they share things they done and get ""likes"" for them. "	Social media brings more good than harm because it allows people to communicate with others whom they would never have met previously.
5728_6974	goldLabel	a1	Modern communication largely occurs on social media, making it a new forum for individuals to share ideas and learn new things	Social media allowes people to stay in touch with eachother, by sending masseges, sharing pictures, and forming groups.
6039_6927	goldLabel	a1	Social media allows for easily accessible information about a variety of topics like politics and science, leading to a more informed populace. 	Gives the ability to maintain contact across distances. This allows people to move (for example to at better job) without losing their emotional support network
7085_6582	goldLabel	a1	Social media enable making mass social experiments and servies easily, and so making the act of collecting data easier, cheaper, faster and wider spread	Social media allows people to crowd source ideas and trade information so that individuals with different skills can connect and create better products.
6608_7266	goldLabel	a1	Individuals can share information with their friends over social media, allowing them to access news which interests them and is more likely to get them engaged.	Investigative journalists has been rehabilitated as individuals share news more readily over social media, creating higher ad revenue and incentivizing people to purchase subscriptions.
7016_6143	goldLabel	a1	We can stay in touch with old friends, via social media, and see what they are doing with their life	Allows individuals to easily share sad news (like the death of a loved one) once without the emotional burden of informing each acquaintance individually
6533_7214	goldLabel	a2	this is a better way to send a message between all of your co-workers, students, your employees,  	Social media allows celebrities and institutions to disseminate information far more efficiently.
6823_7016	goldLabel	a1	Social IT allows people which are marginalized and ignored by mainstream media to have a voice, that is potentially heard by the entire population. 	We can stay in touch with old friends, via social media, and see what they are doing with their life
6608_6927	goldLabel	a1	Individuals can share information with their friends over social media, allowing them to access news which interests them and is more likely to get them engaged.	Gives the ability to maintain contact across distances. This allows people to move (for example to at better job) without losing their emotional support network
6582_6639	goldLabel	a2	Social media allows people to crowd source ideas and trade information so that individuals with different skills can connect and create better products.	Social media exposes people to more information and makes information more accessible- knowledge spreading is generally a good thing: more people will have a lot of knowledge.
6921_6120	goldLabel	a1	Social media facilitates discourse by allowing individuals from different backgrounds to discuss the same material. 	help people with social anxiety to get friends and be more sociable, overcome their social anxiety
6252_6098	goldLabel	a2	More opportunities for political campaigns: The cost of pushing for a campaign in social media is cheaper (almost free) compared to real life campaigns. Thus, politics become more accessible.	Many revolutions globally have utilized social media as a platform for organization and communication. This allowed for the greater success and solidarity of these movements.
5829_6395	goldLabel	a2	it is a stage for people who don't Necessarily had a chance before to shine and showcase their tallent whrether its a swedish guy uploading videos on youtube or a talented foreign singer	Most people arent subscribed to a newspaper or watch the news on a regular basis, social media is often the only way they are exposed to news stories, this means we get more informed citizens.
5803_7213	goldLabel	a1	People can launch an online career through social media thus giving them a financial venue. 	the social media is contribute to the global economy.. people can make money in a better and easier way
6393_5802	goldLabel	a2	Social media allows for information to be shared more freely, which has been an effective method for contesting government abuse and subverting censorship. 	Social media connects immediately people who live far apart. You can follow your friends and family from afar and improve your relationships with them.
6843_6098	goldLabel	a1	Social media allows for a platform where everyone can freely express their thoughts and opinions, allowing for the maximized attainment of free speech. 	Many revolutions globally have utilized social media as a platform for organization and communication. This allowed for the greater success and solidarity of these movements.
7016_5776	goldLabel	a2	We can stay in touch with old friends, via social media, and see what they are doing with their life	Social media allows for people with similar interests and values to form communities across the global, allowing for more cultural understanding and diffusion. 
6143_6280	goldLabel	a2	Allows individuals to easily share sad news (like the death of a loved one) once without the emotional burden of informing each acquaintance individually	better way for people to be exposed to politic, so they can be more involved and influence on their country direction. 
6393_7266	goldLabel	a1	Social media allows for information to be shared more freely, which has been an effective method for contesting government abuse and subverting censorship. 	Investigative journalists has been rehabilitated as individuals share news more readily over social media, creating higher ad revenue and incentivizing people to purchase subscriptions.
6120_6577	goldLabel	a2	help people with social anxiety to get friends and be more sociable, overcome their social anxiety	Social media creates a platform for social activists to find supporters and thus create bigger social movements leading to social changes.
5816_6639	goldLabel	a1	Social media brings more good than harm because it lets people share their art and music, especially for people who would have been excluded from those industries in past decades.	Social media exposes people to more information and makes information more accessible- knowledge spreading is generally a good thing: more people will have a lot of knowledge.
6098_5728	goldLabel	a2	Many revolutions globally have utilized social media as a platform for organization and communication. This allowed for the greater success and solidarity of these movements.	Modern communication largely occurs on social media, making it a new forum for individuals to share ideas and learn new things
6612_6120	goldLabel	a1	Social media improves communication between friends and family members who live far away from each other. 	help people with social anxiety to get friends and be more sociable, overcome their social anxiety
5818_7094	goldLabel	a2	Social media allows people to stay in touch even if they live far away from each other.	Social media it a way to communicate with other people in the society, to tell them and share their feelings. 
7085_6252	goldLabel	a1	Social media enable making mass social experiments and servies easily, and so making the act of collecting data easier, cheaper, faster and wider spread	More opportunities for political campaigns: The cost of pushing for a campaign in social media is cheaper (almost free) compared to real life campaigns. Thus, politics become more accessible.
6582_5802	goldLabel	a2	Social media allows people to crowd source ideas and trade information so that individuals with different skills can connect and create better products.	Social media connects immediately people who live far apart. You can follow your friends and family from afar and improve your relationships with them.
6461_6039	goldLabel	a2	Social media connects between celebrities to their fan base, making them less “god like” and promoting people to follow them in a more positive way.	Social media allows for easily accessible information about a variety of topics like politics and science, leading to a more informed populace. 
7195_6579	goldLabel	a2	Social media enables people to talk to friends and family and learn about their lives even when they are far away, thus helping people that feel lonely or are away from their loved ones	Social media provides a platform for more direct to the public sources of news and information which can lead to a more informed populous when it comes to their important issues.
6582_5745	goldLabel	a1	Social media allows people to crowd source ideas and trade information so that individuals with different skills can connect and create better products.	Social media is a powerful Broadcasting tool to inform the masses, even if they aren't actively interested in the broadcast subject. 
7094_6577	goldLabel	a1	Social media it a way to communicate with other people in the society, to tell them and share their feelings. 	Social media creates a platform for social activists to find supporters and thus create bigger social movements leading to social changes.
