id	annotatorid	label	a1	a2
3663_3537	goldLabel	a2	If something went wrong, no one could stop it, because on one is in charge	By removing paper money, people will have a harder time understanding and visualizing the amount of money they are spending.
3517_3813	goldLabel	a2	We should not adopt cryptocurrency because its rapid shifts in value would discourage banks from making small loans, undermining people's access to credit (e.g. credit cards).	Cryptocurrency would lead to a more volatile stockmarket with larger busts since transactions are so fast and could snowball very quickly. 
3840_3666	goldLabel	a2	Since not controll by any bank, when the value it has crashes there is no relayble way to increase it again. 	Cryptocurrency is incredibly unstable, so using it as the primary currency of a nation means massive inflation and deflation on a weekly or monthly basis
3709_3734	goldLabel	a1	Corporations can create coins with the purpose of scamming clients by effectively printing money once their coins gain mainstream acceptance.	People who try to hide money due to abusive situations will see all their stored money wiped out.
3778_3783	goldLabel	a1	Cryptocurrency is more susceptible to hacking and other online security threats in a way that physical currency isn't. 	The variable price means that investors can easily lose substantial portions of their income.
3663_3581	goldLabel	a2	If something went wrong, no one could stop it, because on one is in charge	Crypto is vulnerable to hacking as its existence is purely digital.
3654_3535	goldLabel	a1	This makes currency manipulation a much more serious threat to the global economy	If we stop using cash, we become vulnerable to internet attack or crushes
3830_3672	goldLabel	a1	Crypto makes payments within criminal enterprises easier because it is untraceable, which makes them harder to stop.	Cryptocurrency facilitates the existence of the dark web by providing an optimal currency type for its existence. 
3771_3778	goldLabel	a2	The energy it takes to trace the blockchain increases the cost of every transaction.	Cryptocurrency is more susceptible to hacking and other online security threats in a way that physical currency isn't. 
3742_3642	goldLabel	a2	Crypto coins are not subject to the regulation of a country like ordinary currencies, which means that it is easier to carry out frauds and market manipulations on those who use them.	Given that cryptocurrencies aren't backed in the same way traditional currencies are, they're incredibly unstable, and people investing in them often lose huge sums of money in short periods of time.
3549_3687	goldLabel	a1	Cryptocurrency is detached from physical world, making it hard for people to accept and possibly creating some sort of a backlash, especially in the initial phases of the adoption. 	Every coin is traced, and that's a huge breach of my privacy because all of my purchases history (or at least where I bought stuff from) is exposed
3668_3680	goldLabel	a1	Without control over the currency, the government cannot meaningfully back up their treasury bonds making borrowing far more difficult.	Verifying a coins legitimacy takes a very long time, which slows all economic transactions which include crypto.
3779_3662	goldLabel	a1	Many people are not technologically literate or do not understand cryptocurrencies, meaning that widespread adoption of cryptocurrencies would make it more difficult to access the market for these people. 	It is unreliable and it's value changes constantly , so a lot of people might lose a lot if there money if the will use it 
3783_3762	goldLabel	a1	The variable price means that investors can easily lose substantial portions of their income.	Cryptocurrency is much less easily tracked and thus will be used to enable illegal trades
3751_3709	goldLabel	a1	Because cryptocurrency is untraceable, the amount of coins in circulation cannot be determined and the market can be flooded at any time.	Corporations can create coins with the purpose of scamming clients by effectively printing money once their coins gain mainstream acceptance.
3767_3517	goldLabel	a2	"Because crypto ""wallets"" do not have the history or reputation of banks, they are more likely to steal money that are invested with them."	We should not adopt cryptocurrency because its rapid shifts in value would discourage banks from making small loans, undermining people's access to credit (e.g. credit cards).
3817_3662	goldLabel	a1	Cryptocurrency has no defined value so I may actually lose all of my money or a significant portion if it beacuse of changes in the market	It is unreliable and it's value changes constantly , so a lot of people might lose a lot if there money if the will use it 
