id	annotatorid	label	a1	a2
3846_3834	goldLabel	a1	Credit card companies and banks use their control over money to censor ideas and enforce their will. Crypto is not controlled.	Promises stability in monetary policies because it is gets extremely hard to print money, which is a huge cause for economical crises 
3794_3628	goldLabel	a2	More fake proof then cash , there is a lot of fake bill , but not a single fake Bitcoin 	(Depends on the mechanism) -  the goverment will be able to trace money  transaction more easily causing less tax evasion,  unlike using cash 
3727_3735	goldLabel	a2	There are no commissions and people can control much better their money directly and not through a bank which is unstable and has bad interest. People's money is more. Likely to be safe. 	Coins can be created for specific uses, such as being tacked to the stock market, used for banking and transferring funds between institutions, or everyday use. More specific uses means better options for consumers.
3641_3523	goldLabel	a1	Companies can share information in order to create more safe and effective currencies if crypto is adopted.	Blockchain is cool science so we should try it even if it fails
3622_3790	goldLabel	a1	Banks expand inequality by giving rewards to the already wealthy and by being an entrenched form of power. New money and new institutions may upset that balance.	"bridging over economies.



I can pay to somone by a global coin without thinking of a future valeue of a specific money"
3605_3533	goldLabel	a2	Crypto can have smart contracts built in which transfer their ownership if certain conditions are met.	Cryptocurrency adoption would lead to a more efficient stock market since transactions would be faster. 
3542_3790	goldLabel	a1	By allowing for fractional, floating amounts of a coin to be spent, the true value of an item can more closely be determined.	"bridging over economies.



I can pay to somone by a global coin without thinking of a future valeue of a specific money"
3805_3597	goldLabel	a1	More people will buy things since they will feel protected thanks to encryption, which will boost the economy. 	Less cases of theft (of money and personal info) since the transaction is encrypted.
3591_3638	goldLabel	a1	Cryptocurrencies are not subject to the current political climate in any given country at any given time and are therefore more stable than other currencies and offer better security to holders.	Investing now would get ne richer because in the long term, the value of the coin is only going to rise because it's a matter of time before everybody would use it
3649_3533	goldLabel	a2	Governments can unjustly ban things for political reasons. Crypto lets consumers get around this ban and lets the market flourish.	Cryptocurrency adoption would lead to a more efficient stock market since transactions would be faster. 
3597_3789	goldLabel	a2	Less cases of theft (of money and personal info) since the transaction is encrypted.	Fewer intermediaries decreases the cost of transferring crypto compared to traditional money.
3640_3525	goldLabel	a2	Individuals can choose to take on more risk for more reward with newer coins. Autonomy in investments means people are able to better cater their needs and future plans.	Cryptocurrencies can formalize and give rise to markets in regions of the world in which a central monetary authority or government is non-existent or incompetent. 
3727_3564	goldLabel	a2	There are no commissions and people can control much better their money directly and not through a bank which is unstable and has bad interest. People's money is more. Likely to be safe. 	Cryptocurrency is controlled directly by society, so it's much less probable that a single organization will be able to create an artificial policy about the way money flow and behave. 
