id	annotatorid	label	a1	a2
1400_1127	goldLabel	a2	Minors will find a way of accessing this video games, at least when they buy them the parents are usually informed (they pay) and can talk to them and mitigate the potential harms	Violent video games allows for catharsis in some children and can actually reduce actual violence. The parents are able to determine what effect violent video games have on their children and act accordingly. 
1467_1309	goldLabel	a2	making something elegal will inevidebly make it more desirable, especially by young people	Kids will just watch violent shows instead and will still be exposed to violence
1331_1465	goldLabel	a1	Not allowing something, in this case violent video games, increases minors desire to play the games and they will seek opportunities to do so	Banning can make youth antagonistic towards the government wich disturb with their own freedom. There for will create a generation of that have  anty government ideals. 
1127_1248	goldLabel	a1	Violent video games allows for catharsis in some children and can actually reduce actual violence. The parents are able to determine what effect violent video games have on their children and act accordingly. 	Those games don't represent the reality because they show pixelated 'people' and animated scenery, so the immersion os not real and people won't be more violent because of it
1465_1315	goldLabel	a2	Banning can make youth antagonistic towards the government wich disturb with their own freedom. There for will create a generation of that have  anty government ideals. 	It is impossible to ban children from using violent video games. They will find another way, making this motion very ineffective in solving the problem.
1005_1267	goldLabel	a2	By banning it from minors, companies that do make violent games will make them more violent since the marek they will try to reach will intuitively be older. But, as showed, children will be exposed.	Time and again, studies have shown that violent video games do not actually lead to increased rates of violence or hostility amongst the people that play these games, even amongst minors. 
1337_1434	goldLabel	a1	When forbidden, many parents will see the measure as extreme and fully disregard it in comparative to understanding the problematic side and teaching the child 	Trying to teach and educate youth by banning games is in contrary to to educating children to identifing wrong and deciding for their self's.
1120_1313	goldLabel	a2	Illigel market- in the internet Era of will be hard to implement the ban and kids will still play the games but now without adults knowing about it.	Those video games develop positive skills for the children- quick reaction, focus and more. Banning them will make them less likely to learn those skills since they are unique to the violent games.
1313_1200	goldLabel	a1	Those video games develop positive skills for the children- quick reaction, focus and more. Banning them will make them less likely to learn those skills since they are unique to the violent games.	"Children have a harder time distinguishing life and fantasy, good and bad.

The violent behaviour encouraged by the video game will see its way to the real life."
1164_1025	goldLabel	a1	Banning it will make the games seem more interesting, like a cookie they must not eat. This will make them more likely to download it illegally, or tell their parents to buy it. 	Banning games may introject on parents duty of reaching their chidren the difference between wrong and wight.In any case their will be in contact with violence through TV News Pappers and other platforms.
1152_1471	goldLabel	a1	Despite the rise of violent video games juvenile crime is down, which means they aren't correlated. 	It's ineffective , we already band alcohol and they are still getting it
1416_1465	goldLabel	a1	The absolute most of the kids that will play these games won't be more violent as a result of paying them so it's unfair for those kids	Banning can make youth antagonistic towards the government wich disturb with their own freedom. There for will create a generation of that have  anty government ideals. 
1302_1400	goldLabel	a1	We should not ban the sale of violent video games to minors because it is not the role of the state to decide what material is and is not fit for children.	Minors will find a way of accessing this video games, at least when they buy them the parents are usually informed (they pay) and can talk to them and mitigate the potential harms
1089_1385	goldLabel	a1	We should not ban the sale of violent video games to minors because it unfairly punishes one medium, when other media can use violence freely.	We should not ban the sale of violent video games to minors because the definitions will be arbitrary and likely favor one narrative or style over others.
1471_1126	goldLabel	a2	It's ineffective , we already band alcohol and they are still getting it	The creation of video games is an action of free speech and shouldn't be undermined by government action. 
1009_1313	goldLabel	a1	Banning violent video games means people will scrutinize the media their children consume less, which leads to other problematic content sneaking through (ex. drug use/ alcohol use / disrespecting women  	Those video games develop positive skills for the children- quick reaction, focus and more. Banning them will make them less likely to learn those skills since they are unique to the violent games.
1193_1326	goldLabel	a1	Modern media is already saturated with an incredible amount of violence, so violent video games are not the tipping point for decreasing empathy or desensitizing children towards violence in the status quo. 	They will pressure their parents to buy for them the games by crying, parents are likely to want to satifsy them and buy them the game, so banning it is not effective. 
1017_1452	goldLabel	a1	Minors will find a way of accessing this video games, at least when they buy them the parents are usually informed (they pay) and can help them choose the games that are less harmful	Society forces children to act against their instincts of violence and this is a way to take them out without harming anyone else, what would happen without the games. 
1491_1032	goldLabel	a2	Because of the standardized ESRB rating system, parents can make informed choices themselves over whether or not children should be able to play violent video games.	Parents should be the ones that decide what their kids should or shouldn't play, they are their moral guardians and not the state
1083_1372	goldLabel	a1	Making something off limits to children makes it more appealing because it is taboo and feels rebellious. 	Shaping the behavior of citizens in any way other than to protect natural rights is paternalistic and criminal.
1328_1337	goldLabel	a1	The violent video games allow a virtual punching bag for the child to transfer their frustration onto, rather than inflicting it on themselves or other, real, people.	When forbidden, many parents will see the measure as extreme and fully disregard it in comparative to understanding the problematic side and teaching the child 
1483_1329	goldLabel	a2	Video games are not realistic, children don't have a problem of differentiating what's ok in the game and what's ok in the real world	We should not ban the sale of violent video games to minors because children can distinguish fiction from reality.
1166_1005	goldLabel	a1	Though they are young, minors are still able to distinguish between fantasy and reality, and can understand that the actions they may take in a game are unacceptable in the real world. 	By banning it from minors, companies that do make violent games will make them more violent since the marek they will try to reach will intuitively be older. But, as showed, children will be exposed.
1334_1292	goldLabel	a1	We should not ban the sale of violent video games to minors because children today are more sheltered from violence than they were historically, so they are unprepared for violence in the world.	It won’t help because they will find ways to get any way- the ban will be on them and they will get in a different way- so the won’ help
1387_1377	goldLabel	a2	It will hurt video games companys become a large portion of their customers won't be able to buy their games anymore so developers will get fired 	Violent video games provide an outlet for children's aggression and anger such that they won't express it later against real people. 
1002_1301	goldLabel	a2	Children should not be hidden from what the world is really like. Since violence exists, and children are likely to see it in some way in real life, it's better to start with this exposure. 	We should not ban the sale of violent video games to minors because the definition of excessive violence is arbitrary and only reflects the values of the reviewer, not society as a whole.
1248_1302	goldLabel	a2	Those games don't represent the reality because they show pixelated 'people' and animated scenery, so the immersion os not real and people won't be more violent because of it	We should not ban the sale of violent video games to minors because it is not the role of the state to decide what material is and is not fit for children.
1119_1200	goldLabel	a1	Children are exposed to violence in many other media. Banning the selling of violent video games will not create any impact, it will only make the government seem oppressive.	"Children have a harder time distinguishing life and fantasy, good and bad.

The violent behaviour encouraged by the video game will see its way to the real life."
1353_1337	goldLabel	a2	Video games are a good medium for children to take out their aggressions, instead in real life- against other children.	When forbidden, many parents will see the measure as extreme and fully disregard it in comparative to understanding the problematic side and teaching the child 
1120_1119	goldLabel	a2	Illigel market- in the internet Era of will be hard to implement the ban and kids will still play the games but now without adults knowing about it.	Children are exposed to violence in many other media. Banning the selling of violent video games will not create any impact, it will only make the government seem oppressive.
1011_1032	goldLabel	a2	Banning violent video games means that companies who spent years on a certain product will not get none which is unfair. 	Parents should be the ones that decide what their kids should or shouldn't play, they are their moral guardians and not the state
1385_1387	goldLabel	a1	We should not ban the sale of violent video games to minors because the definitions will be arbitrary and likely favor one narrative or style over others.	It will hurt video games companys become a large portion of their customers won't be able to buy their games anymore so developers will get fired 
1120_1483	goldLabel	a2	Illigel market- in the internet Era of will be hard to implement the ban and kids will still play the games but now without adults knowing about it.	Video games are not realistic, children don't have a problem of differentiating what's ok in the game and what's ok in the real world
1353_1372	goldLabel	a1	Video games are a good medium for children to take out their aggressions, instead in real life- against other children.	Shaping the behavior of citizens in any way other than to protect natural rights is paternalistic and criminal.
