id	annotatorid	label	a1	a2
1803_1859	goldLabel	a1	Doping legalization will ruin the entertainment value and suspense of sports since the outcome of sporting events will be determined by whose bodies react best to chemicals. 	Athletes who wish to break records are likely to take risks and try new drugs, even if they are not as safe, and as a result are likely to be harmed. 
1830_1718	goldLabel	a1	Allowing athletes to use drugs will cause coercion to use them - either by pressure from the athlete's coach or friends, or internal pressure because they want to be successful	Athletes are already performing at a higher level than ever before thanks to advances in training and physical therapy, so legalizing doping is not necessary to improve the quality of sport. 
1764_1769	goldLabel	a1	Keeping their job in professional sports would pressure athletes to dope, and doping is dangerous to athlete health.	Serves as a bad example for young people by people who often serve as role models
1826_1715	goldLabel	a1	Doping causes physical harm to athletes in the long run, which they often can't foresee when doing it.	Hurts athletes because drugs are dangerous and cause various diseases and even death
1757_1636	goldLabel	a2	The decision of the athlets to take drugs will. Be irrational because of the huge pressure on them to be better and get more money. That limits the autonomy of athlets to choose their way. 	Legalization of doping is trying to hit a moving target since once doping becomes the norm athletes will have to find something even more extreme to make themselves seem uniquely good. 
1740_1572	goldLabel	a1	Fans are against doping in the vast majority of sports, so legalizing doping would drive away fans of the sport and ultimately hurt the game.	It'll make sporting events less interesting because the differences between different players becomes less visible, fewer extreme records are going to be broken
1692_1834	goldLabel	a1	Harm to athletes: Doping is incredibly harmful. It permanently harms the body of athletes	Legalized doping disincentives parents from allowing their children to persue careers in professional sports. 
1642_1587	goldLabel	a1	It'll increase inequality in sports because only athletes with sponsors or countries that can pay for the best drugs will be able to win	Many performance-enhancing drugs are addictive, which means that after the initial use, the choice to use them isn't free.
1635_1734	goldLabel	a1	We should not legalize doping in sport because the long term effects of doping are not well understood and there could be serious harms to people's health.	It will be hard for athletes from poor areas to show how good they are becose they won't get drugs as easily as athletes from reach areas
1875_1590	goldLabel	a1	Performance enhancing drugs ruin the integrity of sports causing backlash from fans and athletes alike.	Doping athletes would set a bad example to viewers who might wish to follow their idols. 
1803_1870	goldLabel	a2	Doping legalization will ruin the entertainment value and suspense of sports since the outcome of sporting events will be determined by whose bodies react best to chemicals. 	Athletes are seen as role models by many young people. If they use drugs to succeed, others are likely to follow their example.
1814_1739	goldLabel	a2	This encourages kids to dope because they see their role models using drugs and then are more likely to mimic.	Doping is very unhealthy, allowing doping will cause more athletes to dope which will make more athletes unhealthy.
1935_1713	goldLabel	a1	Allowing doping practically means forcing doping, as the allowance of doping means that anyone that doesn't take the adherent drugs is to become none-competitive. 	Most a matures who aspire to be like the athletes they look up to don't have the supporting staff and facilities that help balance the negative effect of doping. 
