id	annotatorid	label	a1	a2
3911_3997	goldLabel	a1	Fossil fuels require expensive and bulky transportation through trucks or pipes, other energy sources don't need any transportation (wind or sun) or comparatively little (biodiesel). 	As we run out of fossil fuels they get more and more expensive without research for an alternative, which will lead to a lack of energy crisis. 
3964_3883	goldLabel	a1	Fossil fuels contribute to global warming, which will cause the inevitable heat death of the universe. 	We should ban fossil fuels because even though it would be painful, the alternative is an anthropocene mass extinction. 
3964_3897	goldLabel	a1	Fossil fuels contribute to global warming, which will cause the inevitable heat death of the universe.	Fossil fuel companies often have incredibly bad and dangerous working conditions.
4065_4035	goldLabel	a1	A ban on fossil fuels creates an impetus for research into alternative energy sources that isn't happening right now because the presence of fossil fuels makes investing in green energy risky.	We should ban fossil fuels because the industry props up some of the world's worst regimes and gives them the wealth and power to mistreat their people and war monger.
3883_4031	goldLabel	a1	We should ban fossil fuels because even though it would be painful, the alternative is an anthropocene mass extinction.	Air pollution from fossil fuels creates poor air quality that contributes to asthma and other lung problems.
3883_3900	goldLabel	a1	We should ban fossil fuels because even though it would be painful, the alternative is an anthropocene mass extinction.	Burning oil, gas, and coal released carbon dioxide that causes ocean acidification and kills sea life.
4048_3997	goldLabel	a1	A ban on fossil fuels would push people to drive less and carpool more often, this would decrease traffic which would be good for the environment and productivity.	As we run out of fossil fuels they get more and more expensive without research for an alternative, which will lead to a lack of energy crisis.
3897_3900	goldLabel	a1	Fossil fuel companies often have incredibly bad and dangerous working conditions.	Burning oil, gas, and coal released carbon dioxide that causes ocean acidification and kills sea life.
4048_4035	goldLabel	a1	A ban on fossil fuels would push people to drive less and carpool more often, this would decrease traffic which would be good for the environment and productivity.	We should ban fossil fuels because the industry props up some of the world's worst regimes and gives them the wealth and power to mistreat their people and war monger.
3883_3993	goldLabel	a2	We should ban fossil fuels because even though it would be painful, the alternative is an anthropocene mass extinction.	Banning fossil fuels would create jobs in the new energy sectors that crop up to replace them.
3983_4078	goldLabel	a2	The search for fossil fuels is the source of international conflict in Antarctica, a ban would stop this and the potential for escalation.	Alternative energy sources can be continually replenished through natural processes, lending them to more stable prices compared to the volatility of fossil fuels.
3875_3997	goldLabel	a1	Fossil fuels will eventually run out, we should ban them before that happens so we have time to implement new energy forms without crisis.	As we run out of fossil fuels they get more and more expensive without research for an alternative, which will lead to a lack of energy crisis.
3883_4078	goldLabel	a1	We should ban fossil fuels because even though it would be painful, the alternative is an anthropocene mass extinction.	Alternative energy sources can be continually replenished through natural processes, lending them to more stable prices compared to the volatility of fossil fuels.
3965_3997	goldLabel	a1	A ban on fossil fuels demonstrates a commitment to energy alternatives and the environment that will signal to individual citizens they should also start caring.	As we run out of fossil fuels they get more and more expensive without research for an alternative, which will lead to a lack of energy crisis.
3997_4065	goldLabel	a2	As we run out of fossil fuels they get more and more expensive without research for an alternative, which will lead to a lack of energy crisis.	A ban on fossil fuels creates an impetus for research into alternative energy sources that isn't happening right now because the presence of fossil fuels makes investing in green energy risky.
3911_4078	goldLabel	a1	Fossil fuels require expensive and bulky transportation through trucks or pipes, other energy sources don't need any transportation (wind or sun) or comparatively little (biodiesel).	Alternative energy sources can be continually replenished through natural processes, lending them to more stable prices compared to the volatility of fossil fuels.
3911_4035	goldLabel	a2	Fossil fuels require expensive and bulky transportation through trucks or pipes, other energy sources don't need any transportation (wind or sun) or comparatively little (biodiesel).	We should ban fossil fuels because the industry props up some of the world's worst regimes and gives them the wealth and power to mistreat their people and war monger.
4078_3875	goldLabel	a2	Alternative energy sources can be continually replenished through natural processes, lending them to more stable prices compared to the volatility of fossil fuels.	Fossil fuels will eventually run out, we should ban them before that happens so we have time to implement new energy forms without crisis.
3953_3943	goldLabel	a1	Fossil fuels are going to deplete soon and dependence on them should be reduced as soon as possible.	We should ban fossil fuels because it would force us to pivot to biodegradable plastics, since the most common non-biodegradable ones are oil-based.
4037_3902	goldLabel	a2	Global warming is happening in an extremely fast pace and the only time to stop it is now	Fossil fuels pollute the earth and water such that it poisons the plants, animals, and people living there.
4037_3851	goldLabel	a2	Global warming is happening in an extremely fast pace and the only time to stop it is now	fossil fuels are a massive polluter, the use of which leads to climate change, destruction of habitats and more natural disasters.
4105_3905	goldLabel	a2	Large fossil fuel companies often displace indigenous communities when building new oil rigs or infrastructure.	Banning fossil fuels will force and incentivize governement and corporations to find better, more viable alternatives
3922_3946	goldLabel	a1	The usage of fossil fuel is highly contaminating, leading to health damages for major parts of the populations, most of them weren't the consumers or producers, and did not consent to such harms	we would all benefit from living in a less polluted, slightly more expensive environment. but individually, less polluting and more expensive business models can't compete. it's a collective action problem only solvable by the state.
3849_4065	goldLabel	a1	The environment is at a tipping point, so if we ban fossil fuels now we can reverse the damage done to it, but if we don't the damage would be irreversible	A ban on fossil fuels creates an impetus for research into alternative energy sources that isn't happening right now because the presence of fossil fuels makes investing in green energy risky.
4096_4087	goldLabel	a1	The act of extracting energy from fossil fuels is envirinmentally damaging. The high demang for such energy due to technologically advancing world creates a massive environmental damage.	We are specifically at a turning point in climate change and environmental damage that requires action now before it is too late.
3902_3862	goldLabel	a1	Fossil fuels pollute the earth and water such that it poisons the plants, animals, and people living there.	We should ban fossil fuels because it will create a demand for energy that will spur massive investment in renewable energy infrastructure.
