id	annotatorid	label	a1	a2
1006_1418	goldLabel	a2	Violent games might give youth the idea of solving their problems by useing violents.	It reinforces the message that violence is wrong and isn't tolerated in our society
1497_1117	goldLabel	a1	Children emulate the media they consume and so will be more violent if you don't ban them from violent video games. 	These are less fun and more harmful games but specifically violent games are played in groups and exclude softer souls
1173_1327	goldLabel	a2	violent video games tend to be extremly addictive so it is more likely that kids will get addicted to them. the addiction will efect their lives	Minors are more likely to be influenced by the games and use them as a learning tool for real life interactions. Therefore, they will become more violent in real life.
1370_1065	goldLabel	a2	We should ban the sale of violent video games to minors because kids need time to be kids with exposure to terrible things.	Children can’t tell right from wrong. When violence is introduced to them as something fun and thrilling, they will think it’s ok, and act upon it.
1338_1117	goldLabel	a1	Children can’t distinguish between reality and game and are more prone to be traumatized for the long term by what they see when they play.	These are less fun and more harmful games but specifically violent games are played in groups and exclude softer souls
1269_1288	goldLabel	a1	While children may not mimic the exact actions that they see in violent video games, these games do lead to minors being more aggressive in their daily lives. 	the main feature that distinguishes games from other violent media is that gamers make decisions and are rewarded/punished accordingly. allowing minors to even consider extremely violent choices is wrong and should be banned.
1045_1421	goldLabel	a1	Violent video games may cause minors to view violence as a trivial matter and therefore distort their worldview and saturate their empathy towards real life tragedies. 	Specifically violence makes games more addictive through the use of adrenaline and that causes them to sit in front of the computer for a long time
1421_1227	goldLabel	a2	Specifically violence makes games more addictive through the use of adrenaline and that causes them to sit in front of the computer for a long time	Violence in video games such as Grand Theft Auto is often directed specifically towards women, perpetuating things like toxic masculinity and the disregard for female autonomy and value. 
1094_1045	goldLabel	a2	Violent video games are inappropriate for minors to engage with. Age restrictions will prevent these sorts of engagements with crass and inappropriate behavior. 	Violent video games may cause minors to view violence as a trivial matter and therefore distort their worldview and saturate their empathy towards real life tragedies. 
1236_1065	goldLabel	a2	These games are inherently racist because of the need to split between two fighting groups. This teaches the children bad values	Children can’t tell right from wrong. When violence is introduced to them as something fun and thrilling, they will think it’s ok, and act upon it.
1287_1288	goldLabel	a1	Violent video games are built so that the violent behaviour will award the player. It gives a false way to learn about the consequences of actions, awarding bad behaviour rather than discouraging.	the main feature that distinguishes games from other violent media is that gamers make decisions and are rewarded/punished accordingly. allowing minors to even consider extremely violent choices is wrong and should be banned.
1034_1388	goldLabel	a2	Many parents do not want their children to be exposed to violent games, but today children can buy games without the parent's permission or knowledge.	Minors who want to purchase violent video games will need their parents to do so and therefore it allows the parents to monitor what content their children are exposed to. 
1338_1236	goldLabel	a1	Children can’t distinguish between reality and game and are more prone to be traumatized for the long term by what they see when they play.	These games are inherently racist because of the need to split between two fighting groups. This teaches the children bad values
1463_1034	goldLabel	a1	These video game glorify violence and teach players that violence is an acceptable option for solving one's problems, and these are lessons that we should not be teaching to children	Many parents do not want their children to be exposed to violent games, but today children can buy games without the parent's permission or knowledge.
1403_1513	goldLabel	a2	Violent video games make you dehumanize your enemies therefore making you less hesitant to harm opponents in real life	violent video game educate our children to violence, so its educate our future population to bad way. 
1277_1435	goldLabel	a2	We must ban it completely and not allow the sellers to decide since they want to sell products over caring for society. 	While playing video games the minor is making the choices and is much more involved in the violent acts compared to other medias. He chooses the violence. 
1418_1261	goldLabel	a1	It reinforces the message that violence is wrong and isn't tolerated in our society	Instead of playing those games the minors will now play other types of games, which are less violent.
1033_1421	goldLabel	a1	Most parents don't want their kids to play these games but can't control it. It takes state intervention to protect the actual educational wishes of parents from external bad influence.	Specifically violence makes games more addictive through the use of adrenaline and that causes them to sit in front of the computer for a long time
1156_1513	goldLabel	a1	Psychological studies have confirmed decreased cognitive function in children exposed to violent media.	violent video game educate our children to violence, so its educate our future population to bad way. 
1319_1034	goldLabel	a1	In early ages children have a hard time differentiating virtual games from the reality, and they can sometimes feel like the reality is some kind of a game	Many parents do not want their children to be exposed to violent games, but today children can buy games without the parent's permission or knowledge.
1414_1287	goldLabel	a2	These games break a social taboo and once one kids have them  they all want them. This means an entire school becomes more violent and it is much more likely that fights will become violent.	Violent video games are built so that the violent behaviour will award the player. It gives a false way to learn about the consequences of actions, awarding bad behaviour rather than discouraging.
1432_1265	goldLabel	a1	Banning violent video games will create a vacuum in the video games  collection that can be filled with educational games, that are rare today.	it impair the connection between parents and their children, because the children spending their time playing computer games and not with their families
1261_1241	goldLabel	a2	Instead of playing those games the minors will now play other types of games, which are less violent.	Children have a harder time coping with violence and violent videos have the potential to traumatize them. 
1173_1319	goldLabel	a1	violent video games tend to be extremly addictive so it is more likely that kids will get addicted to them. the addiction will efect their lives	In early ages children have a hard time differentiating virtual games from the reality, and they can sometimes feel like the reality is some kind of a game
1033_1194	goldLabel	a1	Most parents don't want their kids to play these games but can't control it. It takes state intervention to protect the actual educational wishes of parents from external bad influence.	Parents can't make sure that their kids are not playing these games at other kid's houses, and this is the only way to enforce this rule 
1138_1003	goldLabel	a2	We should ban the sale of violent video games to minors because they crowd out other more beneficial forms of media for young people.	Even if video games alone don't cause violence, the gaming culture associated with them encourages bullying and aggression in children. 
1293_1287	goldLabel	a2	minors rely strongly on strict boundaries. Once they can act in a violent way and get away with it, even if it's in a game, it will lead to more violent behaviors overall.	Violent video games are built so that the violent behaviour will award the player. It gives a false way to learn about the consequences of actions, awarding bad behaviour rather than discouraging.
1403_1277	goldLabel	a1	Violent video games make you dehumanize your enemies therefore making you less hesitant to harm opponents in real life	We must ban it completely and not allow the sellers to decide since they want to sell products over caring for society. 
1490_1261	goldLabel	a1	Minors' minds are fresh and they can absorb new ideas faster than adults. Therefore, violent video have a greater harmful influence on minors.	Instead of playing those games the minors will now play other types of games, which are less violent.
1433_1169	goldLabel	a1	These games create indifference to violence. Playing them makes the players less likely to stand against violence and bullying, and less likely to empathise with victims of violence and offer them help.	The games tend to disregard war conventions and causes the youth to believe in a world where wars are likely and have different rules than in reality. 
1370_1497	goldLabel	a2	We should ban the sale of violent video games to minors because kids need time to be kids with exposure to terrible things.	Children emulate the media they consume and so will be more violent if you don't ban them from violent video games. 
1034_1033	goldLabel	a1	Many parents do not want their children to be exposed to violent games, but today children can buy games without the parent's permission or knowledge.	Most parents don't want their kids to play these games but can't control it. It takes state intervention to protect the actual educational wishes of parents from external bad influence.
1277_1138	goldLabel	a2	We must ban it completely and not allow the sellers to decide since they want to sell products over caring for society. 	We should ban the sale of violent video games to minors because they crowd out other more beneficial forms of media for young people.
1200_1331	goldLabel	a2	Children have a harder time distinguishing life and fantasy, good and bad. The violent behaviour encouraged by the video game will see its way to the real life.	Not allowing something, in this case violent video games, increases minors desire to play the games and they will seek opportunities to do so
1177_1003	goldLabel	a1	Violent video games affect the thoughts of children and these constant violent thoughts may lead to violent actions.	Even if video games alone don't cause violence, the gaming culture associated with them encourages bullying and aggression in children.
1034_1432	goldLabel	a1	Many parents do not want their children to be exposed to violent games, but today children can buy games without the parent's permission or knowledge.	Banning violent video games will create a vacuum in the video games collection that can be filled with educational games, that are rare today.
1463_1219	goldLabel	a2	These video game glorify violence and teach players that violence is an acceptable option for solving one's problems, and these are lessons that we should not be teaching to children	We should ban the sale of violent video games to minors because most parents want this ban, and they are the people best positioned to make this decision.
1497_1421	goldLabel	a1	Children emulate the media they consume and so will be more violent if you don't ban them from violent video games.	Specifically violence makes games more addictive through the use of adrenaline and that causes them to sit in front of the computer for a long time
1293_1170	goldLabel	a2	minors rely strongly on strict boundaries. Once they can act in a violent way and get away with it, even if it's in a game, it will lead to more violent behaviors overall.	Those games show crimes as something that is cool and profitable, so children are more likely to act accordingly in order to feel cooler or to impress their friends
1049_1261	goldLabel	a1	All video games are bad because they waste the time of minors when they instead should be learning.	Instead of playing those games the minors will now play other types of games, which are less violent.
1277_1454	goldLabel	a2	We must ban it completely and not allow the sellers to decide since they want to sell products over caring for society.	Minors are easily influenced, plaing violent video games and associating it with fun may make them more voilent.
1007_1219	goldLabel	a1	Minors are not always able to differentiate between what is reality or fantasy and therefore violent video games may distort the way they see the world such as glorifying violence.	We should ban the sale of violent video games to minors because most parents want this ban, and they are the people best positioned to make this decision.
1173_1007	goldLabel	a1	violent video games tend to be extremly addictive so it is more likely that kids will get addicted to them. the addiction will efect their lives	Minors are not always able to differentiate between what is reality or fantasy and therefore violent video games may distort the way they see the world such as glorifying violence.
