id	annotatorid	label	a1	a2
5389_5619	goldLabel	a2	New economy is the economy of data. Without opening up the equal access to information and citizen footprint, new player cannot enter the scene and compete the big organization already collecting data, ultimately disadvantaging citizen.	Privacy laws are cumbersome, especially for global companies. As companies market and make suggestions for improvements based on demographic data. I think if companies are careful with the type of data that they leverage, its fine.
5514_5392	goldLabel	a2	The problem with these laws is when governments make them way too hard to comply with by adding unnecessary hurdles that get in the way of technological progress.	Information privacy laws will make it harder for big companies to keep their rate of innovation - they will have to focus more on compliance instead of improving the actual product for the end consumer.
5277_5346	goldLabel	a1	It is very difficult or almost impossible to protect our privacies as information cannot be vailed if it is once vailed. So, I believe we will not have concern on privacies in the future.	Privacy is over-rated - the fact that people tend to post any moment of their lives on social media, is proof that people don't care about their privacy
5399_5547	goldLabel	a1	Information privacy laws restrict information in hands of only few people who can then exploit that information for personal interests	Progress can only made with free access to data. By connecting all the dots, new magic can be developed.
5559_5260	goldLabel	a2	The very Privacy concept reinforce the human nature of lying, deceiving and secretly working against someone.	The privacy argument can sometimes be miss-used to cover up criminal issues
5493_5399	goldLabel	a2	Privacy laws are unnecessary because companies only use personal information to improve user experience.	Information privacy laws restrict information in hands of only few people who can then exploit that information for personal interests
5666_5603	goldLabel	a2	No, As information belongs to everyone, whether it is people in public position, or public policies for people	Universal publicity of data may help the world to be more globalised and integrated
5464_5669	goldLabel	a2	Government regulation is not a way to protect privacy. Rather, this should be done through technological innovation and private initiative.	Transparency and information helps human take informed decision. Privacy laws restrict the flow of information, which leads to wrong decisions made because of lack of information.
5624_5514	goldLabel	a1	Privacy laws will make it harder to gather a complete picture of information about a individual, but prohibiting the use of combined databases of personal data.	The problem with these laws is when governments make them way too hard to comply with by adding unnecessary hurdles that get in the way of technological progress.
5464_5616	goldLabel	a2	Government regulation is not a way to protect privacy. Rather, this should be done through technological innovation and private initiative.	Information Privacy laws put a huge unforeseen burden on corporations on how they maintain and use data.
5399_5521	goldLabel	a1	Information privacy laws restrict information in hands of only few people who can then exploit that information for personal interests	In our age of advanced technology, privacy is an outdated concept. Get over it, and get used to the new realities.
5526_5546	goldLabel	a2	Individuals have no inherent right to privacy and no granted right under the United States Constitution.	Personal information is required in order to train computers that can personalize information. This results in a better experience overall.
5678_5262	goldLabel	a2	If you have done nothing wrong then you shouldn't be afraid of showing everything too every body.	Taking to extremes information privacy laws takes away the opportunity to share insights and pass on learnings from one generation to the other
5619_5446	goldLabel	a1	Privacy laws are cumbersome, especially for global companies. As companies market and make suggestions for improvements based on demographic data. I think if companies are careful with the type of data that they leverage, its fine.	Many companies like Google, Amazon, Microsoft and others provide valuable services for free or at a fraction of the cost. The general population would not have access to these services without user data.
5616_5493	goldLabel	a2	Information Privacy laws put a huge unforeseen burden on corporations on how they maintain and use data.	Privacy laws are unnecessary because companies only use personal information to improve user experience.
5260_5526	goldLabel	a1	The privacy argument can sometimes be miss-used to cover up criminal issues	Individuals have no inherent right to privacy and no granted right under the United States Constitution.
5559_5603	goldLabel	a2	The very Privacy concept reinforce the human nature of lying, deceiving and secretly working against someone.	Universal publicity of data may help the world to be more globalised and integrated
5340_5493	goldLabel	a2	It is impossible to stop progress. People share their information willingly. Governments should not interfere.	Privacy laws are unnecessary because companies only use personal information to improve user experience.
5452_5392	goldLabel	a2	Information should be set free. There's a lot of value to be given back to society by sharing personal information. Society can only be made better if services and products can be designed to their needs.	Information privacy laws will make it harder for big companies to keep their rate of innovation - they will have to focus more on compliance instead of improving the actual product for the end consumer.
5277_5452	goldLabel	a2	It is very difficult or almost impossible to protect our privacies as information cannot be vailed if it is once vailed. So, I believe we will not have concern on privacies in the future.	Information should be set free. There's a lot of value to be given back to society by sharing personal information. Society can only be made better if services and products can be designed to their needs.
5616_5603	goldLabel	a2	Information Privacy laws put a huge unforeseen burden on corporations on how they maintain and use data.	Universal publicity of data may help the world to be more globalised and integrated
5464_5666	goldLabel	a1	Government regulation is not a way to protect privacy. Rather, this should be done through technological innovation and private initiative.	No, As information belongs to everyone, whether it is people in public position, or public policies for people
5359_5262	goldLabel	a2	Any data/information that is readily viewed by other people (public pictures, videos, recordings) should NOT be protected.	Taking to extremes information privacy laws takes away the opportunity to share insights and pass on learnings from one generation to the other
5641_5359	goldLabel	a1	Privacy laws are making it impossible to do machine learning research. Researchers are now spending weeks to try to get approval for their work.	Any data/information that is readily viewed by other people (public pictures, videos, recordings) should NOT be protected.
5678_5372	goldLabel	a2	If you have done nothing wrong then you shouldn't be afraid of showing everything too every body.	Protecting information privacy too much would lead to narrow possibility of social media.
5446_5277	goldLabel	a1	Many companies like Google, Amazon, Microsoft and others provide valuable services for free or at a fraction of the cost. The general population would not have access to these services without user data.	It is very difficult or almost impossible to protect our privacies as information cannot be vailed if it is once vailed. So, I believe we will not have concern on privacies in the future.
5534_5619	goldLabel	a2	No, Information should be shared freely without any censorship. Data can have restrictions on privacy. Information helped us to become a better world that we are today and restricting it would cause more harm than good	Privacy laws are cumbersome, especially for global companies. As companies market and make suggestions for improvements based on demographic data. I think if companies are careful with the type of data that they leverage, its fine.
5526_5521	goldLabel	a1	Individuals have no inherent right to privacy and no granted right under the United States Constitution.	In our age of advanced technology, privacy is an outdated concept. Get over it, and get used to the new realities.
5616_5372	goldLabel	a1	Information Privacy laws put a huge unforeseen burden on corporations on how they maintain and use data.	Protecting information privacy too much would lead to narrow possibility of social media.
5389_5346	goldLabel	a2	New economy is the economy of data. Without opening up the equal access to information and citizen footprint, new player cannot enter the scene and compete the big organization already collecting data, ultimately disadvantaging citizen.	Privacy is over-rated - the fact that people tend to post any moment of their lives on social media, is proof that people don't care about their privacy
5514_5288	goldLabel	a2	The problem with these laws is when governments make them way too hard to comply with by adding unnecessary hurdles that get in the way of technological progress.	The cost to society in keeping and monitoring privacy laws, is much larger than the cost to society of foregoing these laws altogether.
5669_5446	goldLabel	a1	Transparency and information helps human take informed decision. Privacy laws restrict the flow of information, which leads to wrong decisions made because of lack of information.	Many companies like Google, Amazon, Microsoft and others provide valuable services for free or at a fraction of the cost. The general population would not have access to these services without user data.
5399_5372	goldLabel	a1	Information privacy laws restrict information in hands of only few people who can then exploit that information for personal interests	Protecting information privacy too much would lead to narrow possibility of social media.
5546_5288	goldLabel	a1	Personal information is required in order to train computers that can personalize information. This results in a better experience overall.	The cost to society in keeping and monitoring privacy laws, is much larger than the cost to society of foregoing these laws altogether.
5262_5546	goldLabel	a1	Taking to extremes information privacy laws takes away the opportunity to share insights and pass on learnings from one generation to the other	Personal information is required in order to train computers that can personalize information. This results in a better experience overall.
5464_5624	goldLabel	a2	Government regulation is not a way to protect privacy. Rather, this should be done through technological innovation and private initiative.	Privacy laws will make it harder to gather a complete picture of information about a individual, but prohibiting the use of combined databases of personal data.
5340_5666	goldLabel	a1	It is impossible to stop progress. People share their information willingly. Governments should not interfere.	No, As information belongs to everyone, whether it is people in public position, or public policies for people
5603_5501	goldLabel	a2	Universal publicity of data may help the world to be more globalised and integrated	Information privacy laws can have the unintended effect of protecting criminal activities, by restricting the information available to security agencies.
5678_5676	goldLabel	a2	If you have done nothing wrong then you shouldn't be afraid of showing everything too every body.	Privacy laws are too complex and not practical to implement
5666_5526	goldLabel	a2	No, As information belongs to everyone, whether it is people in public position, or public policies for people	Individuals have no inherent right to privacy and no granted right under the United States Constitution.
5501_5521	goldLabel	a1	Information privacy laws can have the unintended effect of protecting criminal activities, by restricting the information available to security agencies.	In our age of advanced technology, privacy is an outdated concept. Get over it, and get used to the new realities.
5514_5669	goldLabel	a2	The problem with these laws is when governments make them way too hard to comply with by adding unnecessary hurdles that get in the way of technological progress.	Transparency and information helps human take informed decision. Privacy laws restrict the flow of information, which leads to wrong decisions made because of lack of information.
5521_5624	goldLabel	a2	In our age of advanced technology, privacy is an outdated concept. Get over it, and get used to the new realities.	Privacy laws will make it harder to gather a complete picture of information about a individual, but prohibiting the use of combined databases of personal data.
5399_5603	goldLabel	a1	Information privacy laws restrict information in hands of only few people who can then exploit that information for personal interests	Universal publicity of data may help the world to be more globalised and integrated
5501_5372	goldLabel	a1	Information privacy laws can have the unintended effect of protecting criminal activities, by restricting the information available to security agencies.	Protecting information privacy too much would lead to narrow possibility of social media.
