id	annotatorid	label	a1	a2
1845_1687	goldLabel	a1	Legalizing doping will let us shift focus from whether an athlete is doping to whether the athlete is maintaining their physical health while doping, which is preferable (ex. maintaining safe, if high, levels of testosterone). 	The increased excitement about sports that legalizing doping will generate will cause more people to invest in teams, buy merchandise, and go to games, which is good for the sports industry. 
1751_1940	goldLabel	a1	Drugs would allow athletes to recover better from injuries so they can return to sport faster and won't be deterred of practicing sport in the first place	We should legalize doping in sport because it is unfair to impose one group's ethical standards for what is and is not fair in sport onto everyone else without their consent.
1575_1880	goldLabel	a1	Doping will enhance athletes performance and there for they will be able to break new records. breaking new records is an achievement that pushes  athletes to excellency. 	The essence of sport is to watch humanity reach it's peaks, and doping helps in achieving that, just like special clothes or shoes did in the past
1824_1869	goldLabel	a2	Doping by definition is using drugs that help your performance; any drugs that do more harm than good would still be banned, so no real harm is done.	Legalizing doping will allow the government to regulate the sale and consumption such that they can prevent truly dangerous treatments and protect athletes. 
1862_1684	goldLabel	a2	Many things athletes do hurts them physically. Running destroys your knees, weight lifting hurts the joints and generally the chances of getting wounded are very high. Doping do not produce significantly different damage.	By making it legal, we can also monitor it, which would end the more serious problems of forcing people to dope against their will, and people overdosing because of lack of knowledge & supervision.
1936_1562	goldLabel	a1	It stops the black market of doping that exists today, making athletes safer from untested drugs	The rationale behinds sports is breaking through the limitations on the human body, and doping enables this.
1927_1797	goldLabel	a2	Doping in sports would increase the amount of scoring, and raise the quality of sports by raising the quality of athletes.	More companies would invest in developing better, healthier medicine (and drugs) because now there is an active legal market for them in the professional sports industry.
1869_1934	goldLabel	a1	Legalizing doping will allow the government to regulate the sale and consumption such that they can prevent truly dangerous treatments and protect athletes. 	Doping is happening anyway, allowing Athletes to come forward reduces risks and gives them access to better healthcare 
1654_1915	goldLabel	a1	Legalization of doping will increase the appeal of sports by allowing players to have more impressive accomplishments -- more home runs, more impressive plays, etc.	The health risks of doping are not meaningfully distinct from the normal risks of being an athlete, so a ban doesn't actually physically protect athletes. 
1833_1674	goldLabel	a2	"1. Doping is a choice:

-People generally have the right to bodily autonomy. Especially athletes can make free and informed choice to harm their bodies through copious training. They have info through docs and internet."	Legalization of doping prevents us from having to decide which drugs are too enhancing (for example, why creatine isn't considered performance enhancing while erythropoeitian is), which is a necessarily arbitrary process.  
1672_1628	goldLabel	a2	Current methods of legally doping (like hypoxic tents that increase hematocrit) are much more expensive than regular doping will be after legalization, which will serve to make the same tools more accessible to everyone.	Many athletes need supplements in order to recover properly from training and injuries that naturally arise from sport, so legalizing doping would allow for the best treatments for athletes when they are injured. 
1797_1707	goldLabel	a1	More companies would invest in developing better, healthier medicine (and drugs) because now there is an active legal market for them in the professional sports industry.	Doping becomes safer. When athletes dope right now they have to do it in risky ways, and don't go to doctors for help. Legalizing it encourages regulation.
1844_1777	goldLabel	a1	Doping lets us explore the upper limit of human capability, which will allow players to play harder and beat more records. 	People should be allowed to do with their body as they wish, and sports organizations should not limit individuals bodily autonomy by banning doping. 
1824_1682	goldLabel	a2	Doping by definition is using drugs that help your performance; any drugs that do more harm than good would still be banned, so no real harm is done.	Doping will happen either way illegally - people just depend on not getting caught, legalizing it provides equal access to everyone which makes sports more fair. 
1562_1819	goldLabel	a2	The rationale behinds sports is breaking through the limitations on the human body, and doping enables this.	Doping makes sports more interesting and thus attracts more audience that is likely to get inspired and do sports/achieve in other fields.
1779_1833	goldLabel	a1	Because doping is beneficial for athletes' recovery times, legalizing doping would allow for athletes to have longer, more productive careers where they can maximize the short window of their athletic peak. 	"1. Doping is a choice:



-People generally have the right to bodily autonomy. Especially athletes can make free and informed choice to harm their bodies through copious training. They have info through docs and internet."
1794_1824	goldLabel	a2	Most people take interest in sport ( like the Olympics ) when records are being brake and adding drugs to sports meaning that note records will brake = sport will be more entertaining	Doping by definition is using drugs that help your performance; any drugs that do more harm than good would still be banned, so no real harm is done.
1824_1674	goldLabel	a2	Doping by definition is using drugs that help your performance; any drugs that do more harm than good would still be banned, so no real harm is done.	Legalization of doping prevents us from having to decide which drugs are too enhancing (for example, why creatine isn't considered performance enhancing while erythropoeitian is), which is a necessarily arbitrary process.  
1751_1821	goldLabel	a1	Drugs would allow athletes to recover better from injuries so they can return to sport faster and won't be deterred of practicing sport in the first place	We should legalize doping in sport because it will drive down the costs of hormonal treatments that may be prohibitively expensive in the status quo.
1586_1639	goldLabel	a2	Athletes who dope are capable of achieving greater athletic feats, which brings more entertainment for viewers and followers of sports.	Like vitamins, doping can be healthy in correct amount, sports give a controlled environmentto improve the field
1930_1732	goldLabel	a2	"If athletes want to compete drug free, we can create ""clean"" sport designations and consumers will get more choice of what to watch. "	The purpose of sport is primarily entertainment, and doping leads to more amazing performances from athletes, meaning that legalizing doping would improve the fan experience.
1777_1640	goldLabel	a2	People should be allowed to do with their body as they wish, and sports organizations should not limit individuals bodily autonomy by banning doping. 	If doping is legal, it will no longer be done under the table, so athletes will do it in secure environments with supervision from medical experts and team doctors.
1662_1779	goldLabel	a2	Every human has a right to do anything to himself, since it's no danger to others and therefore the state has no right banning him from doing it.	Because doping is beneficial for athletes' recovery times, legalizing doping would allow for athletes to have longer, more productive careers where they can maximize the short window of their athletic peak. 
1610_1623	goldLabel	a1	The illegal doping black market endangers athletes' lives, and it would be safer to legalize and regulate it.	It's already done, this would allow rule abiding athletes to compete on an even playing field
1891_1667	goldLabel	a1	Likely to increase viewership and interest in sports, thus increase funding to organizations that often donate back to communities (Sports associations etc..)	Countries use doping regardless since the drugs are hard to notice. Allowing all countries to use it will make the competition more equal. 
1821_1573	goldLabel	a1	We should legalize doping in sport because it will drive down the costs of hormonal treatments that may be prohibitively expensive in the status quo.	Legalizing doping would prevent situations in which athletes who are taking drugs legally for their health get punished (such as when human growth hormone is used post-injury). 
1844_1548	goldLabel	a2	Doping lets us explore the upper limit of human capability, which will allow players to play harder and beat more records. 	Legalized doping will create better and safer substance that is better regulated and better treated in the case of causing physical harms. 
1667_1659	goldLabel	a1	Countries use doping regardless since the drugs are hard to notice. Allowing all countries to use it will make the competition more equal. 	Just as we enable aerodynamic swimsuits or running shoes, doping enables us to test the true limits of the human body.
1896_1628	goldLabel	a2	People have the right to do things that harm their bodies if they deem that the outcome is worth it for themselves (such as choosing to drink alcohol or smoke cigarettes). 	Many athletes need supplements in order to recover properly from training and injuries that naturally arise from sport, so legalizing doping would allow for the best treatments for athletes when they are injured. 
1894_1672	goldLabel	a2	It would make the poor gened people feel like they too can participate in sports, while today they don't bother to start because they think they weren't born with the right abilities.	Current methods of legally doping (like hypoxic tents that increase hematocrit) are much more expensive than regular doping will be after legalization, which will serve to make the same tools more accessible to everyone.
1610_1801	goldLabel	a1	The illegal doping black market endangers athletes' lives, and it would be safer to legalize and regulate it.	It is often extremely expensive to keep one's body in shape, so allowing doping would allow poorer athletes to compete.
1719_1735	goldLabel	a1	Doping would allow athletes to maximize their athletic ability, and so legalizing doping would increase the overall quality of sports. 	Human race will reach its limit dinner or latter but new drugs will develop endlessly , so it means that sport will get better endlessly 
