id	annotatorid	label	a1	a2
3960_4041	goldLabel	a2	Many institutions and businesses have money invested in fossil fuels, a ban would destroy the economy and those institutions. 	Fossil fuels are more efficient in terms of the amount of energy they produce per amount used. 
3960_3977	goldLabel	a1	Many institutions and businesses have money invested in fossil fuels, a ban would destroy the economy and those institutions. 	In places with extreme weather conditions walking to public transportation or not being able to heat your house can be very dangerous. 
3869_4069	goldLabel	a2	We should not ban fossil fuels because not all fossil fuels are created equally and we could continue to use clean natural gas while banning coal and oil.	"We should not ban fossil fuels because often times they can be less harmful to the environment than manufacturing ""green"" energy sources like solar panels."
3869_4074	goldLabel	a2	We should not ban fossil fuels because not all fossil fuels are created equally and we could continue to use clean natural gas while banning coal and oil.	There are other, less extreme ways to decrease the use and discourage fossil fuels like carbon taxes or ending subsides that wouldn't cause as much of extreme economic turmoil.
4058_3977	goldLabel	a1	We should not ban fossil fuels because the ban would be unenforceable and would just lead to Exxon et al. moving to countries with less regulation.	In places with extreme weather conditions walking to public transportation or not being able to heat your house can be very dangerous.
3960_4054	goldLabel	a1	Many institutions and businesses have money invested in fossil fuels, a ban would destroy the economy and those institutions.	We have already taken global warming too far, fossil fuels will prove a higher standard of living while we wait out the clock.
3869_3939	goldLabel	a2	We should not ban fossil fuels because not all fossil fuels are created equally and we could continue to use clean natural gas while banning coal and oil.	Banning fossil fuels will require individuals to buy new electric cars, which means people in poverty will no longer be able to afford transportation.
3869_4045	goldLabel	a2	We should not ban fossil fuels because not all fossil fuels are created equally and we could continue to use clean natural gas while banning coal and oil.	We should not ban fossil fuels because it would cause international chaos as economies like Russia and Brazil lost huge industries and had to scramble to replace them.
3984_3978	goldLabel	a2	We should not ban fossil fuels because without access to cheap, easy energy poor countries will not be able to rapidly develop and will be trapped in poverty.	We should not ban fossil fuels because without them we would not be able to produce as much food as we do presently, which could put food security at risk in some countries.
3939_3884	goldLabel	a1	Banning fossil fuels will require individuals to buy new electric cars, which means people in poverty will no longer be able to afford transportation.	The government shouldn't pass policies without the popular consent of the citizens, banning fossil fuels would be incredibly unpopular.
3970_3947	goldLabel	a2	Countries try to break dependence of controversial countries and want to create more stable market. Thus they are already looking for alternative energy sources. No need to entirely ban.	Fossil fuels are cheap sources of energy the allow us to create and move commodities cheaply, therefore reducing the costs of everything we buy or consume
3970_4052	goldLabel	a2	Countries try to break dependence of controversial countries and want to create more stable market. Thus they are already looking for alternative energy sources. No need to entirely ban.	This removes the only competitive advantage that many developing countries have - selling natural resources. This means they will have no way to survive
4008_3920	goldLabel	a2	Fossil fuels are delicious and good for your health!	Banning fossil fuel will only make prices soar and eliminate jobs
3971_3924	goldLabel	a2	fossil fuels are the thing that anable the modern western world and all the research in science. if we would stop using it we will roll the modern world back to the midle age.	Jobs destroyed by a ban won't be replaced with jobs for as low of a level of education (since greener energy needs more researchers and engineers than miners), leaving many permanently out of work.
4069_4054	goldLabel	a1	"We should not ban fossil fuels because often times they can be less harmful to the environment than manufacturing ""green"" energy sources like solar panels."	We have already taken global warming too far, fossil fuels will prove a higher standard of living while we wait out the clock.
3859_4016	goldLabel	a1	A lot of jobs would be taken away because a lot of factories depend on it.	fosile fule are the chepest thing that can help the developing word to get to the level of the developed world.
4062_3970	goldLabel	a1	Fossil fuels are the cheapest and most common form of energy there is, so it is far more available to the poor who can't afford anything else	Countries try to break dependence of controversial countries and want to create more stable market. Thus they are already looking for alternative energy sources. No need to entirely ban.
