id	annotatorid	label	a1	a2
5614_5489	goldLabel	a2	Information privacy laws increase the value of private information when disclosed, yielding increased economic potential for the use of private data in commercial activities	People who steal information are no different than those who steal physical objects and thus they should be punished if they break the law.
5327_5381	goldLabel	a2	while it is true that people share information willingly, they do not consent to selling their information. We need privacy laws to ensure that people give there consent.	My data is my asset. Organisation that collects my data has an obligation to ensure my consent if it is used beyond the original purpose I understand at the point of collection.
5381_5284	goldLabel	a1	My data is my asset. Organisation that collects my data has an obligation to ensure my consent if it is used beyond the original purpose I understand at the point of collection.	In stead of being a leader, the US is a laggard in regard to implementing regulations and the rights of users to maintain privacy and security of their personal information. I support these laws.
5360_5418	goldLabel	a1	Information privacy laws are important. They keep us safe from malicious trolls on the internet.	Yes we should, current information model creates the sensation of being observed and manipulated on internet.
5563_5597	goldLabel	a1	Information privacy laws are important to protect people from discrimination based on their political viewpoint.	Information privacy laws are supporting the human right to be forgotten
5626_5445	goldLabel	a1	Fundamental to the human existence is the right to be let alone. Privacy underpins most modern human needs.	65% of Americans say they should control what info is collected about them
5439_5374	goldLabel	a2	Activity performed under a person's account is not necessarily that of that person's; without privacy, these actions may be erroneously tied to someone and affect how that are treated by organizations privy to the information.	Privacy laws must be enforced as companies and governments have proved they cannot be trusted. Time and again, personal information is employed to influence and spy on citizens without their consent.
5614_5569	goldLabel	a1	Information privacy laws increase the value of private information when disclosed, yielding increased economic potential for the use of private data in commercial activities	We need information privacy laws because they make sure that random people on the internet cant access our data.
5647_5360	goldLabel	a1	Information privacy protects individuals from predatory business practices.	Information privacy laws are important. They keep us safe from malicious trolls on the internet.
5549_5318	goldLabel	a2	In the 18th century, Intellectual Property (IP) rights emerged as a response to the need to protect IP rights and encourage innovation. Similarly, today, we need strong privacy laws today to protect people's personal privacy.	Privacy law will be a focus topic in the next few years as so many data about individuals is collected and this would lead to manipulations of them.
5433_5412	goldLabel	a2	I study has shown that people whose privacy has been violated tend to commit suicide.	Privacy Laws bring back power to the individual person. No commercialisation of the individual being !
5574_5439	goldLabel	a1	We should have full ownership of our personal &amp; social information, views on various topics of interest, etc. Today, banks social media and internet service providers are violating our privacy rights.	Activity performed under a person's account is not necessarily that of that person's; without privacy, these actions may be erroneously tied to someone and affect how that are treated by organizations privy to the information.
5560_5293	goldLabel	a1	Your personal information is valuable and should be protected. It should not be taken freely or in an underhand manner	As an individual, I should have the choice what happens with my data
5443_5318	goldLabel	a1	Albeit hindering the quality and extend of some on line services, privacy laws offer the partial empowerment to the individuals regarding the exploitation of their private life and behavior, which they should ultimately have.	Privacy law will be a focus topic in the next few years as so many data about individuals is collected and this would lead to manipulations of them.
5681_5466	goldLabel	a1	The right of privacy is fundamental to the human condition, something that everyone needs but seldom gets.	Until companies can sufficiently protect customer data, privacy laws need to be in place to ensure companies value the personal data they collect.
5497_5665	goldLabel	a2	People with bad intention cannot use the privacy to harm others. They need to know that police can track internet and check their behavior. This should block some misbehavior on most of them.	we need to support the privacy laws the basic needs of the person like personal care, health records, choices, wishes and dreams and most Ideas to share, thinking process etc,.
