id	rank	argument
41	0.428571429	A government mandate on flu vaccines will standardize vaccine policy across the nation where there is currently variability depending on the state that prevents people from being able to predict what they should be doing.
49	0.7	A mandatory flu vaccination creates a positive habit in people regarding vaccinations and regular medical treatments in general.
79	0.75	According to the BMJ, Flu vaccines are estimated to prevent thousands of admissions and millions of illnesses annually with current usage.
94	0.583333333	Adverse reactions to vaccines are extremely rare, with the most common (anaphylaxis) occurring in one per several hundred thousand to one per one million vaccinations.
100	0.8	Aggregate benefits of vaccination always outweigh negative individual results.
223	0.454545455	At what point does the public good outweigh an individual's rights? Where does a government draw that line? The public must be protected from the risk of illness.
585	0.6	Because it is so widespread, hundreds of people die from the flu every year. This vaccine saves lives, and this is more important than people's preferences.
586	0.666666667	Because it wastes time, people especially from poor backgrounds don't take the time to vaccinate. By mandating it this would be overcome and people from minorities would suffer less from diseases.
660	0.857142857	By not vaccinating people are subjecting other people, especially children who can't yet have vaccines, to diseases that can harm them harshly.
715	0.75	Children are unable to decide for themselves whether or no to get vaccinated, and thus the government should step in to mandate vaccination in order to protect them from bad parental decision making.
717	0.26666666699999997	Children can easily be mandated to take vaccines as they can be denied access to education if their parents do not comply.
754	0.75	Complications and deaths from flu are highest in elderly people, infants, and patients with compromised cardiopulmonary or immune systems.
999	0.6	Economicly better for the society - vacsenation will prevent people from getting sick , causing more people to go to work ---&gt; more tax money
1000	0.857142857	Economicly better for the society - vacsenation will prevent people from getting sick , causing more people to go to work ---> more tax money
1012	0.8	Even if flu vaccines aren't 100% effective, the chance of effectiveness is worth mandating vaccination since there are so few risks to people getting them that even one additionally prevented case is worth it.
1018	0.428571429	Even if some people refuse to get the vaccine, if many people decide to get it they will allow the entire population to be protected.
1070	0.666666667	Familiarity and personal experience with vaccines will cause more (and especially poorer) people to increase trust in them. This will lead to more vaccinations against more serious diseases, helping prevent many unnecessary illnesses and deaths.
1084	0.125	Flu is less likely to spread because there is less contact with people who have it
1085	0.25	Flu poses a serious risk to the health of others, espeically young children and the elderly.
1086	0.428571429	Flu vacation would sign the start of the winter, an huge event everyone take part in, will make them more aware to other possible diseases
