id	rank	argument
2	0.4	- One doesn't interact with other people as much. -You don't get to inspect the object physically. - Phishing scams or other malware attacks. - Relying on others for delivery.
88	0.375	Addictive and causes people to lose a lot of money by buying non stop
206	0.5	As most do not receive items the day of shipping, proliferation of online shopping limit access to emergency goods that are needed same-day or otherwise increase their prices.
217	0.7	Asymmetric information on what a specific person likes or psychological heuristics makes it easier to extract more money out of consumers than in solid shops which don't have access to that knowledge
622	0.333333333	Brick and mortar businesses can't possibly compete with businesses that don't have to pay rent, business licenses, or taxes. OK, some online businesses pay taxes but not all.
623	0.545454545	Brick and mortar shops are important because they employ real people instead on online robots
636	0.333333333	Buyers never get their products immediately, they always need to wait to receive them.
702	0.428571429	Causes people to buy stuff that they don't need instead of spending the money on things that would bring them more happiness
764	0.538461538	Consumers on-line remove their disposable income from the local economy reducing the market competition.
971	0.7692307690000001	Due to anonymity fraud is encouraged and enabled by on-line shopping.
978	0.384615385	Dwelling on anachronistic nostalgia for the good old days is maladaptive coping mechanism that doesn't help society to attain self-actualization of its members.
1046	0.75	Everything jumps at you at all times, unlike normal shopping which makes you browse the shelves of a specific store. That makes you more likely to waste more money on things you don't really need.
1500	0.666666667	Given the huge accessibility and size of online shopping sites like Amazon, they can often become monopolies in certain fields and start selling goods more expensively than before, since people are left with no alternatives.
1519	0.6	Governments do not have enough control over the purchases made online, therefore, illegal items can be sold and inspection skipped.
1654	0.846153846	If all shopping went online, community services would suffer due to lower tax revenue.
1735	0.5	If you don't pay attention in witch site you are buying, you could be a victim of phishing and you will lose all your blessed money. Take care!!!
1780	0.75	In online shopping, the goods tends to be bought from big international corporates - which is distressful for small and medium local business hence for the local economy.
1918	0.833333333	It's harder to dispute a purchase made online with the responsible authorities.
1937	0.4	It consolidates the number of retailers reducing competition in the market place. Amazon is a prime example of this.
1973	0.46153846200000004	It is bad for the local business and jobs in th communities.
1976	0.444444444	It is dependent on the trust and the online platform provider do not proactively validate if the service provider is scam or fraud, there are instances of customers being cheated.
