id	rank	argument
18	0.642857143	78.5% of traditional media reporters polled used social media to check for breaking news.
19	0.8888888890000001	83% of these teens report that social media helps them feel more connected to information about their friends' lives, 70% report feeling more connected to their friends' feelings, and 57% make new friends.
24	0.444444444	A Jan. 2015 study published in the Journal of Applied Developmental Psychology said college freshman should use social networking sites to build networks of new friends and reduce their risk of dropping out.
25	0.9090909090000001	A McKinsey Global Institute study projected that the communication and collaboration from social media added between $900 billion and $1.3 trillion to the economy through added productivity and improved customer service.
40	0.363636364	A good platform for a common man to reach to their leaders to raise voice for noble cause. Which was near to impossible in past. It should be tied to policy and guidelines to avoid misuse.
48	0.333333333	A low bar of entry makes it easy to share information to a large group of audience.
51	0.35714285700000004	A person can learn to critically analyze the content and motivations from a safe place without having to actively participate.
64	0.454545455	A world without social media is simply unrealistic, so why not enjoy the advantages of it?
83	0.363636364	"Actually, It is about the ""content"" in the social media. As long as the social media serves as a good platform that accepts only good content then it its good."
96	1.0	After George Middle School in Portland, Oregon, introduced a social media program to engage students, grades went up by 50%, chronic absenteeism went down by 33%, and 20% of students school-wide voluntarily completed extra-credit assignments.
144	0.727272727	An ability to locate common interest groups, local or otherwise. A quick way to catch up with friends, due to our busy lives.
179	0.3125	Anything that connects people together cant be bad
182	0.666666667	Appropriate use of Social Media enables you to reach out and promote yourself or your brand itself. It must be used in the correct right direction.
215	0.307692308	As with all tools, intended potential and good may by corrupted by the user. As existing laws in the real world catch up with technology the intended good will dominate.
216	0.25	As with almost every new technology, there are risks that can be reduced using education and law. Yet the ability to connect with each other is very important.
221	0.75	At times of Natural Disasters like floods, earth quakes etc. Social media provides a channel that can be used to help track humans in need of help.
597	0.444444444	Being a better person is about compassion and empathy. And there is nothing that increases cross-world empathy like social media. From Africa to Arizona, I can deeply understand the human condition. Thank you, Facebook.
598	0.7857142859999999	Being a part of a social media site can increase a person's quality of life and reduce the risk of health problems.
599	0.666666667	Being able to connect on social networking sites gives business women a support group not readily found offline, where female CEOs of Fortune 500 companies are outnumbered by male CEOs 474 to 26.
605	0.444444444	Best way of advertising whether it's a movie or any product . It's specially helpful for those who cannot afford costly advertisement through other media platform.
606	0.363636364	Best way of timepass. You will get stuffs from all around the world starting from jokes, news, update on your friends.
607	0.818181818	Best way to remain connected to your family, friends and all near and dear ones.
624	0.46666666700000003	Brings together people towards a common cause which cannot be easily done via traditional methods
631	0.583333333	"Business women use Twitter chats to support each other, give and receive peer knowledge, and have guest ""speakers"" share expert knowledge."
638	0.545454545	By Design Social media is good it is became broader but less engaging people
741	0.666666667	Communication is a breeze with social media. What would take forever to disseminate takes exponentially less time to get across the globe.
742	0.636363636	Communication is the wheel of progress. Social media provides people with voice and expose them to data like never before. However miss use of it should drive consequences.
745	0.7	Communication via Social Media is cheaper and faster than traveling, or snail mail.
760	0.3	Connects people around the world on a single cause.
770	0.9090909090000001	Corporations and small businesses use social media to benefit themselves and consumers.
890	0.333333333	Digital tattoo created is perceived as the reflection of our persona in the real world. If used wisely it will be a win-win for individual and technology exploitation.
898	0.1875	Dog fail videos are hilarious and boost the spirits of people who watch them. Laughter is the best medicine.
972	0.933333333	Due to social Media, lots of business are set up online, bringing choice and low prices and compare quality. Businesses can find a market for their goods and services in a cost-effective way, globally.
973	0.857142857	Due to social media, businesses are compelled to provide better and timely customer support.
984	0.5555555560000001	Easy to build communities with people with whom you share the same interests ie. work community or housing area community
985	0.636363636	Easy to find and spread information on social media
996	0.9	Echo chambers: People are more likely to be exposed to things that coincide with their interests because of the algorithm of social media. Thus, they do not question beliefs and often this leads to radicalism
1071	0.333333333	Families leave such separate lives in distant places that they often lose the feeling of family. Having social media available, lets families and friends reunite even though it is only superficially.
1081	0.5	Find long lost friends, and family with social media.
1113	0.6	For business promotions, social media is a better and cost effective platform.
1172	0.545454545	Freedom of speech, this is what social media is all about, we must let people freely express their ideas, opinions
1175	0.7	"Friends on social media can have a ""contagion"" effect, promoting and helping with exercise, dieting, and smoking cessation goals."
1513	0.0	Governance always lags innovation; security and end to end accountability will eventually follow. Personal and social harm in the short term is simply the cost of advancement.
1544	0.444444444	Helps in knowing out the diffrerent issues over the globe
1545	0.46153846200000004	Helps in spreading awareness on key social issues
1553	0.307692308	How easy it is now, to share what I want to share, and what I want to see. If I am a sane person, I can still use the platform judiciously.
1591	0.3	I am able to connect with far-away relatives lifes. Independent of time of day.
1593	0.5555555560000001	"I am not supporting that ""Social media brings more harm than good"". It is one of the best place to connect people with common objective across the world. It the best source for getting information"
1609	0.636363636	I have been able to connect with some friends from school whom I would have never found otherwise thanks to social media
1623	0.6	I shared a community service activity that I did on social media. People liked it and I know some even got inspired to do it as well. No better way to inspire people
1629	0.35714285700000004	I think it depends on the platform. Example - I find out information on business much sooner than I used to before. As a customer, I am able to express satisfactions/concerns more directly and timely also.
1632	0.272727273	I think social media shall develop more to increasing people engagement area and not on adv, behaviour data collecting, marketing, selling and monetisation
1635	0.727272727	I will always find supportive communities on social media and affectionate people to any situation I'm in, so I'm less likely to be depressed and feel misunderstood
1637	0.642857143	I witnessed Social media significant contributions to bring democracy and free speech to my beloved Tunisia when it was governed by dictators for way too long. Thus Social media brings more good than harm.
1641	0.4	I would say social media has open a stream of opportunities , you can get career paths or you can get job updates.
1644	0.363636364	IT OPENS UP YOUR MIND TO PUBLIC/FRIENDS- WHICH REFRESH YOU PSYCHOLOGICALLY CHANGES THE NATURE OF A PERSON FOR HONESTY AND GOOD VALUES ONCE PEOPLE SUPPORT THE GOOD WORK.
1648	0.7	If a problem persisted in one area, warning alerts can be easily spread to other areas. Many flood victims have been rescued and helped due to power of social media.
1695	0.133333333	If one understand their accountability and responsibility of their own activities, it reaps benefits.
1713	0.666666667	If used wisely, social media brings more good. The problem is about people not knowing how to use appropriately.
1740	0.642857143	If you know how to filter data on social media, the good is increased. Such as: bring people together, you can meet others with same interest. Work together. Build good solutions for the world
1755	0.75	In a busy and a noisey world, people can read news very easily via social media
1766	0.666666667	In an increasingly technological age, social media helps people remain connected and even intensify their mutual bonds by sharing moments, thoughts, and feelings they deem important to them.
1767	0.4375	In case of jallikattu or sterlite - there was a huge effect of media in gathering/uniting people for fighting against the Government laws and won their right. When used properly, social media brings good.
1779	0.727272727	In my opinion providing voice to common man/women to highlight their day to day issue to concerned authorities has been one of the biggest advantages of Social media.
1784	0.9285714290000001	In our modern world, many of us are geographically separated from family and childhood friends. Social media helps us to remain in contact in a way that was not possible in the past.
1808	0.636363636	In those countries where mass media are censored or self-censored, the social media do bring an independent voice to the reader, the objectivity of which, however can't be taken for granted.
1822	0.3	Independent or more reliable sources can be checked by users to verify/deny any information spread though social media. Users and social media companies should have more awareness on fake news than reject the social media.
1826	1.0	Individuals can share information with their friends over social media, allowing them to access news which interests them and is more likely to get them engaged.
1846	0.5	Information can be sent in a short span of time.
1892	0.214285714	Information spread is faster than traditional way and it is less regulated.
1899	0.571428571	Investigative journalists has been rehabilitated as individuals share news more readily over social media, creating higher ad revenue and incentivizing people to purchase subscriptions.
1900	0.3	Is Social media really a problem?as long as it doesn't affect my privacy its on my good books.
1908	0.666666667	It's an easy and cost effective way to promote the products, offer services.
1914	0.5555555560000001	It's fun and can be instructive to read other people's postings
1929	0.8888888890000001	It allows for people to share what is transpiring in their immediate area (natural disasters, demonstrations, crimes in progress, etc.) with the world when the news media does not have access.
1936	0.3	It connects the world in a way that change for good can take hold faster.
1947	0.727272727	It gives us an opportunity to connect with people who have not been keeping touch for a long time.
1954	0.833333333	It helps people to know about happenings on the world without a bias from media
1959	0.583333333	It is a good tool to bring friends and family together. Value is in identifying lost friends.
1960	0.583333333	It is a great enabler if used for its intended purpose. There are so many voices in our society and the world at large that would never have been heard from if not for social media.
1962	0.636363636	It is a great way to keep up-to-date on family and friends.
1964	0.538461538	It is a powerful tool to voice one's opinion and bring to forefront what you think requires attention.
1967	1.0	It is a tremendous vehicle to keep in touch with family and friends, particularly if you have family overseas.
1977	0.818181818	It is easy for small businesses to create a social media page and advertise themselves rather than needing to develop a special web site.
1979	0.25	It is easy to show some information to people (and it is simple to select the target audience) then it is not needed to talk about the same thing more than once
2019	0.35714285700000004	It is the hallmark of the digital age making the world a smaller place. Its primary intention helps gives people new, better and easier means to communicate, network and collaborate, notwithstanding the unintended consequences.
2041	0.25	It requires education to interpret social media effects. Social media itself is not to blame.
2068	0.071428571	Its a good way to make money reducing expenses
2069	0.454545455	Its a great platform to reach masses and make a larger impact in society
2071	0.423076923	Its an easy and fast way to be updated on your in interest topics
2081	0.363636364	Keep connected and updated about social and professional networks
2082	0.4	Keeps people in touch in ways they weren't able to before.
2097	0.9090909090000001	Law enforcement uses social media to catch and prosecute criminals: 73% of federal, state, and local law enforcement professionals surveyed think social media helps solve crimes more quickly.
2105	0.636363636	Leaders in democratic states can learn a lot about the public will from social media, and adapt accordingly to their needs and wishes.
2144	0.538461538	Like it or not Social Media is part of living in 2018. Sure it has problems, yes it has advantages and my 2 cents is everything in moderation.
2168	0.083333333	"Louisa May Alcott wrote in, Little Women, ""The youngest...could not conceal her disappointment...feeling as so many of us have felt when we discover that our idols are very ordinary... "". Social Media gives us unfettered access."
2195	0.5	Many a times it happened that, different consumer companies are addressing your complain quicker when it is posted on social media, rather than going through formal process.
2215	0.75	Many of us are too shy to engage in public discussions. Social media allows us to be part of debates by allowing us to carefully choose our words and hone our explanations before we express them.
2241	0.28571428600000004	Many revolutions globally have utilized social media as a platform for organization and communication. This allowed for the greater success and solidarity of these movements.
2292	1.0	Modern communication largely occurs on social media, making it a new forum for individuals to share ideas and learn new things
2306	0.857142857	More representation: people are able to find others with similar interests and get support. Thus they have more power compared to their politicians and are able to keep them accountable
2309	0.7777777779999999	More than 80% of US college and university faculty use social media; more than 50% use it for teaching; and 30% for communicating with students.
2325	0.7222222220000001	Most people arent subscribed to a newspaper or watch the news on a regular basis, social media is often the only way they are exposed to news stories, this means we get more informed citizens.
2351	0.272727273	Network with employees of other companies for mutual benefit.
2356	0.6	New technology is often perceived as harmful at first, but it must be given a chance to show its benefits
2358	0.352941176	New ways to consume media inspires new content on each respective platforms
2362	0.2	No, I don't agree. With proper personal hygiene and regulatory frameworks in place, social media can help next generation, who will be technology oriented unlike past. Proper education is what matters most.
2369	0.181818182	No - but filtering and networks enhancements need to catch up to refine and channel though for more effective communication.
2396	0.363636364	OLD, FORGOTTEN, DE LINKED FRIENDS AND FAMILIES REUNITED.
2397	0.333333333	OPENS UP THE WORLD WITH NEWS/POLITICS/SPORTS/SCIENCE/PHOTOGRAPHY/ENTERTAINMENT/ TOURISM TO GENERAL PEOPLE.
2398	0.333333333	Obtain relevant advertising based on social media searches and posts.
2660	0.7692307690000001	Over 25% of teens report that social media makes them feel less shy, 28% report feeling more outgoing, and 20% report feeling more confident.
2661	0.818181818	Over one-third of federal, state, and local law enforcement professionals surveyed say that they use social media to notify the public of emergencies or disasters.
2663	0.818181818	Over time, the exposure to diverse facts and reasoning available on social media can push one to become more open to viewpoints other than their own.
2678	0.8	Part of being a human being is feeling connected. Social media helps keep us from becoming isolated as we age and our social contact wanes.
2708	0.727272727	People can connect to other people they know or who have similar interests
2709	0.75	People can launch an online career through social media thus giving them a financial venue.
2711	0.625	People can see more details about you and can judge positively
2722	0.363636364	People getting lots of information through social media and makes them to learn through social media so many incidents which has been hide by Media industry social media shows the truth .
2764	0.153846154	People sharing their views on an issue has become easy via social media. Sitting in your home or office you would have never known if you are the only one with that POV
2777	0.181818182	People tend to adhere to homogenous groups which end up reinforcing conventional social norms instead of breaking them down.
2785	0.625	People today get their news mostly through social media which shows you articles from sources you or your friends previously liked, creating echo chambers.
2835	0.636363636	Politicians have a better understanding of their voters through social media and can realize better what they should do in order to create a change for the best
2839	0.25	President Donald Trump said that the immediacy that Twitter affords him is the reason why he tweets, noting that press conferences and press releases take too long to reach the public.
2914	0.916666667	Professional networking sites greatly assist companies to find personnel and job seekers to find work.
2915	0.75	Professional social media sites allow people the opportunity to make connections with others in their industry to share ideas and employment opportunities.
2921	0.666666667	Provides a platform for all kinds of connections to occur. These kinds of platforms have brought families, various groups and other common denominations together that would not have been possible.
2935	0.666666667	Recent events in France with the 'Yellow Vests' movement is an example of how social media can empower people to be heard, when public opinion seem to have no more impacts on governments actions.
2937	0.5	Recent research has demonstrated that social media have the power to increase the scope of stereotypes not only in children but with people at all ages.
2958	0.4	Research shows that the number of social connections one has is directly related to one's happiness and social media increases connections online.
2959	0.727272727	Researchers from a wide variety of fields share photos, provide status updates, and collaborate with distant colleagues via social media, making the research process and results more transparent and accessible to a larger public.
2964	0.833333333	SM allows anyone to join in the debate. In a world where politicians are struggling for answers, a wider consensus can be reached if the tools are properly used.
2966	0.272727273	SM brings the information, knowledge that you can never have before, the news feed is based on what you're interested in &amp; the people you follow, so it's you who decide whether it's harmful or not
2967	0.083333333	SM brings the information, knowledge that you can never have before, the news feed is based on what you're interested in & the people you follow, so it's you who decide whether it's harmful or not
2968	0.5	SM gives one a mask (freedom) to express their views.
2970	0.571428571	SM often lets people pretty far away to interact or exchange info.
3015	0.454545455	Sharing on social media can be a lot of fun for sharers and audience
3028	0.5	Simple and nice way to keep up to date and communicate with family members that are close in life but far away in geography.
3059	0.583333333	Social Media actually has a lot of pros that I do believe weigh out the cons. Social media actually helps others to communicate even if they are many kilometres away from each other.
