id	rank	argument
33	0.28571428600000004	A black market created by enforced vegetarianism would make it easier for more dangerous black markets, such as the drug and weapons markets, to find social acceptance and hide among less heinous markets.
47	0.363636364	A lot of rights that apply to humans are not applied to animals (example, the right to vote); therefore the rights of humans to choose is more important than the rights of animals to live.
63	0.8888888890000001	A widespread shift to vegetarianism would have a massively negative impact on meat production, which is a large sector of the global economy.
89	0.571428571	Adopting vegetarianism will lead to millions of workers losing their jobs in the livestock industry around the globe.
103	0.26666666699999997	Agricultural crop fields also kill animals, so vegetarianism doesn't actually save animal life.
104	0.25	Agriculture is based more on human slave labor than the meat industry, therefore by eating meat (and fewer plants) you rely less on slaves and support better working conditions
139	0.571428571	Although vegetables are cheaper, a lot of people don't know how to prepare filling and nutritious meals without meat, making vegetarianism unfeasible for many people.
152	0.214285714	Animals are a lot like ants, they are alive but do not live meaningful lives like humens, just like were allowed to kill ants we should be allowed to eat meat and not be vegetarian
154	0.28571428600000004	Animals can be raised and slaughtered ethically, because they do not have a clear concept of their future lives nor do they have significant aspirations that would be harmed by a painless death.
155	0.272727273	Animals deserve less rights than humans, and it is legitimate for humans to prioritize their enjoyment over the suffering of animals.
156	0.181818182	Animals does not feel pain the way we do. Animal suffering is not the same as Human suffering and therefore it is not as immoral.
160	0.611111111	Animals might have the right not to excessively suffer, but not the right not to be eaten, this means that you don't need to adopt vegetarianism as long as you eat ethically sourced meat.
247	0.3	Attempting to enforce vegetarianism would create a black market for meat that has less safety regulation on the sale of meat and no protections for workers.
603	0.26666666699999997	Being vegetarians makes it harder for people you eat with, since they have to accommodate your harsh preference.
751	0.428571429	Companies that ship or sell meat, such as butcher shops, would be destroyed if vegetarianism were enforced.
986	0.363636364	Eating a nutritionally balanced diet is easier if animal products are part of it
993	0.35714285700000004	Eating meat is tasty, and eating tasty food is one of the greatest joys in life, therefore we shouldn't be vegetarians.
994	0.181818182	Eating meat is very enjoying to alot of people and a big part of their culture and life style. If we move to vegetarianism we will reduce human happiness.
1013	0.625	Even if it is possiable to live a healthy life style without meat it is very difficult which means most people will live an unhealthy life style without meat.
1024	0.5	Even though vegetarians avoid the hormones and antibiotics in meat, they still get very high doses of all the pesticides and herbicides that get doused over farmed plants.
1077	0.166666667	Feeding humans is likely the most significant thing the animal can do anyway
1549	0.9090909090000001	High protein alternatives to eating meat (especially soybeans) require 16 times as much water as corn, and so the net effects of CO2 content in the atmosphere are often worse than livestock.
1555	0.28571428600000004	Human being have evolved to be omnivores who eat both plants and meat, so it is both healthy and appropriate that we continue to behave in a way that is consistent with our evolution.
1572	0.428571429	Humans have a biological imperative to consume meat which should not be ignored through vegetarianism.
1574	0.692307692	Humans have been fishing and eating mammals since the beginning. It's the way we raise livestock and overfish and farm fish that's the problem. There is a way to eat meat and be sustainable.
1578	0.583333333	Humans require B12, which is only found in adequate amounts in meat, and supplements aren't absorbed by some individuals, making a vegetarian lifestyle unhealthy
1582	0.5	Humans were born omnivores, so people should have the choice to do whatever they want and be able to eat meat.
1765	0.75	In agriculture more animals are killed (pest extermination, tilling land kills underground dwellers, etc) than in the meat industry. Therefore by eating more meat and less plants you actually save lives
1769	0.857142857	In food deserts, meat is more accessible than a diversity of vegetarian cuisine and ingredients.
1790	0.5	In some areas (e.g., East Africa and other poor soil areas), livestock is the most efficient means of producing food.
1824	0.571428571	Individuals are the best arbiters of their own individual conception of the good and should be able to decide if they want to be vegetarian.
1831	0.75	Individuals should have the ability to do or consume anything which doesn't cause direct, considerable third party harms, which includes meat consumption and refusing vegetarianism.
1832	0.7	Individuals would likely neglect their animals or release them into the wild if they could no longer sell them because vegetarianism, where they would die of starvation, be eaten, or face an even crueler fate.
1919	0.7777777779999999	It's harder to get all the things you need for a balanced diet while being vegetarian.
2010	0.571428571	It is not immoral to eat animals because they are not members of our social constructs and do not have moral worth, therefore a meatless diet is not morally required.
2201	0.444444444	Many children develop eating disorders, which could be very dangerous. Vegetarianism sends a dangerous message that some food is wrong, and that can drive such disorders.
2205	0.625	Many cultures have meat based dishes which are important for their communities and the mechanisms by which they understand their history, which are inaccessible through vegetarianism.
2206	0.5	Many cultures have traditions of eating meat; by banning eating meat you are hurting the rights of humans to express themselves.
2238	0.4	Many religions require the consumption of meat on certain holy days, making enforced vegetarianism a violation of religious freedom.
2251	0.625	Meat and meat-derived protein is higher quality than vegetarian protein substitutes.
2253	0.642857143	Meat eating is am important part in many traditions holidays and religions,there for we can't adopt vegetarianism
2254	0.5555555560000001	Meat is a main source of protein and iron, therefore meat is a crucial part of a healthy dies and vegetarianism is unhealthy
2256	0.454545455	Meat is an important part of certain cultures traditions. Removing it from their diets would harm their heritage
2258	0.0	Meat is delicious, the New York Strips is one of the greatest meals of all time.
2259	0.666666667	Meat is delicious and life is meant to be enjoyed.
2260	0.3	Meat is delicious and most of the people of the world will not give it up.
2263	0.7142857140000001	Meat is very healthy, for everyone, proven in many studies around the world over the last hundreds of years. vegetarianism takes away this opportunity from humans of getting healthier and stronger.
2268	1.0	Meat provides healthy saturated fats that vegetarians don't get enough of and are important to immune and central nervous system functioning.
2299	0.28571428600000004	Moral and rights are only true for humans, there for is not better to adopt vegetarianism
2314	0.454545455	Most banned substances have seen a greater use in society (as with alcohol in the US in the 1920s); by making a national policy adopting vegetarianism we risk increasing consumption and undermining our effort.
2318	0.25	Most of the arguments in favor of vegetarianism support veganism, which exaggerates many of our harms.
2331	0.4375	Most people who adopt vegetarianism, do it without supervision and hurt themself beasue if it, for example lack of Iron or portion
