id	rank	argument
11	0.0	2. More info: When it is illegal you have less access to doctors because you cannot freely talk about such issues. Usually, athlete will only have access to team doctor who is biased.
34	0.0	A black market for these drugs will be more wide spread' because their will be more research and development of the drugs.
54	0.571428571	A race to the bottom which leaves 2 tough options - leaving sport or personal risk
109	0.666666667	All arguments about efficacy of testing just means that we should implement better testing, not legalize doping entirely.
117	0.583333333	Allowing doping in pro sports would increase pressure on athletes at a younger and younger age to start using drugs.
118	0.5	Allowing doping in sports would be unethical not just in professional sports, but also at the Olympic and college level.
119	0.636363636	Allowing doping in sports would lead to a public health crisis and result in athletes dying.
122	0.857142857	Allowing doping practically means forcing doping, as the allowance of doping means that anyone that doesn't take the adherent drugs is to become none-competitive.
123	0.8	Allowing doping would destroy the integrity of sports.
124	0.727272727	Allowing for doping degrades the athletic performances we see from our athletes, making their athletic accomplishments artificially enhanced and less impressive.
192	0.454545455	As doping is very hard to detect on athletes we can assume at least some of them are already doping, thus creating an unfair disadvantage to law abiding athletes.
219	0.857142857	At the amateur level, it adds a financial cost so people won't be able to get into the sport
224	0.363636364	Athelits are a role model for kids and adults. When all athelits are doping we will get more kids copying they're role model and doing drugs.
229	0.5	Athletes are already performing at a higher level than ever before thanks to advances in training and physical therapy, so legalizing doping is not necessary to improve the quality of sport.
230	0.666666667	Athletes are often judged in the historical context of their sport, but because legalizing doping would fundamentally change the nature of the sport, those historic comparisons and conversations that entertain fans disappear.
231	0.428571429	Athletes are role models for many teenagers. When athletes will dope in public, many teenagers who dream of being athletes will try to get drugs, Probably of low quality, and risk themselves significantly.
232	0.454545455	Athletes are seen as role models by many young people. If they use drugs to succeed, others are likely to follow their example.
234	0.5	Athletes have a great influence on teenagers as role models. Legalizing dope sends a problematic message that encourage the use of drugs and alcohol.
237	0.526315789	Athletes inspire their young fans to overcome obstacles through training, discipline and perseverance. Doping teaches those children that problems should be overcome through external factors like money, and takes away the lessons of self-reliance.
239	0.692307692	Athletes serve as role models to many and allowing them to take drugs sends a message that drugs are good, useful, and legitimate tools, which is not the message we want to send their fans.
240	0.5	Athletes should be naturally talented at their sport.
241	0.636363636	Athletes who are richer have more means of achieving the best drugs and doping programs hence will have a better shot at winning sport events.
242	0.818181818	Athletes who decide to dope themselves suffer from a short term bias. Most of them perceive their career as the most important thing in their lives and don't think about the long term consequences
243	0.23076923100000002	Athletes who take steroids are tearing more tendons and ligaments because their muscles have gotten too big for their bodies.
244	0.333333333	Athletes who wish to break records are likely to take risks and try new drugs, even if they are not as safe, and as a result are likely to be harmed.
577	0.4	Baseball players using chewing tobacco influenced kids to use it, too; imagine the consequences of kids seeing their idols taking performance enhancing drugs.
654	0.666666667	By legalizing doping in sports we expose the athletes to the harms of it.
656	0.9	By making it legal, we are creating a culture in sports where you have to use in order to stay competitive, which means everyone will use regardless of their will.
663	0.409090909	By pushing out all non-doping athletes, anyone who wants to participate will be forced to sacrifice their health.
668	0.333333333	By the same logic that bans doping, we should ban nutritional supplements that athletes use to help them during training - which nobody thinks is reasonable.
707	0.333333333	Cheaters must be thwarted in order to make sports fair for all participants.
732	0.571428571	Children will be vulnerable to doping at an incredibly young age and Parents will pressure their kids into dangerous situations.
833	0.5	Currently the football stars give motivation to children to try and keep a healthy, sporty, lifestyle. When the children see that their heroes aren't there solely due to hard work, they will be less sporty.
874	0.5	Despite many complaints to the contrary, the combination of effective and regular drug testing as well as the stigma against doping amongst fans has proven to be an effective deterrent against doping in modern sport.
902	0.41176470600000004	Doping athletes will crowd out non-dopers, even in separate leagues, because the marketing and viewership pies are finite. This means athletes will be forced to dope for the sake of maintaining their chosen proffession.
905	0.636363636	Doping can be detrimental to an individuals long term health, but legalizing doping would create a perverse incentive that would push athletes to take performance enhancing drugs to keep up with their competition.
906	0.36842105299999994	Doping can include a variety of activities, including drinking beers in sports such as competitive shooting, making policies obtuse and difficult to follow.
907	0.7777777779999999	Doping can lead to addiction and other health problems.
908	0.611111111	Doping can lead to psychological problems, leading to spillover harms for the families and friends of athletes.
909	0.666666667	Doping causes long term health damage to the athletes.
910	0.8	Doping causes physical harm to athletes in the long run, which they often can't foresee when doing it.
912	0.571428571	Doping creates a barrier of access to sports for athletes from poorer backgrounds and for sport federations in developing countries given that substances--and the personal monitoring that comes with them--carry a substantial cost.
913	0.857142857	Doping creates a race to the bottom because athletes feel pressured to always dope more than their competitors in order to gain a competitive advantage. This hurts health outcomes.
914	0.571428571	Doping creates a race to the bottom of athletes taking stronger and more dangerous drugs in order to win.
919	1.0	Doping has been illegal for the vast majority of modern sports history, and making it legal now would diminish the accomplishments of athletes of the past.
920	0.75	Doping has progressively smaller effects as time goes on, creating greater turnover for athletes who can no longer get strong effects from these chemicals.
922	0.571428571	Doping in sport seriously harm the athletes in the long term.
923	0.5	Doping isn't different than any other extreem form of self improvement that athletes take in order to improve their abilities. Many of those cause long term self damage
925	0.705882353	Doping is dangerous and can lead to long term health problems for athletes.
931	0.7142857140000001	Doping is not meaningfully unique from other techniques that raise athlete performance like low oxygen practice and blood doping and since those aren't banned doping shouldn't be either.
933	0.666666667	Doping is unhealthy for athelits and when doping will be legal they will be forced to dope if they would want chance to win.
934	0.7777777779999999	Doping is very unhealthy, allowing doping will cause more athletes to dope which will make more athletes unhealthy.
936	0.625	Doping may have long term and short term bad medical effect on the competitor.
937	0.636363636	Doping must remain unlawful because it violates the historic principles of sportsmanship, honesty, and fair play; if legalized, dopers should required to form separate, dope-allowed leagues.
938	0.625	Doping often has long term harmful effects on sport players bodies that they can't conceptualize at the time of choice, we need to protect players from their own choices.
940	0.9090909090000001	Doping violates the spirit of sport and damages the health of athletes.
941	0.454545455	Doping will create a race to the bottom because every athlete who will want to be competetive will have to dope.
944	0.666666667	Doping will make people not admire atheletes anymore because they will attribute their accomplishments to the doping and not to the athlete.
1072	1.0	Fans are against doping in the vast majority of sports, so legalizing doping would drive away fans of the sport and ultimately hurt the game.
1073	0.5	Fans wouldn't be able to enjoy any athletic accomplishments knowing they were all accomplished because of doping.
1608	0.1	I have 2 answers. If they are amateurs (College/Olympic) no.
1655	0.42105263200000004	If athletes are hitting each other harder in contact sports, more injuries will occur as a direct result of doping.
1668	0.7	If doping athletes outperform clean athletes, it will discourage clean play, possibly at the risk of health to the athletes whose only intention is to remain competitive.
1669	0.6	If doping becomes the norm in professional sports, it is likely to gradually become the norm for lower leagues as well. This means it will start at a very young age and increase the harms.
1670	0.833333333	If doping is allowed, players will swap to more dangerous chemicals to sustain their advantage over the general population.
1671	0.7142857140000001	If doping is legal, all athletes will be forced to do it in order to compete, otherwise they have to give up their dreams.
1673	0.75	If doping is legal it incentivizes young athletes who see athletics as their future to get hooked on drugs.
1674	0.818181818	If doping were legal, that would be yet another advantage to athletes or sports teams with more financial resources because they could afford better drugs.
1676	0.6	If everyone starts doping then everyone will improve the same amount, so what is the point in putting their health at risk.
1688	0.857142857	If kids see their idols doping, they'll start doping as well, and doping in unregulated environments is dangerous (especially for young children)
1718	0.8	If we allow doping, there will be an arms race of people taking more and more drugs and more risks to get an edge over their competitors.
1792	0.625	In sport we celebrate the human body and human abilities. People who use drugs have above human abillities and therefore would no longer be considered human, causing the interest in sport to drop
1793	0.75	In sports we celebrate the ability of humans to achieve great thing. With doping we will celebrate the pharmaceutical achievements instead and we will lose the meaning of sports
1819	0.2	Increases gaps between athletes because the more affluent and skilled gain from it more, this causes less competition and makes it less fun and more unfair
1896	0.7	Instead of focusing on sportsmanship athletes and their trainers will be focused on enhancing and bettering the drugs used.
1901	0.428571429	It'll make sporting events less interesting because the differences between different players becomes less visible, fewer extreme records are going to be broken
2052	0.7777777779999999	It will increase the number of injuries ,the humen body can only take so much even now when athletes are moving to fast it injures them so if they will be twice as fast
2063	0.41666666700000005	It would make the new doped world records meaningless in terms of actual human ability
2065	0.8	It would send a message that drugs are acceptable, encouraging teens (and specifically teenage athletes) to use them
2066	0.636363636	It would take the fun out of sports if all the competitors are essentially superhuman
2088	0.636363636	Kids watch sports and admire athletes. Kids watching sports will now think using drugs which is like doping can make them as powerful and admired as them.
2115	1.0	Legalization of doping will place pressure on individual players to dope since they will be at an automatic disadvantage if they don't, preventing them from having a meaningful choice.
2116	0.363636364	Legalized doping disincentives parents from allowing their children to persue careers in professional sports.
2123	0.818181818	Legalizing doping will create an unfair advantage to the athletes that will choose to do so, and will require from any athlete, to succumb to that norm in order to be able to compete.
2124	0.857142857	Legalizing doping will force younger and younger athletes to dope as it becomes more of a norm in the higher leagues and people will feel like they have to dope to get recruited.
2125	0.857142857	Legalizing doping will legitimate coaches putting pressure on players to dope, increasing the number of people who are coerced into doping when they don't want to.
2126	0.571428571	Legalizing doping will send the message that performance enhancing drugs are good, which will seep into other fields like academics and encourage illegal drug use more broadly.
2127	0.625	Legalizing doping will set a new norm in sport, which will make the field inaccessible to people who don't want to use dangerous drugs.
2198	0.6	Many athletes are role models, so their participation in doping would create a bad example for the children who look up to them.
2231	0.363636364	Many performance-enhancing drugs are addictive, which means that after the initial use, the choice to use them isn't free.
2240	0.7142857140000001	Many religious people see the consumption of drugs as unholy, that causes sports to be a political thing which only part of the population enjoy together. That discourages cooperation on other things and causes seperation
2311	0.2	Most a matures who aspire to be like the athletes they look up to don't have the supporting staff and facilities that help balance the negative effect of doping.
2383	0.4	Non professional athletes may over dope them self's in order to become better athletes.
2395	0.857142857	"Now athletes that doesn't want to take drugs will have to take them to ""stay in the game """
2407	0.7777777779999999	Once allowed, there will be huge pressure on athletes to take enhancing drugs, and thus a level of coercion involved. This is especially true in non-liberal countries.
2410	0.0	Once you use it you go get addicted to more difficult one , once the sports gamer start and he won’t be able to continue to keep what he does in sports
2910	0.9	Professional athletes are role models and if they are allowed to dope, kids will start doping too.
2911	0.583333333	Professional athletes serve as role models for young athletes in their sport, and widespread use of doping amongst professional would likely drive an increase in doping amongst youth, which can have negative health affects.
2912	0.875	Professional athletes start their careers as teenagers. Doping (which will be effectivly mandatory in order for them to be competitive) creates irreparable damage for their developing bodies, and which will last long after their athletic careers.
2942	0.14285714300000002	Reduces the display of fairness in sports of striping a drug abusing athlete from achievements in front of cameras, that reduces the value of fairness in society in general
3006	0.333333333	Serves as a bad example for young people by people who often serve as role models
3041	0.7142857140000001	Since not everyone responds the same way to drugs, legalizing doping won't equalize the field but will just create a different way in which people are unfairly disadvantaged.
3878	0.727272727	Some performance enhancing drugs have side effects that include increased aggression; this makes people who dope a potential threat to others.
3879	0.19047619	Some players are unaware of their training regimen and the chemicals they are being fed by team staff.
3893	0.545454545	Sport is about human spirit and human capabilities. No chemicals should be involved.
3894	0.5	Sport is supposed to be fair, and doping gives contested an unfair advantage.
3895	0.684210526	Sport provides meaning by being a dramatization of human struggles and challenges. Making athletes superhuman means spectators can't relate, and will lose the deep and influencing meaning and inspiration they derive from watching sport.
3898	0.571428571	Sports are about seeing the best of human athletic capabilities, doping takes sports out of the realm of human capability which makes sports less engaging.
3899	0.4	Sports are likely to be viewed less and create less excitement and inspiration when athletes aren't seem as having capabilities that audiences can aspire to.
3902	0.545454545	Sports is about pushing yourself to your limits, not using drugs to artificially inflate performance - doping would take away all the joy from sports.
3904	0.8	Sports should be a contest between humans and not who has access to the most performance improving drug
3912	0.1875	Steroids are often prescribed by doctors for recovery efforts, which can create false positives or push people out of sports if they need steroids.
3913	0.6	Steroids can cause elevated cholesterol levels, increased incidence of heart disease, addiction, serious liver damage, sex-trait changes and often severe behavioral changes, particularly heightened aggressiveness.
3979	0.571428571	The act of legalizing dope in some community assure the rise of the same dopes in general community as well.
4015	1.0	The competition will no longer be about people, but about drugs, which goes against the notion of testing the ability of people, so interest in sports will decrease.
4050	1.0	The essence of sport is to watch humanity reach it's peaks and adding non-human related factors like drags misses the point
4084	0.545454545	The goal of sports is to reach the peak of human performance and test boundaries
4112	0.7692307690000001	The human aspect of the game is one of the most beautiful thing about sports and it would be ruined if athletes were on drugs.
4114	0.727272727	The hurtful side effects of doping can take years to manifest, and young athletes who start early on would probably not consider the long-term effect it will have on their lives.
4117	0.4	The increased demand to these drugs will increase prices, which can mean that from now on the rich will have a permanent advantage over the poor.
4216	0.666666667	The purpose of sport is to see what hard work and training can make the human body capable of, and legalizing doping would detract from this core purpose of sporting.
4217	0.666666667	The purpose of sports is to show the potential skill of humans without additional assistance, which is violated by doping.
4221	0.666666667	The rationale of sports is to see people overcoming limitations and succeeding on their own - not thanks to chemical products.
4248	0.538461538	The spirit of sport is about the human mind, will power, character, teamwork, and dedication - not who has access to the best drugs.
4263	0.8	The tolerance for drugs can be different from person to person, and not all are related to body type &amp; size; we would compromise the integrity of sporting events by adding irrelevant factors to winning.
4264	0.75	The tolerance for drugs can be different from person to person, and not all are related to body type & size; we would compromise the integrity of sporting events by adding irrelevant factors to winning.
4266	0.444444444	The truest measure of an athlete is their own native ability and character.
4375	0.4	There may be significant health risks to atheletes who engage in doping
4403	0.14285714300000002	This encourages kids to dope because they see their role models using drugs and then are more likely to mimic.
4412	0.571428571	This sets a bad image for children and teens who may look up to athletes - it encourages younger children to adopt these practices, which likely has harmful health effects.
4415	0.5	This will give people a bad body image if they see ever-more muscular athletes
4417	0.636363636	This would encourage more athletes to dope, and to do so more aggressively, potentially harming their bodies in the long term or even overdosing
4427	0.666666667	Those who use drugs will have a huge advantage over the others. Anyone who wants to be an athlete will have to take drugs and hurt himself even if he does not want to.
4452	0.7142857140000001	Today countries in Africa are winning in many copetitions and they take pride in that, but now only countries with the money to develop drugs will be able to win, thus harming the weaker countries.
4454	0.25	Today the faith in sports is decreasing because of many doping cases. When it's legal there will be. Less heat over that and sports will look more welcoming for athlets and fans
4877	0.8888888890000001	We should not legalize doping in sport because athletes would be coerced into doping by sponsors and their teams, so that they would have to wreck their bodies.
4878	0.7777777779999999	We should not legalize doping in sport because children would be forced to start doping younger and younger in order to get into the right junior teams and academies, damaging their development.
4879	0.571428571	We should not legalize doping in sport because it is unethical to dope when not everyone is able to do so.
4880	0.8	We should not legalize doping in sport because it would be an insult to the hard work and integrity of athletes who have remained natural while doping is banned.
4881	0.5555555560000001	We should not legalize doping in sport because it would create a stigma for people who legitimately need to take the medicines.
4882	0.9	We should not legalize doping in sport because it would create an arms race where every top athlete had to dope as much as possible to remain competitive.
4883	0.444444444	We should not legalize doping in sport because it would set a poor example for children and make them feel inadequate about their own, natural bodies.
4884	0.571428571	We should not legalize doping in sport because people cannot make an informed choice about endocrinology without expert advice, and experts would not advise someone to dope.
4885	0.625	We should not legalize doping in sport because sports would become so much more focused on the new physical aspect that technique and strategy would suffer, hurting the quality of play.
4886	1.0	We should not legalize doping in sport because the long term effects of doping are not well understood and there could be serious harms to people's health.
4916	0.5555555560000001	What is the good in winning if you cheat. Doping is cheating, there is no satisfaction in winning when you cheat.
4935	0.5	When doping is made legal, athletes who don't want to consume drugs will be unable to compete professionally. This means we force the harms of doping on everyone.
4944	0.14285714300000002	When only a few people dope they delegitimate the game much more by beating everyone else by a lot more
4950	0.571428571	When people legalize doping in sport, we are not seeing the true ability of the athletes. Human being should be able to perform by their natural abilities and not get any help.
4977	0.4	While making anything legal will reduce the crime rates, that applies to legalizing murder; all countries have a responsibility to stop people from doing actions that hurt society.
5166	0.375	even if it will be used for good by athletes. it will make it abanded in socioty and pepole will miss use it becouse they are not in cntron by a doctor like athletes.
5384	0.571428571	the achievement of athletes with drugs are not really their own. sports are about getting your self to be the best. not the drugs.
5389	0.4	the costs of rehabilitating all the athletes and all the drugs addicts that will comefrom this mostion will be on the people of the country and it is unfair for them.
5410	0.272727273	the use of steroids is very carcinogenic by regular use. we already prohibiting food for being carsinogenic so it sould be the same.
5411	0.25	the use of throws drugs is adictive. even if only the filling of winning becouse of them is. it will make the athletes use them even after they will compite at the sportso more druge adicts.
