id	rank	argument
12	0.8	52% of Americans are concerned about surveillance of their daily lives.
16	0.5	65% of Americans say they should control what info is collected about them
45	0.7	A lot of information is requested by many companies for personal information when you subscribe to them, this needs to be controlled
70	0.46153846200000004	Absolutely!! That is the only way to regulate and bring sanity to the massive information overload that we live in today
72	0.636363636	Absolutely. It is critical that privacy is taken seriously and should not be monetized without consent and without making the individual aware on how the information could be used.
73	0.35714285700000004	Absolutely. Specially in country like India where our Mobile Phone number been sold to all possible ad agencies without our persmission and we get disturbing and time wasting calls all the time.
82	0.5	Activity performed under a person's account is not necessarily that of that person's; without privacy, these actions may be erroneously tied to someone and affect how that are treated by organizations privy to the information.
106	0.666666667	Albeit hindering the quality and extend of some on line services, privacy laws offer the partial empowerment to the individuals regarding the exploitation of their private life and behavior, which they should ultimately have.
111	0.9	All personal information should have approval before it is shared.
112	0.5555555560000001	All private data should be protected from being used for any kind of manipulation.
147	0.923076923	"An individual's ""Personal"" information ie; Social Security number, personal credit, investment, savings accounts, medical info. etc. must be protected by privacy laws and security to help deter the proliferation of identity theft."
148	0.666666667	An individual has one entity that is influenced and derived from a number of data points. Protection of these data points is as essential as the identity of the individual. Once broken, it cannot be replaced
167	0.6	Any information derived from direct contact with someone or their digital record SHOULD be protected.
170	0.7857142859999999	Any information that someone does NOT voluntarily share with other people SHOULD be protected.
183	0.41666666700000005	"As ""the enemy knows the system"" (Shannon) privacy is the major challenge in the times of quantum computing at its applications to cryptography"
185	0.625	As a user of all kind of offerings I'm demanding a certain level of protection. My credit card number or personal ID shouldn't be revealed to everybody.
186	0.5625	As an individual, I should have the choice what happens with my data
198	0.7142857140000001	As human beings we all say and do things that are misinterpreted or that we simply didn't mean and thus we need protecting from ourselves through privacy laws.
199	0.454545455	As important as laws protecting our privacy is the need for strong audit mechanisms
203	0.6	As long as the privacy of one person does not take away the democratic insight and transparency for others
208	0.8888888890000001	As technology and society evolve, our laws and regulations must also evolve. Technology is increasing the level of information exposure for every person on the planet, which requires additional protections.
209	0.222222222	"As the information grows so as the privacy laws growth. For example: ""your browsing history will tell you what kind of person you are"". So, digital discipline is must for global peace."
214	0.583333333	As we seek to benefit more and more from connected technologies, information privacy laws make it less and less profitable for those who seek to abuse our trust.
220	0.625	At this age one should consider that everything they put online or give to companies will be public. It is individual's responsibility to control what kind of information he/she should disseminate.
249	0.7142857140000001	Authorized people may misuse the information privacy laws to a great extent so the implementation is of paramount importance.
588	0.8	Because of the power and resource asymmetry between businesses, governments on one hand, and individuals on the other, only having privacy laws that are enforceable can permit individual data sharing with clarity.
609	1.0	Better information privacy laws will increase people's confidence when using the internet, because they know the information they share is protected. Therefore information privacy laws increase the profitability of internet companies in the long run.
