id	rank	argument
3	0.8666666666666667	Governments should be accountable to the people and only pass laws which have popular support, which is untrue of enforced vegetarianism.
6	0.9	Most meats are extremely unhealthy, A vegetarian diet is likely to make people consume more fruits, vegetables and dairy and will help them lead a more healthy life style.
21	1.0	Meat is exceptionally expensive to produce, in comparison to the nutritional value, so we could feed more people for less money by no longer eating meat.
31	1.0	Vegetarianism would help to alleviate the widespread deforestation that is caused by meat production in many regions of the world.
49	0.6	We have a way to respect animals life by that we don’t eat them and kill them in order to get our food. Adopt vegetarian
104	0.8	We should adopt vegetarianism because eating meat would be harmful for the globe if everyone did it, and therefore it is unethical for anyone to do it, even if the individual harm is small.
124	0.7333333333333333	Animals are more likely to be infected with bacteria and parasites dangerous to humans, making them inherently riskier to eat, especially if not fully cooked
261	0.7333333333333333	The environmental impact of raising livestock and the drain on resources used to feed animals we raise for slaughter is a waste and endangers the future of our planet.
275	0.8	We should adopt vegetarianism because raising livestock for slaughter is one of the largest contributors to climate change.
281	0.9333333333333332	Growing animals for meat requires a lot more water than what is used to grow plant based food for human consumption, so vegetarianism saves water.
304	0.4	Taste is not justification for killing other sentient beings, so a meatless diet cannot be justified.
334	0.8666666666666667	vegetarianism is more humane and should be adopted for the sake of our moral compass.
336	0.6666666666666666	its unethical to slaughter a living being that cannot speak for them selfs. more vegetarians means less slaughtering .
401	0.9333333333333332	Animals are regularly pumped full of growth hormones which have adverse reactions on humans, unlike plants consumed under vegetarianism.
409	0.8666666666666667	In many parts of the world, animal waste created in industrial meat production is a major pollutant of local water supplies, and can devastate ecosystems, and widespread vegetarianism would address this.
472	0.8666666666666667	Deadly diseases like mad cow, cholera, and others start due to human's close proximity with animals, making vegetarians less likely to get these diseases.
489	0.8666666666666667	Animals grown for food will often eat entire grasslands out of existence and require more land to be deforested for grazing which leads to the extinction of diverse plant and animal species, vegetarianism prevents this.
513	0.5333333333333333	Eating meat is not good for the development of the our world, vegetarian life help help our natural resources.
518	0.8	Vegetarian diet is not only moral but also extremely yummy, not less than non-vegetarian diet.
595	0.7666666666666667	Vegetarianism encourages healthier eating when you're going out, since meat dishes tend to be greasier and heavier than vegetarian ones.
597	0.6	Because animals are thinking, sentient creatures, it is a violation of their rights to kill them when it is not absolutely necessary for us.
606	1.0	We should adopt vegetarianism because it is healthier than the conventional omnivore diets common in western countries.
609	0.8	The meat industry is incredibly cruel to animals and causes a lot of suffering, going vegetarian prevents complicity in this suffering.
616	0.8	Many people would save a considerable amount of money if they switch to vegetarianism.
