#id	annotatorid	label	a1	a2
1954_1955	goldLabel	a1	vulnerable populations who cannot be vaccinated and who are particularly vulnerable to flu-induced mortality--such as people with immunological deficiencies--require herd immunity to be safe, and herd immunity can only be achieved with mandatory vaccination.	if i am the individual, i am the one that has the most to gain from vaccination, even though i did not get to choose myself. this is because humans are almost always not rational.
1956_1957	goldLabel	a1	flu vaccination should be mandatory because people who are healthy enough to receive the vaccine have a moral duty to limit the risk of the flu to those who cannot get the vaccine.	just like with other regulations, if there are some groups that have justifiable reasons to avoid the flu vaccine, such as religious considerations, flu vaccination should still be mandatory, only with rooms for exemptions.
1958_1959	goldLabel	a1	flu vaccination should be mandatory because there is a collective action problem in play, where nobody benefits much as an individual but the community benefits enormously.	flu vaccination should be mandatory in order to ensure that people who have been mislead into opposing the vaccine are not victims of their own ignorance.
1960_1961	goldLabel	a1	given how herd immunity works, every person who isn't vaccinated massively increases the chances of everyone else getting sick. therefore, when more people are vaccinated, we get a healthier society.	people will cooperate with this proposal with peace of mind. most people don't do it vulontarily just by default or due to lack of information.
1962_1963	goldLabel	a1	in developing countries where the flu is more likely to have intense adverse effects due to poor sanitation and lack of treatment, the flu vaccine prevents having to deal with a health crisis later.	the flu vaccine is broadly offered in schools, workplaces, and pharmacies such that no one has a valid excuse not to get a flu vaccine, making it a reasonable thing to mandate.
1964_1965	goldLabel	a1	the flu kills 36000 per year, many of which could be prevented by the vaccine.	mandating flu vaccination is good for the economy by creating more jobs in production, administration, and other management.
1966_1967	goldLabel	a1	the government has an obligation to the population as a whole over any individual, so it must prioritize the health of the people over individual rights.	the government job is to make laws that regulations people life, by doing it it can force people to take them and use her power for the good people life
1968_1969	goldLabel	a1	herd immunity increases the effectiveness of the flu vaccine overall, meaning that mandating flu vaccination would decrease the rates of illness and risk for everyone.	children can easily be mandated to take vaccines as they can be denied access to education if their parents do not comply.
1970_1958	goldLabel	a2	it is immoral to spread diseases to others when it can be avoided. this is similar to assaulting others, even if the eventual damage is small.	flu vaccination should be mandatory because there is a collective action problem in play, where nobody benefits much as an individual but the community benefits enormously.
1971_1972	goldLabel	a1	most people are not informed enough about the effects or don't think about it. when it comes to a matter of live or death, the state should force those people to to do it.	adults regularly refuse to get the vaccine because they know they won't be seriously harmed due to contracting the flu, despite the fact that it would be better for everyone if they got the vaccine.
1962_1967	goldLabel	a1	in developing countries where the flu is more likely to have intense adverse effects due to poor sanitation and lack of treatment, the flu vaccine prevents having to deal with a health crisis later.	the government job is to make laws that regulations people life, by doing it it can force people to take them and use her power for the good people life
1973_1974	goldLabel	a1	when not vaccinating, you increase the chances of others, who didn't get a say in your decision, to get sick. it's illegutimate to make that choice on someone else's behalf.	vaccination would get a stamp of validation from the government - it's mandatory because it cant possibly harm you - and more people will choose to get vaccinated
1956_1971	goldLabel	a1	flu vaccination should be mandatory because people who are healthy enough to receive the vaccine have a moral duty to limit the risk of the flu to those who cannot get the vaccine.	most people are not informed enough about the effects or don't think about it. when it comes to a matter of live or death, the state should force those people to to do it.
1975_1976	goldLabel	a1	mandating flu vaccines will raise awareness about how deadly the flu actually is (causing thousands of death a year).	the country exists first of all to take care of the physical well being of their people, includes vaccinations.
1977_1978	goldLabel	a2	many people do not vaccinate because they are under pressure from their communities. when we force everyone to get vaccinated, we actually give more people what they want than the status quo.	flu vaccination should be mandatory because when most people get the flu vaccine, it helps protect the population as a whole. this is because there are fewer infected people to transmit the highly contagious illness.
1979_1980	goldLabel	a2	sending people to vaccinate will make people see some doctor and have some interaction with medical professionals, means more awareness and probability for people to care for their health	even if flu vaccines aren't 100% effective, the chance of effectiveness is worth mandating vaccination since there are so few risks to people getting them that even one additionally prevented case is worth it.
1981_1982	goldLabel	a2	it legitimizes and makes the act of vaccinating more a part of day to day life, thus more people likely to vaccinate in general	government signalling that health is important and must actively be regulated can change people's behavior in favor of public health.
1983_1984	goldLabel	a2	there is no right to harm others by not getting the vaccine.	preventative medicine, like the vaccine, costs less than reactive medicine after the flue is contracted.
1967_1985	goldLabel	a2	the government job is to make laws that regulations people life, by doing it it can force people to take them and use her power for the good people life	people who can't get vaccinated due to medical reasons depend on herd immunity from mass vaccination of everyone else for protection, mandating vaccines maintains herd immunity.
1986_1987	goldLabel	a1	herd immunity: we can defeat plagues or viruses completely by gaining a critical mass of vaccinated people, so the disease cannot be spread	the cost of preventing the disease is cheper then curing it thus is will save mony for the medical institution
1982_1988	goldLabel	a2	government signalling that health is important and must actively be regulated can change people's behavior in favor of public health.	by not vaccinating people are subjecting other people, especially children who can't yet have vaccines, to diseases that can harm them harshly.
