#id	annotatorid	label	a1	a2
515_516	goldLabel	a2	forcing parent to vaccinate their children is getting into the way they parent and control it, which is not legitimate.	mandating flu vaccination sets a dangerous precedent for the government mandating invasive medical procedures and regulating the human body directly in the future.
517_518	goldLabel	a2	people who don't believe in vaccines will get angry at the state and would show less willingness to work with it.	flu vaccination should not be mandatory because there are less restrictive ways to get everyone vaccinated, like requiring it to attend schools or receive health insurance.
519_520	goldLabel	a1	forcing people to get the flu vaccine against their will wiill further cause people to lose faith in vaccines and public health policies, which will discourage future adherence to and support for health policies.	people often don't get the flu vaccine based on conventional or emotional wisdom, mandating a flu vaccine makes them feel attacked but does nothing to promote fact based decision making or scientific awareness.
516_521	goldLabel	a1	mandating flu vaccination sets a dangerous precedent for the government mandating invasive medical procedures and regulating the human body directly in the future.	opposition to vaccines is valid as the government and doctors have used their powers to harm marginalized groups before.
522_523	goldLabel	a1	the government forcing this on their citizens creates a precedent where they can require people to ingest chemicals they don't understand or want.	religious reasons not to get vaccinated are more important than marginally contributing to herd immunity since the potential for hell is infinite.
524_517	goldLabel	a1	flu vaccination should not be mandatory because it is an over-extension of the state's power to require a medical treatment.	people who don't believe in vaccines will get angry at the state and would show less willingness to work with it.
516_525	goldLabel	a1	mandating flu vaccination sets a dangerous precedent for the government mandating invasive medical procedures and regulating the human body directly in the future.	if everybody are vaccinated, flu can become immune to the specific vaccination and flu may become more aggressive towards human.
523_526	goldLabel	a2	religious reasons not to get vaccinated are more important than marginally contributing to herd immunity since the potential for hell is infinite.	the state must not impose one way of life over another, even if the state thinks that such way of life harms those who live that way.
527_528	goldLabel	a2	the proposal will make people more inddifferent to the flu and take more risks, despite the vaccine being not fully effective	flu vaccination should not be mandatory because some people have valid reasons for not wanting the vaccine, like a phobia of needles or a cultural objection.
519_529	goldLabel	a1	forcing people to get the flu vaccine against their will wiill further cause people to lose faith in vaccines and public health policies, which will discourage future adherence to and support for health policies.	vaccination might have side-effects, which might be stronger to some, and would make the reduce in riak for getting sick non-profitable as the damage done because of the vaccination is big enough to negate it.
530_531	goldLabel	a2	government mandating flu vaccines makes anti-vaxxers feel more oppressed which further radicalizes them and facilitates recruitment into the movement.	many religions have practices that forbid vaccination, and this mandate would violate religious freedom.
532_533	goldLabel	a1	the government forcing this on their citizens creates a precedent where they can ignore the will of the people.	some people will get so angery about the subject, that they will stop to take any vaccination and will not vaccinate their children
527_534	goldLabel	a2	the proposal will make people more inddifferent to the flu and take more risks, despite the vaccine being not fully effective	flu vaccination should not be mandatory because it would be impossible to enforce the law, which would undermine people's respect for the government overall.
535_536	goldLabel	a1	the flu, while undesirable and uncomfortable, is not deadly. the state has no right to force people to vaccinate when the harm isn't fatal.	vaccines might be harmful, and only the person taking them can know if they are worth the risk for them.
518_527	goldLabel	a1	flu vaccination should not be mandatory because there are less restrictive ways to get everyone vaccinated, like requiring it to attend schools or receive health insurance.	the proposal will make people more inddifferent to the flu and take more risks, despite the vaccine being not fully effective
537_524	goldLabel	a2	if there are issues in production or application with the vaccine, public trust in the government will be destroyed.	flu vaccination should not be mandatory because it is an over-extension of the state's power to require a medical treatment.
538_537	goldLabel	a1	flu vaccination should not be mandatory because coercion is less effective than education when it comes to promoting better public health.	if there are issues in production or application with the vaccine, public trust in the government will be destroyed.
524_523	goldLabel	a1	flu vaccination should not be mandatory because it is an over-extension of the state's power to require a medical treatment.	religious reasons not to get vaccinated are more important than marginally contributing to herd immunity since the potential for hell is infinite.
539_540	goldLabel	a2	even if all citizens are vaccinated, we will not receive herd immunity because vaccines do not work on large percentages of the population. so there is no substantial harm to other people by not vaccinating.	most people who don't get flu vaccines don't get them because of expense or physical inaccessibility, it is wrong for the government to mandate something they can't guarantee will be provided.
541_529	goldLabel	a1	forcing a person to do something to protect others infringes on his right to first of all care for himself, just like we don't force people to save others from a burning house	vaccination might have side-effects, which might be stronger to some, and would make the reduce in riak for getting sick non-profitable as the damage done because of the vaccination is big enough to negate it.
542_532	goldLabel	a2	the government has proven it cannot be trusted with mandated healthcare due to eugenics programs in the past.	the government forcing this on their citizens creates a precedent where they can ignore the will of the people.
543_535	goldLabel	a2	making vaccination mandatory will be a heavy weight on the health system and would make it collapse most likely.	the flu, while undesirable and uncomfortable, is not deadly. the state has no right to force people to vaccinate when the harm isn't fatal.
544_545	goldLabel	a2	if the government mandates vaccines, anti science conspiracy theorists will become emboldened, more scared, and radicalized.	government mandated vaccines are an expensive program that will trade off with other important programs.
546_530	goldLabel	a1	people do have the autonomy of their own body, and given a vaccination is an invasive process, they have the legitimacy to choose otherwise	government mandating flu vaccines makes anti-vaxxers feel more oppressed which further radicalizes them and facilitates recruitment into the movement.
525_546	goldLabel	a2	if everybody are vaccinated, flu can become immune to the specific vaccination and flu may become more aggressive towards human.	people do have the autonomy of their own body, and given a vaccination is an invasive process, they have the legitimacy to choose otherwise
544_530	goldLabel	a2	if the government mandates vaccines, anti science conspiracy theorists will become emboldened, more scared, and radicalized.	government mandating flu vaccines makes anti-vaxxers feel more oppressed which further radicalizes them and facilitates recruitment into the movement.
547_548	goldLabel	a2	there are legitimate risks in taking any vaccinations, like mix ups or unclean needles. given that the negative consequences of the flue are pretty mild, it's legitimate to prioritize one over the other.	the constitution does not grant the government the right to do this. the government also defines all powers that the government has, so it would be violating its contractual agreements with the people.
