#id	annotatorid	label	a1	a2
1563_1564	goldLabel	a2	online shopping harms poor people. online shops sell for a cheap price since less people need to be payed. to compete regual shops must lower prices as well, hence cutting wages.	online shopping is creating a culture of immediate demand and less delayed gratification, so people buy more things they don't need for the sole purpose of buying things
1565_1564	goldLabel	a2	online shops harms their users. the seller is many times hard to reach, or his information is wrong, so when you get a wrong or dysfunctioning product you are unlikely to be compensated.	online shopping is creating a culture of immediate demand and less delayed gratification, so people buy more things they don't need for the sole purpose of buying things
1566_1567	goldLabel	a2	causes people to buy stuff that they don't need instead of spending the money on things that would bring them more happiness	online shopping makes it so products are less accessible to people who don't have steady access to the internet or payment methods, given that stores are closing.
1568_1569	goldLabel	a1	online shopping requires transferring important personal data into the virtual space, making it more vulnerable to hackers attacks and misuse of information.	online shopping brings more harm than good because it lets a few big businesses dictate prices everywhere and drive small businesses under by undercharging for goods.
1570_1571	goldLabel	a2	online shopping is very easy and attractive, it's cause people to spend more money on stuff they don't need	online shopping brings more harm than good because it encourages the dominance of a few businesses like amazon at the expense of any competitors.
1572_1573	goldLabel	a1	online shopping makes it harder to regulate because of the vast difference in locations, laws, and companies. that makes it harder to protect the customer in case of harm or fraud.	there is a big competition to sell products for a very cheap price. competition is unsupevised, low prices are determined on the expense of the workers anf thus abusing their work.
1574_1568	goldLabel	a2	it is hard to regulate online shopping and because of that the costumer is more likely to be scammed	online shopping requires transferring important personal data into the virtual space, making it more vulnerable to hackers attacks and misuse of information.
1575_1576	goldLabel	a1	online shopping brings more harm than good because it encourages reckless consumerism.	people waste hours on browning and looking on shopping sites, they can used their time much better
1574_1577	goldLabel	a2	it is hard to regulate online shopping and because of that the costumer is more likely to be scammed	online shopping is harming the local market significantly, causing people to lose their jobs or businesses because they can't compete in the price war
1578_1575	goldLabel	a2	online shopping cause damage to small stop owners whom can't compete amazon	online shopping brings more harm than good because it encourages reckless consumerism.
1576_1579	goldLabel	a2	people waste hours on browning and looking on shopping sites, they can used their time much better	online shopping exposes buyers to hackers who can steal their credit card numbers.
1580_1581	goldLabel	a1	everything jumps at you at all times, unlike normal shopping which makes you browse the shelves of a specific store. that makes you more likely to waste more money on things you don't really need.	makes peoeple spend money on things they don't need. with out it, even if you want something you must go out and find a shop, so you are less likely to buy on a whim.
1582_1583	goldLabel	a1	online shopping makes it so simple to track one's shopping habits. this goes against the privacy of the customers, and enables companies to abuse this information.	online shopping enables any manufecturer to be part of the market. thus products are spread to people without passing quality comtrols, having the potential of harming the consumers.
1578_1579	goldLabel	a2	online shopping cause damage to small stop owners whom can't compete amazon	online shopping exposes buyers to hackers who can steal their credit card numbers.
1584_1566	goldLabel	a1	online shopping brings more harm than good because it encourages vertical monopolies as companies lock down their ecosystem, like amazon with their kindle in the ebook space.	causes people to buy stuff that they don't need instead of spending the money on things that would bring them more happiness
1573_1584	goldLabel	a2	there is a big competition to sell products for a very cheap price. competition is unsupevised, low prices are determined on the expense of the workers anf thus abusing their work.	online shopping brings more harm than good because it encourages vertical monopolies as companies lock down their ecosystem, like amazon with their kindle in the ebook space.
1585_1568	goldLabel	a2	online shopping encourages people to buy from shops far away from them, thus increasing unemployment in their city.	online shopping requires transferring important personal data into the virtual space, making it more vulnerable to hackers attacks and misuse of information.
1586_1587	goldLabel	a1	online shoppers are much more suspectible to advertisement and false presentations of products and services as they don't have any actual production in hands to evaluate.	the fact that it is extremely easy to buy things make people buy more things, spending money and creating more pullotion, when they don't really need it
1588_1576	goldLabel	a1	shopping is much more addictive when it is easily available at any time	people waste hours on browning and looking on shopping sites, they can used their time much better
1589_1590	goldLabel	a2	online shopping brings more harm than good because it allows american companies to dominate commerce in smaller countries and undermines their domestic retailers, such as amazon in ireland.	online shopping brings more harm than good because it gives businesses more information about their customers and invades their privacy without their even knowing it.
1590_1566	goldLabel	a1	online shopping brings more harm than good because it gives businesses more information about their customers and invades their privacy without their even knowing it.	causes people to buy stuff that they don't need instead of spending the money on things that would bring them more happiness
1586_1568	goldLabel	a2	online shoppers are much more suspectible to advertisement and false presentations of products and services as they don't have any actual production in hands to evaluate.	online shopping requires transferring important personal data into the virtual space, making it more vulnerable to hackers attacks and misuse of information.
1573_1580	goldLabel	a2	there is a big competition to sell products for a very cheap price. competition is unsupevised, low prices are determined on the expense of the workers anf thus abusing their work.	everything jumps at you at all times, unlike normal shopping which makes you browse the shelves of a specific store. that makes you more likely to waste more money on things you don't really need.
1569_1577	goldLabel	a1	online shopping brings more harm than good because it lets a few big businesses dictate prices everywhere and drive small businesses under by undercharging for goods.	online shopping is harming the local market significantly, causing people to lose their jobs or businesses because they can't compete in the price war
1591_1568	goldLabel	a2	online shopping caused a lot of peoples job because instead of lots of small shops with sellers we now have large warehouses that employ robots.	online shopping requires transferring important personal data into the virtual space, making it more vulnerable to hackers attacks and misuse of information.
1564_1569	goldLabel	a2	online shopping is creating a culture of immediate demand and less delayed gratification, so people buy more things they don't need for the sole purpose of buying things	online shopping brings more harm than good because it lets a few big businesses dictate prices everywhere and drive small businesses under by undercharging for goods.
1583_1590	goldLabel	a2	online shopping enables any manufecturer to be part of the market. thus products are spread to people without passing quality comtrols, having the potential of harming the consumers.	online shopping brings more harm than good because it gives businesses more information about their customers and invades their privacy without their even knowing it.
1564_1592	goldLabel	a1	online shopping is creating a culture of immediate demand and less delayed gratification, so people buy more things they don't need for the sole purpose of buying things	most of online retailers are based in china or based on chinese products, streaming more money to the chinese economy, strengthening it instead of strengthening local economy which is probably weaker
1563_1567	goldLabel	a1	online shopping harms poor people. online shops sell for a cheap price since less people need to be payed. to compete regual shops must lower prices as well, hence cutting wages.	online shopping makes it so products are less accessible to people who don't have steady access to the internet or payment methods, given that stores are closing.
1563_1593	goldLabel	a2	online shopping harms poor people. online shops sell for a cheap price since less people need to be payed. to compete regual shops must lower prices as well, hence cutting wages.	online shopping is extremely easy and the payment isn't in cash, so there's a large risk of people getting addicted to it or at the very least buying a lot more than they need.
1587_1594	goldLabel	a2	the fact that it is extremely easy to buy things make people buy more things, spending money and creating more pullotion, when they don't really need it	online shopping brings more harm than good because it offers almost no unique good and a host of unique harms, so when you weigh the two the comparison is easy.
1595_1596	goldLabel	a2	online shopping exploits technology in order to make unequal prices to each person, which is unfair and harms the basic principal of equality of people.	online shopping brings more harm than good because people tend to pay with credit cards and it encourages personal debt.
1574_1571	goldLabel	a2	it is hard to regulate online shopping and because of that the costumer is more likely to be scammed	online shopping brings more harm than good because it encourages the dominance of a few businesses like amazon at the expense of any competitors.
1596_1576	goldLabel	a1	online shopping brings more harm than good because people tend to pay with credit cards and it encourages personal debt.	people waste hours on browning and looking on shopping sites, they can used their time much better
1567_1583	goldLabel	a2	online shopping makes it so products are less accessible to people who don't have steady access to the internet or payment methods, given that stores are closing.	online shopping enables any manufecturer to be part of the market. thus products are spread to people without passing quality comtrols, having the potential of harming the consumers.
1572_1597	goldLabel	a1	online shopping makes it harder to regulate because of the vast difference in locations, laws, and companies. that makes it harder to protect the customer in case of harm or fraud.	it makes it so that people don't perceive properly the amount of things that they buy (in contrast, in regular shopping you see all items life-sized and that helps you know when to stop).
1598_1566	goldLabel	a1	we shop less outside, we stay more in side. in some cases it can affect our physical and mental health because we are social creatures	causes people to buy stuff that they don't need instead of spending the money on things that would bring them more happiness
1564_1599	goldLabel	a2	online shopping is creating a culture of immediate demand and less delayed gratification, so people buy more things they don't need for the sole purpose of buying things	online shopping leads to much less efficient goods transport, since it is common to buy from distance parts of the world. this enhance the carbon footprint and saviorlly contributes to world pollution
1586_1595	goldLabel	a1	online shoppers are much more suspectible to advertisement and false presentations of products and services as they don't have any actual production in hands to evaluate.	online shopping exploits technology in order to make unequal prices to each person, which is unfair and harms the basic principal of equality of people.
1572_1600	goldLabel	a1	online shopping makes it harder to regulate because of the vast difference in locations, laws, and companies. that makes it harder to protect the customer in case of harm or fraud.	online shopping brings more harm than good because it discourages local big box stores which employ lots of people who lack the skills for other times of employment.
1601_1597	goldLabel	a1	online shops harm poor people. normal shops lose money by losing consumers, and are likely to close. those with out access to computers and knowledge of how to use the internet will struggle to shop.	it makes it so that people don't perceive properly the amount of things that they buy (in contrast, in regular shopping you see all items life-sized and that helps you know when to stop).
1566_1602	goldLabel	a2	causes people to buy stuff that they don't need instead of spending the money on things that would bring them more happiness	the vast majority of the shopping is conducted though a small number of sites (amazon), that acts like a monopoly and harms many sellers on the site
1603_1604	goldLabel	a1	it is highly digitized and therefore creates less jobs and harms the economy	addictive and causes people to lose a lot of money by buying non stop
1595_1605	goldLabel	a2	online shopping exploits technology in order to make unequal prices to each person, which is unfair and harms the basic principal of equality of people.	online shopping harms small businesses that can't compete with large websites, and this leads to less competition in the market.
1582_1587	goldLabel	a1	online shopping makes it so simple to track one's shopping habits. this goes against the privacy of the customers, and enables companies to abuse this information.	the fact that it is extremely easy to buy things make people buy more things, spending money and creating more pullotion, when they don't really need it
1606_1573	goldLabel	a1	online shopping is harming family businesses based on homemade products rather than on technology, because the owner is not likely to open an online page for his shop and compete with large retailers	there is a big competition to sell products for a very cheap price. competition is unsupevised, low prices are determined on the expense of the workers anf thus abusing their work.
1607_1576	goldLabel	a1	many people buy online based on fake reviews and receive products that do not suit them.	people waste hours on browning and looking on shopping sites, they can used their time much better
1576_1608	goldLabel	a2	people waste hours on browning and looking on shopping sites, they can used their time much better	destroys local buisenesses, which harms many people who have built their lives around them
1579_1603	goldLabel	a1	online shopping exposes buyers to hackers who can steal their credit card numbers.	it is highly digitized and therefore creates less jobs and harms the economy
1585_1604	goldLabel	a1	online shopping encourages people to buy from shops far away from them, thus increasing unemployment in their city.	addictive and causes people to lose a lot of money by buying non stop
1601_1563	goldLabel	a1	online shops harm poor people. normal shops lose money by losing consumers, and are likely to close. those with out access to computers and knowledge of how to use the internet will struggle to shop.	online shopping harms poor people. online shops sell for a cheap price since less people need to be payed. to compete regual shops must lower prices as well, hence cutting wages.
1570_1609	goldLabel	a2	online shopping is very easy and attractive, it's cause people to spend more money on stuff they don't need	when people buy online they usually buy a lot of things that they do not really need and spend their money wastefully.
1584_1610	goldLabel	a1	online shopping brings more harm than good because it encourages vertical monopolies as companies lock down their ecosystem, like amazon with their kindle in the ebook space.	online shopping brings more harm than good because it undermines the used goods market by making it so much easier to buy new things than shop around for used ones.
1611_1576	goldLabel	a1	online shopping is addictive and because it is so easy, it's easy for people to lose touch with reality.	people waste hours on browning and looking on shopping sites, they can used their time much better
1581_1601	goldLabel	a2	makes peoeple spend money on things they don't need. with out it, even if you want something you must go out and find a shop, so you are less likely to buy on a whim.	online shops harm poor people. normal shops lose money by losing consumers, and are likely to close. those with out access to computers and knowledge of how to use the internet will struggle to shop.
1612_1607	goldLabel	a1	online shopping lets companies show different prices to different customers, causing people to pay more without even knowing.	many people buy online based on fake reviews and receive products that do not suit them.
1572_1583	goldLabel	a1	online shopping makes it harder to regulate because of the vast difference in locations, laws, and companies. that makes it harder to protect the customer in case of harm or fraud.	online shopping enables any manufecturer to be part of the market. thus products are spread to people without passing quality comtrols, having the potential of harming the consumers.
1611_1604	goldLabel	a1	online shopping is addictive and because it is so easy, it's easy for people to lose touch with reality.	addictive and causes people to lose a lot of money by buying non stop
1570_1613	goldLabel	a2	online shopping is very easy and attractive, it's cause people to spend more money on stuff they don't need	online shopping leads people to buy more unnecessary things because it's easier to buy them.
1612_1585	goldLabel	a2	online shopping lets companies show different prices to different customers, causing people to pay more without even knowing.	online shopping encourages people to buy from shops far away from them, thus increasing unemployment in their city.
1581_1606	goldLabel	a2	makes peoeple spend money on things they don't need. with out it, even if you want something you must go out and find a shop, so you are less likely to buy on a whim.	online shopping is harming family businesses based on homemade products rather than on technology, because the owner is not likely to open an online page for his shop and compete with large retailers
1614_1568	goldLabel	a2	when you buy online the chance of being cheated are bigger, because you do not see the product in the eye before buying.	online shopping requires transferring important personal data into the virtual space, making it more vulnerable to hackers attacks and misuse of information.
1613_1574	goldLabel	a2	online shopping leads people to buy more unnecessary things because it's easier to buy them.	it is hard to regulate online shopping and because of that the costumer is more likely to be scammed
1567_1610	goldLabel	a1	online shopping makes it so products are less accessible to people who don't have steady access to the internet or payment methods, given that stores are closing.	online shopping brings more harm than good because it undermines the used goods market by making it so much easier to buy new things than shop around for used ones.
1569_1590	goldLabel	a2	online shopping brings more harm than good because it lets a few big businesses dictate prices everywhere and drive small businesses under by undercharging for goods.	online shopping brings more harm than good because it gives businesses more information about their customers and invades their privacy without their even knowing it.
1576_1585	goldLabel	a2	people waste hours on browning and looking on shopping sites, they can used their time much better	online shopping encourages people to buy from shops far away from them, thus increasing unemployment in their city.
1597_1606	goldLabel	a2	it makes it so that people don't perceive properly the amount of things that they buy (in contrast, in regular shopping you see all items life-sized and that helps you know when to stop).	online shopping is harming family businesses based on homemade products rather than on technology, because the owner is not likely to open an online page for his shop and compete with large retailers
1567_1600	goldLabel	a2	online shopping makes it so products are less accessible to people who don't have steady access to the internet or payment methods, given that stores are closing.	online shopping brings more harm than good because it discourages local big box stores which employ lots of people who lack the skills for other times of employment.
1572_1591	goldLabel	a1	online shopping makes it harder to regulate because of the vast difference in locations, laws, and companies. that makes it harder to protect the customer in case of harm or fraud.	online shopping caused a lot of peoples job because instead of lots of small shops with sellers we now have large warehouses that employ robots.
1571_1592	goldLabel	a1	online shopping brings more harm than good because it encourages the dominance of a few businesses like amazon at the expense of any competitors.	most of online retailers are based in china or based on chinese products, streaming more money to the chinese economy, strengthening it instead of strengthening local economy which is probably weaker
1610_1590	goldLabel	a2	online shopping brings more harm than good because it undermines the used goods market by making it so much easier to buy new things than shop around for used ones.	online shopping brings more harm than good because it gives businesses more information about their customers and invades their privacy without their even knowing it.
