#id	annotatorid	label	a1	a2
2231_2232	goldLabel	a2	the social media reader rellay on information that hasn’t been checked of it true, and make decisions base on it	social media facilitates predatory behavior since people can make fake profiles and use them to stalk and endanger others.
2233_2234	goldLabel	a1	since people only post the highlights of their life on social media, it can lead to a skewed perception of how happy people are in reality which can make people feel lonely or under-achieving.	little children, especially young girls, that see on social media that the popular people ate the ones publishing themselves in bathing suits, may feel like they have to do it in order to become popular.
2235_2236	goldLabel	a2	social media creates huge data-bases, harming the privacy of the users.	social media creates unrealistic expectations of how your life should be going compared to others.
2237_2238	goldLabel	a2	when using social media we mainly see the happy moment on other people life- which can cause us to feel bad when compre it to our on life	social media gives technology companies access to vast amounts of our personal data which they can sell to advertisers, infringing on our privacy.
2239_2240	goldLabel	a2	people use social media most of the time because they are board, which make us crave stimuli all time- as a result out ability to focus for long time decreases	social media brings more harm than good because it encourages people to share their personal details with large companies and governments who don't have their interests at heart.
2234_2241	goldLabel	a2	little children, especially young girls, that see on social media that the popular people ate the ones publishing themselves in bathing suits, may feel like they have to do it in order to become popular.	social media creates echo chambers where people are more likely to just have their own views enforced and think they are the norm (e.g. by liking specific facebook pages), which is bad for understanding.
2242_2243	goldLabel	a1	social media brings more harm than good because it encourages people to compare their lives to others and feel covetous and inadequate.	social media brings more harm than good because it draws huge amounts of investment that could be better spent on basically anything else.
2244_2245	goldLabel	a1	social media users are more vulnerable to security breaches like hacking and viruses.	social media makes people care more about the number of 'likes' they have than their real relationships.
2246_2247	goldLabel	a1	social media brings more harm than good because it has led to the spread of fake news and misinformation that would have been screened out by barriers to publication in past decades.	"small groups with extreme opinions can bond to share their opinions on social media, thus making it seem as if is a ""popular"" opinion, not only spreading fear but also getting others to join."
2248_2249	goldLabel	a1	social media leads to people becoming used to short and simple messages, thus making it harder and less likely for them to reed more profound articles, and that leads to less informed citizens.	social media way of connecting people assure that contact is minimal, hance making it so people rarely get to actually know each over in network, instead coming to see everyone as sort of a bland.
2241_2239	goldLabel	a1	social media creates echo chambers where people are more likely to just have their own views enforced and think they are the norm (e.g. by liking specific facebook pages), which is bad for understanding.	people use social media most of the time because they are board, which make us crave stimuli all time- as a result out ability to focus for long time decreases
2250_2246	goldLabel	a2	on social media, the popular people are usually the more good looking ones. if someone doesn't get a lot of 'likes', he may feel bad about himself.	social media brings more harm than good because it has led to the spread of fake news and misinformation that would have been screened out by barriers to publication in past decades.
2250_2251	goldLabel	a2	on social media, the popular people are usually the more good looking ones. if someone doesn't get a lot of 'likes', he may feel bad about himself.	social media makes fake news spread faster and reach huge audiences, since fake news are often more sensational and provocative than real news , hurting public discourse and the democratic process.
2233_2252	goldLabel	a1	since people only post the highlights of their life on social media, it can lead to a skewed perception of how happy people are in reality which can make people feel lonely or under-achieving.	social media get's money by making people use it, so they make you addicted to it: either by sending notifications to re-enter it, or rapidly changing the shown info to make you want to stay.
2253_2251	goldLabel	a2	social media helps the spread of fake news. the algorithms prioritize sensational stories that cause emotional response form people, which are usually the inaccurate and false ones.	social media makes fake news spread faster and reach huge audiences, since fake news are often more sensational and provocative than real news , hurting public discourse and the democratic process.
2254_2243	goldLabel	a1	anonymous online communities via social media have allowed for hate groups and other socially abhorrent communities to become more easily accessible and widespread.	social media brings more harm than good because it draws huge amounts of investment that could be better spent on basically anything else.
2243_2255	goldLabel	a2	social media brings more harm than good because it draws huge amounts of investment that could be better spent on basically anything else.	social media can be used by governments to follow their citizens, make them conform to the regime's ideology and harm those that don't.
2237_2250	goldLabel	a1	when using social media we mainly see the happy moment on other people life- which can cause us to feel bad when compre it to our on life	on social media, the popular people are usually the more good looking ones. if someone doesn't get a lot of 'likes', he may feel bad about himself.
2256_2257	goldLabel	a1	social media makes bullying much more offensive and harmful to kids and teenagers, since it follows them everywhere and all the time. there is nowhere to hide.	"social media is connecting huge amount of people to every sinhle person, making it so each ""friend"" is relatively detached and almost completely mitigate any form of benefit from connecting new people."
2244_2258	goldLabel	a2	social media users are more vulnerable to security breaches like hacking and viruses.	social media is an unchecked enabler for various media of harassment such as stalking and cyberbullying.
2251_2248	goldLabel	a1	social media makes fake news spread faster and reach huge audiences, since fake news are often more sensational and provocative than real news , hurting public discourse and the democratic process.	social media leads to people becoming used to short and simple messages, thus making it harder and less likely for them to reed more profound articles, and that leads to less informed citizens.
2243_2259	goldLabel	a2	social media brings more harm than good because it draws huge amounts of investment that could be better spent on basically anything else.	in social media people feel more free to bully other people because they don't see the emotions or reactions of the person they bully.
2250_2260	goldLabel	a2	on social media, the popular people are usually the more good looking ones. if someone doesn't get a lot of 'likes', he may feel bad about himself.	"in social media you only see what people you ""liked"" or ""friended"" posted, creating echo-chambers of similar minded people and ideas, leading to more extremism and division in society."
2261_2262	goldLabel	a1	social media makes it harder to create new relationships. it gives you a false feeling of community even though you are alone. you scroll through facebook instead of talking to the people around them	the focus in social media (for example, instagram) is on the appearance of people, and not on their personalty. people that are less good looking may feel like they are worthless in the world.
2263_2261	goldLabel	a2	social media makes people feel like if they don't post the thing they did there they didn't really do it. that makes people be busy with their phones instead of living in the moment.	social media makes it harder to create new relationships. it gives you a false feeling of community even though you are alone. you scroll through facebook instead of talking to the people around them
