#id	annotatorid	label	a1	a2
2863_2864	goldLabel	a1	any sort of legal requirement for vegetarianism would be unjust, as the right to consume what one desires should be a fundamental right so long as it doesn't violate another person's bodily autonomy.	eating meat is very enjoying to alot of people and a big part of their culture and life style. if we move to vegetarianism we will reduce human happiness.
2865_2866	goldLabel	a1	high quantities of soy, grain, starch, or any food common for vegetarians can have adverse health effects.	companies that ship or sell meat, such as butcher shops, would be destroyed if vegetarianism were enforced.
2867_2868	goldLabel	a2	we should not adopt vegetarianism because given the propensity for waste in our society, it would not lead to significant environmental improvements.	we should not adopt vegetarianism because it would undermine the traditional food culture, and food is an important part of people's connection to their family and community.
2869_2870	goldLabel	a2	animals deserve less rights than humans, and it is legitimate for humans to prioritize their enjoyment over the suffering of animals.	animal waste is an important tool for creating natural fertilizer and keeping land arable, which would be difficult to maintain under enforced vegetarianism.
2871_2869	goldLabel	a1	a widespread shift to vegetarianism would have a massively negative impact on meat production, which is a large sector of the global economy.	animals deserve less rights than humans, and it is legitimate for humans to prioritize their enjoyment over the suffering of animals.
2872_2873	goldLabel	a2	each person has thlive according to his way of life when it came, vegetarian view he needs the freedom to chose	soy, a major staple of the vegetarian diet due to being protein-rich, has many bad side effects like increasing estrogen levels and being high in glyphosate.
2874_2875	goldLabel	a2	adopting vegetarianism will result in realising all domesticated animal grown for the meet industry. the realising of the big amount of domesticated animals will hurt the wildlife balance.	many people believe meat tastes better than vegetables and they should be able to decide what they would want to eat and should not be forced to be vegetarian.
2876_2877	goldLabel	a2	eating a nutritionally balanced diet is easier if animal products are part of it	meat is part of many people's cultural and social traditions, making vegetarianism actively uncomfortable and foreign.
2878_2879	goldLabel	a1	meat provides healthy saturated fats that vegetarians don't get enough of and are important to immune and central nervous system functioning.	animals have not demonstrated cognition or societies and are therefore not deserving of moral standing through vegetarianism.
2880_2878	goldLabel	a2	animals can be raised in more climates than individual types of vegetables, making food more accessible for dry, arid countries that do not adopt vegetarianism.	meat provides healthy saturated fats that vegetarians don't get enough of and are important to immune and central nervous system functioning.
2881_2882	goldLabel	a1	the meat and fish production industry provides a living to hundreds of thousands of people worldwide. vegetarianism will take away they means of livelihood.	animals do not have any moral standing, since they are incapable of reciprocity and are not part of the social contract. therefore, vegetarianism does not add any moral value.
2863_2883	goldLabel	a1	any sort of legal requirement for vegetarianism would be unjust, as the right to consume what one desires should be a fundamental right so long as it doesn't violate another person's bodily autonomy.	attempting to make vegetarianism law would create a criminal society where huge swaths of the population would refuse to follow the law, weakening faith in law and the power of government.
2884_2885	goldLabel	a2	some people will loose the joy in eating. a joy that is known to be important for many people life's.	meat-based dishes are an intrinsic part of ethnic, national and human culture, and moving on from that is a loss of intangible cultural value.
2876_2886	goldLabel	a1	eating a nutritionally balanced diet is easier if animal products are part of it	in food deserts, meat is more accessible than a diversity of vegetarian cuisine and ingredients.
2887_2867	goldLabel	a1	most poor people around the world don't have access to meat alternatives, which means vegetarianism can hurt their health and food pleasure	we should not adopt vegetarianism because given the propensity for waste in our society, it would not lead to significant environmental improvements.
2887_2888	goldLabel	a1	most poor people around the world don't have access to meat alternatives, which means vegetarianism can hurt their health and food pleasure	we should not adopt vegetarianism because it is possible to raise meat in a sustainable fashion, so total vegetarianism is unnecessary.
2889_2874	goldLabel	a1	in agriculture more animals are killed (pest extermination, tilling land kills underground dwellers, etc) than in the meat industry. therefore by eating more meat and less plants you actually save lives	adopting vegetarianism will result in realising all domesticated animal grown for the meet industry. the realising of the big amount of domesticated animals will hurt the wildlife balance.
2890_2891	goldLabel	a1	by adopting vegetarianism as a society, we are necessarily silencing voices that would prefer eating meat. of course, we are allowing other voices to be heard, but hurt the fundamental right of choice for others.	even if animals have rights, it is clear that humans have rights of a higher order. eating animals generates utility for humans - it is better to satisfy the entity with higher order rights.
2892_2893	goldLabel	a2	it is not immoral to eat animals because they are not members of our social constructs and do not have moral worth, therefore a meatless diet is not morally required.	vegetarianism is not healthy for human beings, as it lacks critical vitamins such as b12. people cannot be trusted to take such supplements instead of meat.
2894_2879	goldLabel	a1	harvesting plants for vegetarianism takes a considerable amount of land and would likely lead to deforestation if animals could not be raised	animals have not demonstrated cognition or societies and are therefore not deserving of moral standing through vegetarianism.
2895_2883	goldLabel	a1	animals provide protein which humans would have difficulty securing otherwise. while other sources of protein exist, they tend to be more expensive and thus difficult to access for the poor.	attempting to make vegetarianism law would create a criminal society where huge swaths of the population would refuse to follow the law, weakening faith in law and the power of government.
2896_2897	goldLabel	a2	people who support vegetarianism tend to preach in an annoying fashion; by ending that we could increase public happiness.	a majority of restaurants would shut down if they were forced to only serve vegetarian food.
2898_2899	goldLabel	a1	individuals should have the ability to decide what they consume which is impossible through enforced vegetarianism, as it is fundamental to the way they live their lives.	vegetarianism will harm our body, there are important things that are mostly found in meat that are hard to find alrenatives for (and those are pricier, which will harm the poor)
2900_2871	goldLabel	a2	cultures that evolved through fishing and local harvest would be devastated if they could not consume meat and were forced to be vegetarians.	a widespread shift to vegetarianism would have a massively negative impact on meat production, which is a large sector of the global economy.
2901_2902	goldLabel	a2	people will be anemic and lack protein if there aren't readily accessible sources	vegetarianism can be more expensive especially for people who want a diversity of foods to eat.
2872_2877	goldLabel	a2	each person has thlive according to his way of life when it came, vegetarian view he needs the freedom to chose	meat is part of many people's cultural and social traditions, making vegetarianism actively uncomfortable and foreign.
2883_2903	goldLabel	a2	attempting to make vegetarianism law would create a criminal society where huge swaths of the population would refuse to follow the law, weakening faith in law and the power of government.	adopting vegetarianism will have a massive economic cost since you will lose all jobs and economic activity from the meat industry and it will not be replaced by crops.
2904_2871	goldLabel	a2	adopting vegan life can’t be forced on people,we need to give them the information and idea but not force vegetarian	a widespread shift to vegetarianism would have a massively negative impact on meat production, which is a large sector of the global economy.
2901_2905	goldLabel	a2	people will be anemic and lack protein if there aren't readily accessible sources	vegetarians are unable to get enough protein to live a healthy life and develop healthy muscle mass.
2891_2875	goldLabel	a2	even if animals have rights, it is clear that humans have rights of a higher order. eating animals generates utility for humans - it is better to satisfy the entity with higher order rights.	many people believe meat tastes better than vegetables and they should be able to decide what they would want to eat and should not be forced to be vegetarian.
2899_2906	goldLabel	a1	vegetarianism will harm our body, there are important things that are mostly found in meat that are hard to find alrenatives for (and those are pricier, which will harm the poor)	individuals would likely neglect their animals or release them into the wild if they could no longer sell them because vegetarianism, where they would die of starvation, be eaten, or face an even crueler fate.
2907_2908	goldLabel	a1	you do not have to adopt vegetarianism to keep you healthy. you can maintain a balanced diet and maybe even cut a little on the red-meat, but you do have not stop eating meat completely.	vegetarianism is morally wrong, because people have limited amount of time to spend, by focusing on animals they spend less time fighting for people who are harmed (child labor, etc)
2909_2880	goldLabel	a2	in the world and society we have the food chain that relay on the idea that the stronger eat the weak, vegetarian lifestyle doesn’t make it happen	animals can be raised in more climates than individual types of vegetables, making food more accessible for dry, arid countries that do not adopt vegetarianism.
2872_2910	goldLabel	a2	each person has thlive according to his way of life when it came, vegetarian view he needs the freedom to chose	individuals should have the ability to do or consume anything which doesn't cause direct, considerable third party harms, which includes meat consumption and refusing vegetarianism.
2911_2905	goldLabel	a2	feeding humans is likely the most significant thing the animal can do anyway	vegetarians are unable to get enough protein to live a healthy life and develop healthy muscle mass.
2912_2909	goldLabel	a1	a lot of the land used for animal growth wouldn't be suitable for plants anyway, so vegetarianism is a less efficient use of land.	in the world and society we have the food chain that relay on the idea that the stronger eat the weak, vegetarian lifestyle doesn’t make it happen
2913_2914	goldLabel	a1	adopting vegetarianism will lead to millions of workers losing their jobs in the livestock industry around the globe.	meat is delicious, the new york strips is one of the greatest meals of all time.
2915_2907	goldLabel	a2	we only have one life to live and one of the most universal pleasurable experiences is eating good food, so although there is some delicious vegetarian food, eating meat is part of a good life.	you do not have to adopt vegetarianism to keep you healthy. you can maintain a balanced diet and maybe even cut a little on the red-meat, but you do have not stop eating meat completely.
2874_2910	goldLabel	a2	adopting vegetarianism will result in realising all domesticated animal grown for the meet industry. the realising of the big amount of domesticated animals will hurt the wildlife balance.	individuals should have the ability to do or consume anything which doesn't cause direct, considerable third party harms, which includes meat consumption and refusing vegetarianism.
2909_2916	goldLabel	a2	in the world and society we have the food chain that relay on the idea that the stronger eat the weak, vegetarian lifestyle doesn’t make it happen	becoming vegetarian is unhealthy. not eating meat increases the chances of anemia and malnutrition because of the lack of proteins and iron.
2917_2918	goldLabel	a1	although vegetables are cheaper, a lot of people don't know how to prepare filling and nutritious meals without meat, making vegetarianism unfeasible for many people.	animals does not feel pain the way we do. animal suffering is not the same as human suffering and therefore it is not as immoral.
2886_2896	goldLabel	a1	in food deserts, meat is more accessible than a diversity of vegetarian cuisine and ingredients.	people who support vegetarianism tend to preach in an annoying fashion; by ending that we could increase public happiness.
2870_2918	goldLabel	a1	animal waste is an important tool for creating natural fertilizer and keeping land arable, which would be difficult to maintain under enforced vegetarianism.	animals does not feel pain the way we do. animal suffering is not the same as human suffering and therefore it is not as immoral.
2919_2895	goldLabel	a2	a lot of rights that apply to humans are not applied to animals (example, the right to vote); therefore the rights of humans to choose is more important than the rights of animals to live.	animals provide protein which humans would have difficulty securing otherwise. while other sources of protein exist, they tend to be more expensive and thus difficult to access for the poor.
2920_2867	goldLabel	a1	the government should not take actions which put huge numbers of people out of work, which would be an inevitable outcome of enforced vegetarianism.	we should not adopt vegetarianism because given the propensity for waste in our society, it would not lead to significant environmental improvements.
2914_2897	goldLabel	a2	meat is delicious, the new york strips is one of the greatest meals of all time.	a majority of restaurants would shut down if they were forced to only serve vegetarian food.
2921_2903	goldLabel	a2	a black market created by enforced vegetarianism would make it easier for more dangerous black markets, such as the drug and weapons markets, to find social acceptance and hide among less heinous markets.	adopting vegetarianism will have a massive economic cost since you will lose all jobs and economic activity from the meat industry and it will not be replaced by crops.
2918_2903	goldLabel	a2	animals does not feel pain the way we do. animal suffering is not the same as human suffering and therefore it is not as immoral.	adopting vegetarianism will have a massive economic cost since you will lose all jobs and economic activity from the meat industry and it will not be replaced by crops.
