#id	annotatorid	label	a1	a2
823_824	goldLabel	a2	the more people adobt vegetarianism the greater the pressure to create good alternatives, which means we will actually gain culinary options.	farm animals destroy biodiversity by grazing on local plants, leading to the extinction for all but the most common plants. vegetarian harvesting does not.
825_826	goldLabel	a1	as long as you get enough plant based protein, the vegetarian diet is more heart healthy due to lower cholesterol and other bad substances found in meat.	vegetarian nutrition is good for the human, they can get and eat food that it’s sorce come from natural and still to have the vetamens that they need.
827_828	goldLabel	a2	it is immoral to harm another being and whether or not animals intrinsically have rights is secondary to the fact that we should act as moral beings.	we should adopt vegetarianism because the livestock industry facilitates the spread of disease from animals to people, such as the avian flu or sars.
829_830	goldLabel	a2	if vegetarianism is more widespread, cultures which practice it are less likely to face discrimination.	it can be psychologically damaging to spend the entire workday slaughtering animals, which is avoidable under vegetarianism.
831_832	goldLabel	a1	the meat industry is responsible for a large part of global co2 emmissions. if a large portion of the population becomes vegetarian, this will be significantly reduced.	breathing and maintaining animals for mead consumption creates huge environmental damages. vegetarianism would reduce dramatically the amount of drinking water consumed and release a great deal of land for other uaes
833_834	goldLabel	a2	eating animals such as cows and sheep is immoral and is equivalent to murder. vegitarianism is obviously more moral.	we should adopt vegetarianism because it is healthier than the conventional omnivore diets common in western countries.
835_836	goldLabel	a2	voices must be silenced sometimes to achieve universal ethical standards or to allow societies to move forward. example: team leaders decide for the entire team, even when there are opinion differences. vegetarianism should be compulsory.	animals grown for food will often eat entire grasslands out of existence and require more land to be deforested for grazing which leads to the extinction of diverse plant and animal species, vegetarianism prevents this.
837_838	goldLabel	a2	many processed foods contain animals products like gelatin, which are very unhealthy and not available in vegetarianism.	meat production in its modern form is cruel to animals and causes significant suffering, and therefore should be abandoned.
839_840	goldLabel	a1	the meat industry requires more plants per unit of energy gained by eating than plant based diets do. vegetarianism therefore means less production - less production means less pollution	vegetarian food is very very tasty. the constraint of giving up meat causes vegetarians to invent original and interesting food that those who have not adopted vegetarianism will not think to trying.
841_842	goldLabel	a2	hunters pollute their environments when they leave shells and trash in nature, which would not occur in vegetarianism.	the mass-scale raising and slaughtering of animals causes a lot of unnecessary suffering and death.
843_823	goldLabel	a1	meat is more expensive than fruits and vegetables, therefore people who adopt vegetarianism will have more money	the more people adobt vegetarianism the greater the pressure to create good alternatives, which means we will actually gain culinary options.
844_845	goldLabel	a2	because meat is not necessary for a healthy diet, the death and cruelty towards animals caused by meat production is unjustified, and therefore adoption vegetarianism is the moral action.	the increased demand for meat products led to the industrialization of livestock raising. this has resulted in the increased instances of antibiotic use ans thus the creation of antibiotic resistant super-viruses.
846_847	goldLabel	a1	the production of meat is based on a poor use of land, and adopting vegetarianism would allow for higher crop yields that can combat global hunger.	a vegetarian diet encourages people to try a more diverse range of international cuisines, leading to both a more sophisticated experience of world cultures and a more pleasurable eating experience.
