#id	annotatorid	label	a1	a2
635_636	goldLabel	a1	not allowing something, in this case violent video games, increases minors desire to play the games and they will seek opportunities to do so	banning can make youth antagonistic towards the government wich disturb with their own freedom. there for will create a generation of that have anty government ideals.
637_638	goldLabel	a1	violent video games allows for catharsis in some children and can actually reduce actual violence. the parents are able to determine what effect violent video games have on their children and act accordingly.	those games don't represent the reality because they show pixelated 'people' and animated scenery, so the immersion os not real and people won't be more violent because of it
639_636	goldLabel	a1	it is impossible to ban children from using violent video games. they will find another way, making this motion very ineffective in solving the problem.	banning can make youth antagonistic towards the government wich disturb with their own freedom. there for will create a generation of that have anty government ideals.
640_641	goldLabel	a1	time and again, studies have shown that violent video games do not actually lead to increased rates of violence or hostility amongst the people that play these games, even amongst minors.	by banning it from minors, companies that do make violent games will make them more violent since the marek they will try to reach will intuitively be older. but, as showed, children will be exposed.
642_643	goldLabel	a1	those video games develop positive skills for the children- quick reaction, focus and more. banning them will make them less likely to learn those skills since they are unique to the violent games.	children have a harder time distinguishing life and fantasy, good and bad. the violent behaviour encouraged by the video game will see its way to the real life.
644_645	goldLabel	a2	banning games may introject on parents duty of reaching their chidren the difference between wrong and wight.in any case their will be in contact with violence through tv news pappers and other platforms.	banning it will make the games seem more interesting, like a cookie they must not eat. this will make them more likely to download it illegally, or tell their parents to buy it.
646_647	goldLabel	a1	despite the rise of violent video games juvenile crime is down, which means they aren't correlated.	it's ineffective , we already band alcohol and they are still getting it
648_649	goldLabel	a1	we should not ban the sale of violent video games to minors because it is not the role of the state to decide what material is and is not fit for children.	minors will find a way of accessing this video games, at least when they buy them the parents are usually informed (they pay) and can talk to them and mitigate the potential harms
650_651	goldLabel	a2	we should not ban the sale of violent video games to minors because the definitions will be arbitrary and likely favor one narrative or style over others.	we should not ban the sale of violent video games to minors because it unfairly punishes one medium, when other media can use violence freely.
647_652	goldLabel	a2	it's ineffective , we already band alcohol and they are still getting it	the creation of video games is an action of free speech and shouldn't be undermined by government action.
653_654	goldLabel	a1	modern media is already saturated with an incredible amount of violence, so violent video games are not the tipping point for decreasing empathy or desensitizing children towards violence in the status quo.	they will pressure their parents to buy for them the games by crying, parents are likely to want to satifsy them and buy them the game, so banning it is not effective.
655_656	goldLabel	a1	minors will find a way of accessing this video games, at least when they buy them the parents are usually informed (they pay) and can help them choose the games that are less harmful	society forces children to act against their instincts of violence and this is a way to take them out without harming anyone else, what would happen without the games.
641_657	goldLabel	a2	by banning it from minors, companies that do make violent games will make them more violent since the marek they will try to reach will intuitively be older. but, as showed, children will be exposed.	though they are young, minors are still able to distinguish between fantasy and reality, and can understand that the actions they may take in a game are unacceptable in the real world.
658_659	goldLabel	a1	we should not ban the sale of violent video games to minors because children today are more sheltered from violence than they were historically, so they are unprepared for violence in the world.	it won’t help because they will find ways to get any way- the ban will be on them and they will get in a different way- so the won’ help
660_661	goldLabel	a2	it will hurt video games companys become a large portion of their customers won't be able to buy their games anymore so developers will get fired	violent video games provide an outlet for children's aggression and anger such that they won't express it later against real people.
648_638	goldLabel	a1	we should not ban the sale of violent video games to minors because it is not the role of the state to decide what material is and is not fit for children.	those games don't represent the reality because they show pixelated 'people' and animated scenery, so the immersion os not real and people won't be more violent because of it
643_662	goldLabel	a2	children have a harder time distinguishing life and fantasy, good and bad. the violent behaviour encouraged by the video game will see its way to the real life.	children are exposed to violence in many other media. banning the selling of violent video games will not create any impact, it will only make the government seem oppressive.
663_662	goldLabel	a2	illigel market- in the internet era of will be hard to implement the ban and kids will still play the games but now without adults knowing about it.	children are exposed to violence in many other media. banning the selling of violent video games will not create any impact, it will only make the government seem oppressive.
664_665	goldLabel	a2	banning violent video games means that companies who spent years on a certain product will not get none which is unfair.	parents should be the ones that decide what their kids should or shouldn't play, they are their moral guardians and not the state
650_660	goldLabel	a1	we should not ban the sale of violent video games to minors because the definitions will be arbitrary and likely favor one narrative or style over others.	it will hurt video games companys become a large portion of their customers won't be able to buy their games anymore so developers will get fired
666_663	goldLabel	a1	video games are not realistic, children don't have a problem of differentiating what's ok in the game and what's ok in the real world	illigel market- in the internet era of will be hard to implement the ban and kids will still play the games but now without adults knowing about it.
667_668	goldLabel	a2	we should not ban the sale of violent video games to minors because the definition of excessive violence is arbitrary and only reflects the values of the reviewer, not society as a whole.	if we will ban kids from buying violent computer games, they will get them anyway, but because they are unregulated they will buy the most violent games that are full of gore and nudity.
669_670	goldLabel	a1	because of the standardized esrb rating system, parents can make informed choices themselves over whether or not children should be able to play violent video games.	video game content is regulated and proper warnings allow for smart consuming of this media. banning the sale to minors would increase pirating which usually leads to even more violet content
654_655	goldLabel	a2	they will pressure their parents to buy for them the games by crying, parents are likely to want to satifsy them and buy them the game, so banning it is not effective.	minors will find a way of accessing this video games, at least when they buy them the parents are usually informed (they pay) and can help them choose the games that are less harmful
653_656	goldLabel	a1	modern media is already saturated with an incredible amount of violence, so violent video games are not the tipping point for decreasing empathy or desensitizing children towards violence in the status quo.	society forces children to act against their instincts of violence and this is a way to take them out without harming anyone else, what would happen without the games.
671_672	goldLabel	a2	video games can not be put in the same category as guns and alcohol, since they don't pose as big of a threat to minors	we should not ban the sale of violent video games to minors because the law is unenforceable and this will undermine young people's respect for the law long term.
656_635	goldLabel	a2	society forces children to act against their instincts of violence and this is a way to take them out without harming anyone else, what would happen without the games.	not allowing something, in this case violent video games, increases minors desire to play the games and they will seek opportunities to do so
652_673	goldLabel	a1	the creation of video games is an action of free speech and shouldn't be undermined by government action.	making something elegal will inevidebly make it more desirable, especially by young people
674_675	goldLabel	a2	trying to teach and educate youth by banning games is in contrary to to educating children to identifing wrong and deciding for their self's.	violent games are unlikely to meaningfully effect children't behavior, especially since they have already been consuming violent tv and movies.
676_677	goldLabel	a2	the absolute most of the kids that will play these games won't be more violent as a result of paying them so it's unfair for those kids	when forbidden, many parents will see the measure as extreme and fully disregard it in comparative to understanding the problematic side and teaching the child
648_678	goldLabel	a1	we should not ban the sale of violent video games to minors because it is not the role of the state to decide what material is and is not fit for children.	children should not be hidden from what the world is really like. since violence exists, and children are likely to see it in some way in real life, it's better to start with this exposure.
661_679	goldLabel	a1	violent video games provide an outlet for children's aggression and anger such that they won't express it later against real people.	if the child's parents think there is no problem with violent computer games they can always buy them for the children themselves.
678_637	goldLabel	a2	children should not be hidden from what the world is really like. since violence exists, and children are likely to see it in some way in real life, it's better to start with this exposure.	violent video games allows for catharsis in some children and can actually reduce actual violence. the parents are able to determine what effect violent video games have on their children and act accordingly.
658_680	goldLabel	a2	we should not ban the sale of violent video games to minors because children today are more sheltered from violence than they were historically, so they are unprepared for violence in the world.	ultimately parents, not the state, should be responsible for deciding what media their children should be able to access, as parents are the most informed about their child's maturity and ability to understand these games.
664_661	goldLabel	a2	banning violent video games means that companies who spent years on a certain product will not get none which is unfair.	violent video games provide an outlet for children's aggression and anger such that they won't express it later against real people.
660_635	goldLabel	a2	it will hurt video games companys become a large portion of their customers won't be able to buy their games anymore so developers will get fired	not allowing something, in this case violent video games, increases minors desire to play the games and they will seek opportunities to do so
681_682	goldLabel	a1	shaping the behavior of citizens in any way other than to protect natural rights is paternalistic and criminal.	companies will turn to other edgier suggestive content to sell their product which sends a worse message than violence.
680_648	goldLabel	a1	ultimately parents, not the state, should be responsible for deciding what media their children should be able to access, as parents are the most informed about their child's maturity and ability to understand these games.	we should not ban the sale of violent video games to minors because it is not the role of the state to decide what material is and is not fit for children.
660_674	goldLabel	a2	it will hurt video games companys become a large portion of their customers won't be able to buy their games anymore so developers will get fired	trying to teach and educate youth by banning games is in contrary to to educating children to identifing wrong and deciding for their self's.
660_666	goldLabel	a2	it will hurt video games companys become a large portion of their customers won't be able to buy their games anymore so developers will get fired	video games are not realistic, children don't have a problem of differentiating what's ok in the game and what's ok in the real world
669_636	goldLabel	a1	because of the standardized esrb rating system, parents can make informed choices themselves over whether or not children should be able to play violent video games.	banning can make youth antagonistic towards the government wich disturb with their own freedom. there for will create a generation of that have anty government ideals.
663_683	goldLabel	a2	illigel market- in the internet era of will be hard to implement the ban and kids will still play the games but now without adults knowing about it.	the violent video games allow a virtual punching bag for the child to transfer their frustration onto, rather than inflicting it on themselves or other, real, people.
684_673	goldLabel	a1	making something off limits to children makes it more appealing because it is taboo and feels rebellious.	making something elegal will inevidebly make it more desirable, especially by young people
655_659	goldLabel	a1	minors will find a way of accessing this video games, at least when they buy them the parents are usually informed (they pay) and can help them choose the games that are less harmful	it won’t help because they will find ways to get any way- the ban will be on them and they will get in a different way- so the won’ help
685_686	goldLabel	a1	parents are the ones buying the game to their children. we believe they are able to understand whether or not their child will be affected by such games or not, and to choose accordingly.	banning violent video games means people will scrutinize the media their children consume less, which leads to other problematic content sneaking through (ex. drug use/ alcohol use / disrespecting women
685_678	goldLabel	a1	parents are the ones buying the game to their children. we believe they are able to understand whether or not their child will be affected by such games or not, and to choose accordingly.	children should not be hidden from what the world is really like. since violence exists, and children are likely to see it in some way in real life, it's better to start with this exposure.
640_659	goldLabel	a1	time and again, studies have shown that violent video games do not actually lead to increased rates of violence or hostility amongst the people that play these games, even amongst minors.	it won’t help because they will find ways to get any way- the ban will be on them and they will get in a different way- so the won’ help
687_673	goldLabel	a1	violent video games often have many redeeming elements such as teamwork or puzzles that may positively affect minors.	making something elegal will inevidebly make it more desirable, especially by young people
660_640	goldLabel	a2	it will hurt video games companys become a large portion of their customers won't be able to buy their games anymore so developers will get fired	time and again, studies have shown that violent video games do not actually lead to increased rates of violence or hostility amongst the people that play these games, even amongst minors.
642_641	goldLabel	a1	those video games develop positive skills for the children- quick reaction, focus and more. banning them will make them less likely to learn those skills since they are unique to the violent games.	by banning it from minors, companies that do make violent games will make them more violent since the marek they will try to reach will intuitively be older. but, as showed, children will be exposed.
638_688	goldLabel	a2	those games don't represent the reality because they show pixelated 'people' and animated scenery, so the immersion os not real and people won't be more violent because of it	violence is very alluring thus the ban will give rise to a black market of violent video games that will have no regulations at all on them and possiably be racist or consist propaganda.
685_689	goldLabel	a1	parents are the ones buying the game to their children. we believe they are able to understand whether or not their child will be affected by such games or not, and to choose accordingly.	age is an arbitrary line to draw, and does not directly correlate to someone's intelligence, maturity, or ability to handle adult these, and thus age should not be used as the basis for a ban.
638_667	goldLabel	a2	those games don't represent the reality because they show pixelated 'people' and animated scenery, so the immersion os not real and people won't be more violent because of it	we should not ban the sale of violent video games to minors because the definition of excessive violence is arbitrary and only reflects the values of the reviewer, not society as a whole.
680_690	goldLabel	a1	ultimately parents, not the state, should be responsible for deciding what media their children should be able to access, as parents are the most informed about their child's maturity and ability to understand these games.	let parents make the choices. parents gets to decide what his child is exposed to and, if we succesfully argue that kids mind are not affected by it, the decision should be made by parents
656_639	goldLabel	a2	society forces children to act against their instincts of violence and this is a way to take them out without harming anyone else, what would happen without the games.	it is impossible to ban children from using violent video games. they will find another way, making this motion very ineffective in solving the problem.
670_680	goldLabel	a2	video game content is regulated and proper warnings allow for smart consuming of this media. banning the sale to minors would increase pirating which usually leads to even more violet content	ultimately parents, not the state, should be responsible for deciding what media their children should be able to access, as parents are the most informed about their child's maturity and ability to understand these games.
653_641	goldLabel	a1	modern media is already saturated with an incredible amount of violence, so violent video games are not the tipping point for decreasing empathy or desensitizing children towards violence in the status quo.	by banning it from minors, companies that do make violent games will make them more violent since the marek they will try to reach will intuitively be older. but, as showed, children will be exposed.
691_692	goldLabel	a2	we should not ban the sale of violent video games to minors because children can distinguish fiction from reality.	video games are a good medium for children to take out their aggressions, instead in real life- against other children.
653_659	goldLabel	a1	modern media is already saturated with an incredible amount of violence, so violent video games are not the tipping point for decreasing empathy or desensitizing children towards violence in the status quo.	it won’t help because they will find ways to get any way- the ban will be on them and they will get in a different way- so the won’ help
684_647	goldLabel	a1	making something off limits to children makes it more appealing because it is taboo and feels rebellious.	it's ineffective , we already band alcohol and they are still getting it
659_657	goldLabel	a2	it won’t help because they will find ways to get any way- the ban will be on them and they will get in a different way- so the won’ help	though they are young, minors are still able to distinguish between fantasy and reality, and can understand that the actions they may take in a game are unacceptable in the real world.
641_655	goldLabel	a2	by banning it from minors, companies that do make violent games will make them more violent since the marek they will try to reach will intuitively be older. but, as showed, children will be exposed.	minors will find a way of accessing this video games, at least when they buy them the parents are usually informed (they pay) and can help them choose the games that are less harmful
675_682	goldLabel	a1	violent games are unlikely to meaningfully effect children't behavior, especially since they have already been consuming violent tv and movies.	companies will turn to other edgier suggestive content to sell their product which sends a worse message than violence.
682_665	goldLabel	a2	companies will turn to other edgier suggestive content to sell their product which sends a worse message than violence.	parents should be the ones that decide what their kids should or shouldn't play, they are their moral guardians and not the state
660_683	goldLabel	a2	it will hurt video games companys become a large portion of their customers won't be able to buy their games anymore so developers will get fired	the violent video games allow a virtual punching bag for the child to transfer their frustration onto, rather than inflicting it on themselves or other, real, people.
693_670	goldLabel	a2	video games don't have life-like graphics. they are full of things which do not seem normal in the real life. children, despite being fairly stupid, are able to distinguish between real life and video games.	video game content is regulated and proper warnings allow for smart consuming of this media. banning the sale to minors would increase pirating which usually leads to even more violet content
668_654	goldLabel	a1	if we will ban kids from buying violent computer games, they will get them anyway, but because they are unregulated they will buy the most violent games that are full of gore and nudity.	they will pressure their parents to buy for them the games by crying, parents are likely to want to satifsy them and buy them the game, so banning it is not effective.
664_646	goldLabel	a2	banning violent video games means that companies who spent years on a certain product will not get none which is unfair.	despite the rise of violent video games juvenile crime is down, which means they aren't correlated.
673_694	goldLabel	a2	making something elegal will inevidebly make it more desirable, especially by young people	violent video games enable venting violent urges on animated victims rather than real ones, thus decreasing violence.
695_670	goldLabel	a2	we should not ban the sale of violent video games to minors because it will encourage more online sales and hurt brick and mortar retailers who are already struggling.	video game content is regulated and proper warnings allow for smart consuming of this media. banning the sale to minors would increase pirating which usually leads to even more violet content
696_650	goldLabel	a1	it will not influence them, even minors can differentiate between reality and games, they feel empathy for others and don't want them to be hurt.	we should not ban the sale of violent video games to minors because the definitions will be arbitrary and likely favor one narrative or style over others.
697_647	goldLabel	a1	kids will just watch violent shows instead and will still be exposed to violence	it's ineffective , we already band alcohol and they are still getting it
692_651	goldLabel	a1	video games are a good medium for children to take out their aggressions, instead in real life- against other children.	we should not ban the sale of violent video games to minors because it unfairly punishes one medium, when other media can use violence freely.
664_636	goldLabel	a2	banning violent video games means that companies who spent years on a certain product will not get none which is unfair.	banning can make youth antagonistic towards the government wich disturb with their own freedom. there for will create a generation of that have anty government ideals.
667_655	goldLabel	a2	we should not ban the sale of violent video games to minors because the definition of excessive violence is arbitrary and only reflects the values of the reviewer, not society as a whole.	minors will find a way of accessing this video games, at least when they buy them the parents are usually informed (they pay) and can help them choose the games that are less harmful
666_679	goldLabel	a1	video games are not realistic, children don't have a problem of differentiating what's ok in the game and what's ok in the real world	if the child's parents think there is no problem with violent computer games they can always buy them for the children themselves.
698_671	goldLabel	a1	we should not ban the sale of violent video games to minors because there is no evidence that these games cause children to be more violent.	video games can not be put in the same category as guns and alcohol, since they don't pose as big of a threat to minors
654_676	goldLabel	a2	they will pressure their parents to buy for them the games by crying, parents are likely to want to satifsy them and buy them the game, so banning it is not effective.	the absolute most of the kids that will play these games won't be more violent as a result of paying them so it's unfair for those kids
696_661	goldLabel	a2	it will not influence them, even minors can differentiate between reality and games, they feel empathy for others and don't want them to be hurt.	violent video games provide an outlet for children's aggression and anger such that they won't express it later against real people.
694_647	goldLabel	a1	violent video games enable venting violent urges on animated victims rather than real ones, thus decreasing violence.	it's ineffective , we already band alcohol and they are still getting it
635_663	goldLabel	a1	not allowing something, in this case violent video games, increases minors desire to play the games and they will seek opportunities to do so	illigel market- in the internet era of will be hard to implement the ban and kids will still play the games but now without adults knowing about it.
668_656	goldLabel	a1	if we will ban kids from buying violent computer games, they will get them anyway, but because they are unregulated they will buy the most violent games that are full of gore and nudity.	society forces children to act against their instincts of violence and this is a way to take them out without harming anyone else, what would happen without the games.
677_699	goldLabel	a2	when forbidden, many parents will see the measure as extreme and fully disregard it in comparative to understanding the problematic side and teaching the child	minors are able to differentiate between real life and fantasy and therefore will not be negatively affected by violent video games.
659_683	goldLabel	a2	it won’t help because they will find ways to get any way- the ban will be on them and they will get in a different way- so the won’ help	the violent video games allow a virtual punching bag for the child to transfer their frustration onto, rather than inflicting it on themselves or other, real, people.
649_690	goldLabel	a1	minors will find a way of accessing this video games, at least when they buy them the parents are usually informed (they pay) and can talk to them and mitigate the potential harms	let parents make the choices. parents gets to decide what his child is exposed to and, if we succesfully argue that kids mind are not affected by it, the decision should be made by parents
