#id	annotatorid	label	a1	a2
3290_3291	goldLabel	a2	as we run out of fossil fuels they get more and more expensive without research for an alternative, which will lead to a lack of energy crisis.	fossil fuels require expensive and bulky transportation through trucks or pipes, other energy sources don't need any transportation (wind or sun) or comparatively little (biodiesel).
3292_3293	goldLabel	a1	fossil fuels contribute to global warming, which will cause the inevitable heat death of the universe.	we should ban fossil fuels because even though it would be painful, the alternative is an anthropocene mass extinction.
3294_3292	goldLabel	a2	fossil fuel companies often have incredibly bad and dangerous working conditions.	fossil fuels contribute to global warming, which will cause the inevitable heat death of the universe.
3295_3293	goldLabel	a2	burning oil, gas, and coal released carbon dioxide that causes ocean acidification and kills sea life.	we should ban fossil fuels because even though it would be painful, the alternative is an anthropocene mass extinction.
3290_3296	goldLabel	a2	as we run out of fossil fuels they get more and more expensive without research for an alternative, which will lead to a lack of energy crisis.	a ban on fossil fuels would push people to drive less and carpool more often, this would decrease traffic which would be good for the environment and productivity.
3290_3297	goldLabel	a2	as we run out of fossil fuels they get more and more expensive without research for an alternative, which will lead to a lack of energy crisis.	fossil fuels will eventually run out, we should ban them before that happens so we have time to implement new energy forms without crisis.
3298_3290	goldLabel	a1	a ban on fossil fuels demonstrates a commitment to energy alternatives and the environment that will signal to individual citizens they should also start caring.	as we run out of fossil fuels they get more and more expensive without research for an alternative, which will lead to a lack of energy crisis.
3290_3299	goldLabel	a2	as we run out of fossil fuels they get more and more expensive without research for an alternative, which will lead to a lack of energy crisis.	a ban on fossil fuels creates an impetus for research into alternative energy sources that isn't happening right now because the presence of fossil fuels makes investing in green energy risky.
3291_3300	goldLabel	a2	fossil fuels require expensive and bulky transportation through trucks or pipes, other energy sources don't need any transportation (wind or sun) or comparatively little (biodiesel).	we should ban fossil fuels because the industry props up some of the world's worst regimes and gives them the wealth and power to mistreat their people and war monger.
3301_3297	goldLabel	a2	alternative energy sources can be continually replenished through natural processes, lending them to more stable prices compared to the volatility of fossil fuels.	fossil fuels will eventually run out, we should ban them before that happens so we have time to implement new energy forms without crisis.
3302_3303	goldLabel	a1	fossil fuels are going to deplete soon and dependence on them should be reduced as soon as possible.	we should ban fossil fuels because it would force us to pivot to biodegradable plastics, since the most common non-biodegradable ones are oil-based.
3304_3305	goldLabel	a1	fossil fuels pollute the earth and water such that it poisons the plants, animals, and people living there.	global warming is happening in an extremely fast pace and the only time to stop it is now
3305_3306	goldLabel	a2	global warming is happening in an extremely fast pace and the only time to stop it is now	fossil fuels are a massive polluter, the use of which leads to climate change, destruction of habitats and more natural disasters.
3307_3308	goldLabel	a1	banning fossil fuels will force and incentivize governement and corporations to find better, more viable alternatives	large fossil fuel companies often displace indigenous communities when building new oil rigs or infrastructure.
3309_3310	goldLabel	a2	we would all benefit from living in a less polluted, slightly more expensive environment. but individually, less polluting and more expensive business models can't compete. it's a collective action problem only solvable by the state.	the usage of fossil fuel is highly contaminating, leading to health damages for major parts of the populations, most of them weren't the consumers or producers, and did not consent to such harms
3311_3312	goldLabel	a2	we are specifically at a turning point in climate change and environmental damage that requires action now before it is too late.	the act of extracting energy from fossil fuels is envirinmentally damaging. the high demang for such energy due to technologically advancing world creates a massive environmental damage.
3313_3304	goldLabel	a2	we should ban fossil fuels because it will create a demand for energy that will spur massive investment in renewable energy infrastructure.	fossil fuels pollute the earth and water such that it poisons the plants, animals, and people living there.
3293_3304	goldLabel	a2	we should ban fossil fuels because even though it would be painful, the alternative is an anthropocene mass extinction.	fossil fuels pollute the earth and water such that it poisons the plants, animals, and people living there.
3306_3314	goldLabel	a1	fossil fuels are a massive polluter, the use of which leads to climate change, destruction of habitats and more natural disasters.	if we don't ban fossil fuels, the world will become uninhabitable. people in the future have rights, and we must protect those as well
3313_3315	goldLabel	a1	we should ban fossil fuels because it will create a demand for energy that will spur massive investment in renewable energy infrastructure.	fossil fuels come primarily from middle eastern nation, dependence on those nations is bad and puts the united states in a vulnerable position.
3316_3317	goldLabel	a1	air pollution from fossil fuels creates poor air quality that contributes to asthma and other lung problems.	fossil fuels harms are long term and people are usually biased towards the short term, only banning can stop the harm.
3318_3310	goldLabel	a2	there are better alternatives to fossil fuels, it only requires better technology. the problem is due to short term bias no one has currently the incentive to do the required research.	the usage of fossil fuel is highly contaminating, leading to health damages for major parts of the populations, most of them weren't the consumers or producers, and did not consent to such harms
