#id	annotatorid	label	a1	a2
376_377	goldLabel	a1	doping will enhance athletes performance and there for they will be able to break new records. breaking new records is an achievement that pushes athletes to excellency.	the essence of sport is to watch humanity reach it's peaks, and doping helps in achieving that, just like special clothes or shoes did in the past
378_379	goldLabel	a1	legalizing doping will allow the government to regulate the sale and consumption such that they can prevent truly dangerous treatments and protect athletes.	doping by definition is using drugs that help your performance; any drugs that do more harm than good would still be banned, so no real harm is done.
380_381	goldLabel	a1	by making it legal, we can also monitor it, which would end the more serious problems of forcing people to dope against their will, and people overdosing because of lack of knowledge & supervision.	many things athletes do hurts them physically. running destroys your knees, weight lifting hurts the joints and generally the chances of getting wounded are very high. doping do not produce significantly different damage.
382_378	goldLabel	a2	doping is happening anyway, allowing athletes to come forward reduces risks and gives them access to better healthcare	legalizing doping will allow the government to regulate the sale and consumption such that they can prevent truly dangerous treatments and protect athletes.
383_384	goldLabel	a2	current methods of legally doping (like hypoxic tents that increase hematocrit) are much more expensive than regular doping will be after legalization, which will serve to make the same tools more accessible to everyone.	many athletes need supplements in order to recover properly from training and injuries that naturally arise from sport, so legalizing doping would allow for the best treatments for athletes when they are injured.
385_386	goldLabel	a1	more companies would invest in developing better, healthier medicine (and drugs) because now there is an active legal market for them in the professional sports industry.	doping becomes safer. when athletes dope right now they have to do it in risky ways, and don't go to doctors for help. legalizing it encourages regulation.
387_388	goldLabel	a2	1. doping is a choice: -people generally have the right to bodily autonomy. especially athletes can make free and informed choice to harm their bodies through copious training. they have info through docs and internet.	because doping is beneficial for athletes' recovery times, legalizing doping would allow for athletes to have longer, more productive careers where they can maximize the short window of their athletic peak.
389_379	goldLabel	a2	most people take interest in sport ( like the olympics ) when records are being brake and adding drugs to sports meaning that note records will brake = sport will be more entertaining	doping by definition is using drugs that help your performance; any drugs that do more harm than good would still be banned, so no real harm is done.
390_379	goldLabel	a1	legalization of doping prevents us from having to decide which drugs are too enhancing (for example, why creatine isn't considered performance enhancing while erythropoeitian is), which is a necessarily arbitrary process.	doping by definition is using drugs that help your performance; any drugs that do more harm than good would still be banned, so no real harm is done.
391_392	goldLabel	a1	drugs would allow athletes to recover better from injuries so they can return to sport faster and won't be deterred of practicing sport in the first place	we should legalize doping in sport because it will drive down the costs of hormonal treatments that may be prohibitively expensive in the status quo.
