#id	annotatorid	label	a1	a2
3008_3009	goldLabel	a1	many institutions and businesses have money invested in fossil fuels, a ban would destroy the economy and those institutions.	in places with extreme weather conditions walking to public transportation or not being able to heat your house can be very dangerous.
3010_3011	goldLabel	a1	"we should not ban fossil fuels because often times they can be less harmful to the environment than manufacturing ""green"" energy sources like solar panels."	we should not ban fossil fuels because not all fossil fuels are created equally and we could continue to use clean natural gas while banning coal and oil.
3012_3011	goldLabel	a1	there are other, less extreme ways to decrease the use and discourage fossil fuels like carbon taxes or ending subsides that wouldn't cause as much of extreme economic turmoil.	we should not ban fossil fuels because not all fossil fuels are created equally and we could continue to use clean natural gas while banning coal and oil.
3008_3013	goldLabel	a1	many institutions and businesses have money invested in fossil fuels, a ban would destroy the economy and those institutions.	we have already taken global warming too far, fossil fuels will prove a higher standard of living while we wait out the clock.
3014_3015	goldLabel	a1	banning fossil fuels will require individuals to buy new electric cars, which means people in poverty will no longer be able to afford transportation.	the government shouldn't pass policies without the popular consent of the citizens, banning fossil fuels would be incredibly unpopular.
3016_3017	goldLabel	a1	fossil fuels are cheap sources of energy the allow us to create and move commodities cheaply, therefore reducing the costs of everything we buy or consume	countries try to break dependence of controversial countries and want to create more stable market. thus they are already looking for alternative energy sources. no need to entirely ban.
3017_3018	goldLabel	a2	countries try to break dependence of controversial countries and want to create more stable market. thus they are already looking for alternative energy sources. no need to entirely ban.	this removes the only competitive advantage that many developing countries have - selling natural resources. this means they will have no way to survive
3019_3020	goldLabel	a2	fossil fuels are delicious and good for your health!	banning fossil fuel will only make prices soar and eliminate jobs
3021_3022	goldLabel	a1	jobs destroyed by a ban won't be replaced with jobs for as low of a level of education (since greener energy needs more researchers and engineers than miners), leaving many permanently out of work.	fossil fuels are the thing that anable the modern western world and all the research in science. if we would stop using it we will roll the modern world back to the midle age.
3010_3013	goldLabel	a1	"we should not ban fossil fuels because often times they can be less harmful to the environment than manufacturing ""green"" energy sources like solar panels."	we have already taken global warming too far, fossil fuels will prove a higher standard of living while we wait out the clock.
3023_3017	goldLabel	a1	fossil fuels are the cheapest and most common form of energy there is, so it is far more available to the poor who can't afford anything else	countries try to break dependence of controversial countries and want to create more stable market. thus they are already looking for alternative energy sources. no need to entirely ban.
3024_3025	goldLabel	a2	only a complete fool would ban fossil fuels before green tech is fully developed	this will give rise to nuclear energy which will make the world a much more dangerous place
3012_3026	goldLabel	a1	there are other, less extreme ways to decrease the use and discourage fossil fuels like carbon taxes or ending subsides that wouldn't cause as much of extreme economic turmoil.	the free market is solving this as we speak. there is no need to ban fossil fuels, as we are already creating alternatives that don't need the interim turmoil
3026_3027	goldLabel	a2	the free market is solving this as we speak. there is no need to ban fossil fuels, as we are already creating alternatives that don't need the interim turmoil	we should not ban fossil fuels because it would cause international chaos as economies like russia and brazil lost huge industries and had to scramble to replace them.
3028_3021	goldLabel	a2	world is largely based on technology. technology is currently largely based on fossil energy. banning it would not allow people to properly use technology and urge them to use primitive devices.	jobs destroyed by a ban won't be replaced with jobs for as low of a level of education (since greener energy needs more researchers and engineers than miners), leaving many permanently out of work.
3029_3030	goldLabel	a2	hurts specifically developing countries which depend more on fossil fuels than developed countries, while developing countries need more help	there are not enough cheap alternatives to fossil fuels, banning it at this stage can make entire cities collapse for lack of power.
3016_3031	goldLabel	a1	fossil fuels are cheap sources of energy the allow us to create and move commodities cheaply, therefore reducing the costs of everything we buy or consume	fosile fule are the chepest thing that can help the developing word to get to the level of the developed world.
3032_3033	goldLabel	a2	renewable energy is being developed and in the mean time it is just cheaper to use fossil fuels	many current workplaces are based on the use and production of fossil fuels, thus banning it will result in great unemployment
3034_3035	goldLabel	a2	fossil fuels are more efficient in terms of the amount of energy they produce per amount used.	banning fossil fuels at this point is simply not feasible , without causing an economic collapse.
3013_3016	goldLabel	a2	we have already taken global warming too far, fossil fuels will prove a higher standard of living while we wait out the clock.	fossil fuels are cheap sources of energy the allow us to create and move commodities cheaply, therefore reducing the costs of everything we buy or consume
3036_3032	goldLabel	a1	there aren't enough viable alternatives for fossil fuels, so we won't have things like electricity, therefore millions will die	renewable energy is being developed and in the mean time it is just cheaper to use fossil fuels
3037_3038	goldLabel	a1	we should not ban fossil fuels because without access to cheap, easy energy poor countries will not be able to rapidly develop and will be trapped in poverty.	we should not ban fossil fuels because in many places there simply is no alternative and we cannot treat the people who live there as less valuable than others.
3028_3027	goldLabel	a2	world is largely based on technology. technology is currently largely based on fossil energy. banning it would not allow people to properly use technology and urge them to use primitive devices.	we should not ban fossil fuels because it would cause international chaos as economies like russia and brazil lost huge industries and had to scramble to replace them.
3022_3012	goldLabel	a2	fossil fuels are the thing that anable the modern western world and all the research in science. if we would stop using it we will roll the modern world back to the midle age.	there are other, less extreme ways to decrease the use and discourage fossil fuels like carbon taxes or ending subsides that wouldn't cause as much of extreme economic turmoil.
