#id	annotatorid	label	a1	a2
1749_1750	goldLabel	a1	self driving cars can reduce traffic accidents, which means there will be fewer deaths and injuries caused by these accidents.	autonomous cars will reduce number of accidents since most accidents are due to a human error.
1751_1752	goldLabel	a2	autonomous cars will never get tired nor be influenced by drugs and alcohol, hence they will be safer than human controlled cars.	because autonomous cars are so much safer than human drivers, their widespread adoption could save over 40,000 lives in the united states alone each year.
1753_1754	goldLabel	a2	the autonomous car is a good idea to avoid jams	autonomous cars will drive much smoother and therefor produce less pollution
1755_1756	goldLabel	a1	even only 5% of autonomous vehicles could have a significant impact in eliminating waste and reducing the total fuel consumption by up to 40%.	many drivers today simply do what their gps app tell them to, so why not use self-driving cars to do the whole process
1757_1758	goldLabel	a1	autonomous cars will reduce the 40,000 casualties a year (in the us alone) by two orders of magnitude. don't drive - save lives - let the computer do that for you	autonomous vehicles will be safer especially trucks. people who say trucking is the most popular job in america are wrong and only a relatively few people will lose jobs. see https://www.marketwatch.com/story/no-truck-driver-isnt-the-most-common-job-in-your-state-2015-02-12
1759_1760	goldLabel	a2	autonomous cars will be able to drive much closer together, making traffic move much smoother and lessening traffic jams.	autonomous cars have already demonstrated a lower risk of accidents than human drivers in real world conditions.
1761_1762	goldLabel	a1	autonomous cars will enable people who cannot otherwise drive, such as those with medical disabilities, to get around and make more things accessible for them.	we should not stop the development of autonomous cars, but we need proper assignment of responsibility to their makers, else safety will fall short.
1763_1764	goldLabel	a2	we should continue the development of autonomous vehicles, but implement it in a public situation until there is no risk.	much like the 'space race', the development of autonomous cars will produce technology that can be applied to universally to solve other problems.
1765_1766	goldLabel	a1	autonomous cars offer the mobility we crave with a persistent safety aspect to reduce the senseless deaths caused by impaired, distracted or tired drivers.	autonomous vehicles to replace truckers and cab drivers will allow us to scale to a smaller number of humans making society more sustainable.
1767_1768	goldLabel	a1	as long as human kind exist in this world, there is need for transportation, however having autonomous vehicle would let human to spend time on gaining new skills beyond just driving.	i waste a lot of time on my commute every day. i wish i had an autonomous car to give me back several hours a week that i could use for other things.
1769_1752	goldLabel	a2	driverless cars remove the cost of the time spent by a driver, which is a natural step in making transportation cheaper.	because autonomous cars are so much safer than human drivers, their widespread adoption could save over 40,000 lives in the united states alone each year.
1770_1771	goldLabel	a1	humans are notoriously bad drivers so even if autonomous vehicles are not yet perfect, over time they can significantly improve accident rates, congestion, pollution, and reduce insurance costs.	technological progress is inevitable. we need ambitious goals, like developing autonomous cars, to inspire young people to pursue careers in technology so that our rate of progress can continue.
1772_1773	goldLabel	a2	with an autonomous cars we will no longer need to make space for parking lots or structures, instead we will have an ever moving pool of vehicles to drive us.	driving is, by far, the most dangerous activity a human will do in their lifetime. autonomous cars can provide a safe mode of transportation and save the lives of motorists.
1774_1775	goldLabel	a1	autonomous cars will be more efficient, allowing the easy sharing of vehicles in a metropolitan area, also reducing miles driven, energy usage and pollution.	autonomous cars increase our free time, because instead of driving people can now work or engage in entertainment during their commute.
1768_1776	goldLabel	a2	i waste a lot of time on my commute every day. i wish i had an autonomous car to give me back several hours a week that i could use for other things.	autonomous vehicles do not have lapses of inattention that are the root cause of many accidents. autonomous vehicles may not text while driving. they do not get intoxicated either.
1777_1778	goldLabel	a2	even if one has concerns about the deployment of autonomous cars, stopping their development is unwise because new things can be learned and it is likely they have some future role to play.	if all human drivers are replaced by autonomous vehicles, there will no longer be a need for traffic lights and other traffic management systems which add significant overhead to all driving.
1765_1779	goldLabel	a1	autonomous cars offer the mobility we crave with a persistent safety aspect to reduce the senseless deaths caused by impaired, distracted or tired drivers.	autonomous cars will be safer because they do not get drunk, nor do they take mind altering drugs, nor do they get tired.
1780_1781	goldLabel	a2	thomas edison would argue to continue autonomous car development since his spirit of perseverance is captured in his famous quote: “i have not failed. i've just found 10,000 ways that won't work.”	humans tend to break rules, intentionally or unintentionally. autonomous cars will stick with the rules and will perform better on the road, leading to better order and efficiencies.
1782_1783	goldLabel	a2	if all cars on every road were autonomous vehicles then human error would be eliminated and the roads would become much safer places.	development of autonomous cars brings technologies that can be applied to current cars, making them safer and more friendly to the environment.
1784_1775	goldLabel	a2	autonomous cars are not quite ready to deploy, but they will be safer than human-driven cars.	autonomous cars increase our free time, because instead of driving people can now work or engage in entertainment during their commute.
1749_1785	goldLabel	a1	self driving cars can reduce traffic accidents, which means there will be fewer deaths and injuries caused by these accidents.	the technology for driverless cars will mature over time, similarly to many other technologies we use every day.
1786_1767	goldLabel	a1	autonomous cars will definitely help in solving some of our accidents and fatalities in car accidents. it should also improve our quality of life as hopefully it can also alleviate congestion on highways.	as long as human kind exist in this world, there is need for transportation, however having autonomous vehicle would let human to spend time on gaining new skills beyond just driving.
1787_1776	goldLabel	a2	autonomous vehicles provide a significant challenge to science and engineering that will make transportation safer and benefit society beyond transportation just like the race to put a man on the moon.	autonomous vehicles do not have lapses of inattention that are the root cause of many accidents. autonomous vehicles may not text while driving. they do not get intoxicated either.
1752_1788	goldLabel	a1	because autonomous cars are so much safer than human drivers, their widespread adoption could save over 40,000 lives in the united states alone each year.	drivers admitted failure to report collisions at 29%. therefore, flipping the switch on autonomous cars would achieve 0% improvement in reported crashes - actually a 29% decrease.
1789_1790	goldLabel	a1	autonomous cars can potentially communicate with one another and create a safe driving environment decreasing accidents significantly.	autonomous cars are going to affect humanity in a good way, and ibm should be a driving force in this industry
1757_1768	goldLabel	a1	autonomous cars will reduce the 40,000 casualties a year (in the us alone) by two orders of magnitude. don't drive - save lives - let the computer do that for you	i waste a lot of time on my commute every day. i wish i had an autonomous car to give me back several hours a week that i could use for other things.
1791_1792	goldLabel	a1	autonomous cars are much safer than those driven by humans	autonomous cars can save parking areas since the cars can continue serving other passengers
1793_1794	goldLabel	a1	autonomous cars will free people from the need to drive and allow them to pursue more valuable activities.	development of autonomous cars will also boost the development of electric cars, since those two technologies are closely related.
1765_1759	goldLabel	a1	autonomous cars offer the mobility we crave with a persistent safety aspect to reduce the senseless deaths caused by impaired, distracted or tired drivers.	autonomous cars will be able to drive much closer together, making traffic move much smoother and lessening traffic jams.
1793_1785	goldLabel	a1	autonomous cars will free people from the need to drive and allow them to pursue more valuable activities.	the technology for driverless cars will mature over time, similarly to many other technologies we use every day.
1795_1757	goldLabel	a2	inventions to make driving simpler and safer, for e.g., automatic transmission, are small steps towards autonomous cars that have been going on since the invention of the automobile.	autonomous cars will reduce the 40,000 casualties a year (in the us alone) by two orders of magnitude. don't drive - save lives - let the computer do that for you
1788_1796	goldLabel	a2	drivers admitted failure to report collisions at 29%. therefore, flipping the switch on autonomous cars would achieve 0% improvement in reported crashes - actually a 29% decrease.	driverless cars are likely to improve with use and over time, so if developed, the technology will likely be safer than humans in the future.
1797_1798	goldLabel	a1	autonomous cars will be safer than human driven vehicles. additionally, they can coordinate to reduce traffic on roads, and speed up commute times for all vehicles.	a large part of the inefficiencies of vehicles is due to air resistance, a convoy of autonomous cars or trucks can drive closer and be much more efficient.
1787_1799	goldLabel	a2	autonomous vehicles provide a significant challenge to science and engineering that will make transportation safer and benefit society beyond transportation just like the race to put a man on the moon.	autonomous cars probably won’t be perfect, but the computers they use to calculate things like stopping distance and proximity to other vehicles will make them much more reliable than a human.
1761_1766	goldLabel	a1	autonomous cars will enable people who cannot otherwise drive, such as those with medical disabilities, to get around and make more things accessible for them.	autonomous vehicles to replace truckers and cab drivers will allow us to scale to a smaller number of humans making society more sustainable.
1800_1769	goldLabel	a1	communication between autonomous cars will enable them to more efficiently plan traffic flow, thereby reducing congestion, reducing travel time, and saving energy.	driverless cars remove the cost of the time spent by a driver, which is a natural step in making transportation cheaper.
