,p,min-quality-score,min-match-score,score
0,0.0,0.0,0.0,0.21317910576631066
1,0.0,0.2,0.0,0.21317910576631066
2,0.0,0.4,0.0,0.21317910576631066
3,0.0,0.8,0.0,0.21317910576631066
4,0.0,1.0,0.0,0.21317910576631066
5,0.2,0.0,0.0,0.20605344158734856
6,0.2,0.2,0.0,0.20605344158734856
7,0.2,0.4,0.0,0.20605344158734856
8,0.2,0.8,0.0,0.20605344158734856
9,0.2,1.0,0.0,0.20605344158734856
10,0.4,0.0,0.0,0.21079325466576054
11,0.4,0.2,0.0,0.21079325466576054
12,0.4,0.4,0.0,0.21079325466576054
13,0.4,0.8,0.0,0.21079325466576054
14,0.4,1.0,0.0,0.21079325466576054
15,0.8,0.0,0.0,0.2146187161920033
16,0.8,0.2,0.0,0.2146187161920033
17,0.8,0.4,0.0,0.2146187161920033
18,0.8,0.8,0.0,0.2146187161920033
19,0.8,1.0,0.0,0.21298905924996883
20,1.0,0.0,0.0,0.23459762393598815
21,1.0,0.2,0.0,0.23459762393598815
22,1.0,0.4,0.0,0.23459762393598815
23,1.0,0.8,0.0,0.23459762393598815
24,1.0,1.0,0.0,0.2311155380062021
25,0.0,0.0,0.2,0.21317910576631066
26,0.0,0.2,0.2,0.21317910576631066
27,0.0,0.4,0.2,0.21317910576631066
28,0.0,0.8,0.2,0.21317910576631066
29,0.0,1.0,0.2,0.21317910576631066
30,0.2,0.0,0.2,0.20605344158734856
31,0.2,0.2,0.2,0.20605344158734856
32,0.2,0.4,0.2,0.20605344158734856
33,0.2,0.8,0.2,0.20605344158734856
34,0.2,1.0,0.2,0.20605344158734856
35,0.4,0.0,0.2,0.20605344158734856
36,0.4,0.2,0.2,0.20605344158734856
37,0.4,0.4,0.2,0.20605344158734856
38,0.4,0.8,0.2,0.20605344158734856
39,0.4,1.0,0.2,0.20605344158734856
40,0.8,0.0,0.2,0.2078523624130095
41,0.8,0.2,0.2,0.2078523624130095
42,0.8,0.4,0.2,0.2078523624130095
43,0.8,0.8,0.2,0.2078523624130095
44,0.8,1.0,0.2,0.21298905924996883
45,1.0,0.0,0.2,0.24872648123595495
46,1.0,0.2,0.2,0.24872648123595495
47,1.0,0.4,0.2,0.24872648123595495
48,1.0,0.8,0.2,0.24872648123595495
49,1.0,1.0,0.2,0.23824755138188614
50,0.0,0.0,0.4,0.21317910576631066
51,0.0,0.2,0.4,0.21317910576631066
52,0.0,0.4,0.4,0.21317910576631066
53,0.0,0.8,0.4,0.21317910576631066
54,0.0,1.0,0.4,0.21317910576631066
55,0.2,0.0,0.4,0.20163744023818123
