arg_id,argument,topic,stance,sents,sents_with_scores,gt-kps,gt-cand-kps,aspects
arg_0_0,`people reach their limit when it comes to their quality of life and should be able to end their suffering. this can be done with little or no suffering by assistance and the person is able to say good bye.,Assisted suicide should be a criminal offence,-1,"['`people reach their limit when it comes to their quality of life and should be able to end their suffering.', 'this can be done with little or no suffering by assistance and the person is able to say good bye.']","[('`people reach their limit when it comes to their quality of life and should be able to end their suffering.', 0.7646355628967285), ('this can be done with little or no suffering by assistance and the person is able to say good bye.', 0.8300718069076538)]",[],[],"['suffering by assistance', 'bye', 'end', 'quality of life', 'suffering']"
arg_0_1,"A patient should be able to decide when they have had enough ""care"".",Assisted suicide should be a criminal offence,-1,"['A patient should be able to decide when they have had enough ""care"".']","[('A patient should be able to decide when they have had enough ""care"".', 0.8320333957672119)]",['People should have the freedom to choose to end their life'],"['A patient should be able to decide when they have had enough ""care"".']",['`` care']
arg_0_2,"a person has the right to end their suffering and if somebody takes pity on them and chooses to help, that person should not be punished.",Assisted suicide should be a criminal offence,-1,"['a person has the right to end their suffering and if somebody takes pity on them and chooses to help, that person should not be punished.']","[('a person has the right to end their suffering and if somebody takes pity on them and chooses to help, that person should not be punished.', 0.913238525390625)]",['Assisted suicide reduces suffering'],"['a person has the right to end their suffering and if somebody takes pity on them and chooses to help, that person should not be punished.']",['right to end their suffering']
arg_0_3,a person should have the dignity to choose how they die,Assisted suicide should be a criminal offence,-1,['a person should have the dignity to choose how they die'],"[('a person should have the dignity to choose how they die', 0.9021837711334229)]",['People should have the freedom to choose to end their life'],['a person should have the dignity to choose how they die'],['dignity to choose']
arg_0_4,a person should have the right to be able to choose if they want to live or die,Assisted suicide should be a criminal offence,-1,['a person should have the right to be able to choose if they want to live or die'],"[('a person should have the right to be able to choose if they want to live or die', 0.8657139539718628)]",['People should have the freedom to choose to end their life'],['a person should have the right to be able to choose if they want to live or die'],['right to be able to choose']
arg_0_5,a person should have the right to die on their own terms,Assisted suicide should be a criminal offence,-1,['a person should have the right to die on their own terms'],"[('a person should have the right to die on their own terms', 0.851553738117218)]",['People should have the freedom to choose to end their life'],['a person should have the right to die on their own terms'],['right to die']
arg_0_6,"a person should not be forced into having to live their lives suffering, when death is already enevitable",Assisted suicide should be a criminal offence,-1,"['a person should not be forced into having to live their lives suffering, when death is already enevitable']","[('a person should not be forced into having to live their lives suffering, when death is already enevitable', 0.7709726095199585)]",['Assisted suicide reduces suffering'],"['a person should not be forced into having to live their lives suffering, when death is already enevitable']","['suffering', 'enevitable', 'death']"
arg_0_7,assisted suicide allows for a person who is sick and fully understanding what is done to end their pain when no quality of life can be assured,Assisted suicide should be a criminal offence,-1,['assisted suicide allows for a person who is sick and fully understanding what is done to end their pain when no quality of life can be assured'],"[('assisted suicide allows for a person who is sick and fully understanding what is done to end their pain when no quality of life can be assured', 0.9012988209724426)]","['Assisted suicide reduces suffering', 'The terminally ill would benefit from assisted suicide']","['assisted suicide allows for a person who is sick and fully understanding what is done to end their pain when no quality of life can be assured', 'assisted suicide allows for a person who is sick and fully understanding what is done to end their pain when no quality of life can be assured']","['sick', 'quality of life', 'end their pain']"
arg_0_8,assisted suicide allows one to end terminal pain and suffering and should be allowed to continue.,Assisted suicide should be a criminal offence,-1,['assisted suicide allows one to end terminal pain and suffering and should be allowed to continue.'],"[('assisted suicide allows one to end terminal pain and suffering and should be allowed to continue.', 0.9299512505531311)]","['Assisted suicide reduces suffering', 'The terminally ill would benefit from assisted suicide']","['assisted suicide allows one to end terminal pain and suffering and should be allowed to continue.', 'assisted suicide allows one to end terminal pain and suffering and should be allowed to continue.']",['end terminal pain and suffering']
arg_0_9,assisted suicide allows people who have terrible health conditions to die with dignity. if assisted suicide is a crime they may have to endure many more years living in agony.,Assisted suicide should be a criminal offence,-1,"['assisted suicide allows people who have terrible health conditions to die with dignity.', 'if assisted suicide is a crime they may have to endure many more years living in agony.']","[('assisted suicide allows people who have terrible health conditions to die with dignity.', 0.9376471042633057), ('if assisted suicide is a crime they may have to endure many more years living in agony.', 0.8176807761192322)]","['Assisted suicide gives dignity to the person that wants to commit it', 'Assisted suicide reduces suffering']","['assisted suicide allows people who have terrible health conditions to die with dignity.', 'if assisted suicide is a crime they may have to endure many more years living in agony.']","['health conditions', 'dignity', 'agony', 'assisted suicide']"
